species	category	down	up	pvalue	padj
As	all	232	233	0.406062760643484	1
As	NOT	177	200	1	1
As	DI	0	0	1	1
As	DNI	2	1	0.603461159495044	1
As	MI	1	1	1	1
As	MNI	13	5	0.0513429556621671	0.462086600959504
As	PI	3	1	0.347620083803925	1
As	PNI	28	22	0.233129776676924	1
As	cp	5	0	0.0238447380746506	0.238447380746506
As	mt	3	3	1	1
Ai	all	74	72	0.366558714016239	1
Ai	NOT	45	56	1	1
Ai	DI	2	0	0.205787169236627	1
Ai	DNI	17	6	0.0194821578491244	0.194821578491244
Ai	MI	3	0	0.0949786934938278	0.85480824144445
Ai	MNI	0	1	1	1
Ai	PI	1	0	0.450980392156863	1
Ai	PNI	6	6	0.766221730875463	1
Ai	cp	0	0	1	1
Ai	mt	0	3	0.256441374159821	1
Ah	all	349	343	0.820017301486608	1
Ah	NOT	277	280	1	1
Ah	DI	4	1	0.372765857033983	1
Ah	DNI	32	28	0.683867585780456	1
Ah	MI	11	3	0.0545180716379166	0.545180716379166
Ah	MNI	2	1	0.62298747763864	1
Ah	PI	4	4	1	1
Ah	PNI	16	23	0.323191825140332	1
Ah	cp	0	0	1	1
Ah	mt	3	3	1	1
Cq	all	756	917	0.770430315311435	1
Cq	NOT	620	769	1	1
Cq	DI	2	4	0.697736588981734	1
Cq	DNI	50	76	0.303629404939584	1
Cq	MI	15	16	0.717288694913583	1
Cq	MNI	9	13	0.830386407480405	1
Cq	PI	8	8	0.80158570425035	1
Cq	PNI	40	28	0.024564308112362	0.221078773011258
Cq	cp	3	2	0.66150300416592	1
Cq	mt	9	1	0.00683799258422166	0.0683799258422166
Gb	all	1014	1356	0.393729836833246	1
Gb	NOT	899	1141	1	1
Gb	DI	1	7	0.0859180673573479	0.601426471501435
Gb	DNI	52	83	0.211474735838163	1
Gb	MI	8	36	0.000564076122487287	0.00507668510238558
Gb	MNI	6	13	0.355233684242097	1
Gb	PI	5	13	0.232985922503948	1
Gb	PNI	30	63	0.0249301428608806	0.199441142887044
Gb	cp	0	0	1	1
Gb	mt	13	0	2.50089753893754e-05	0.000250089753893754
Gh	all	1219	1564	0.0409518837738742	0.204759418869371
Gh	NOT	1007	1451	1	1
Gh	DI	8	5	0.16096733934452	0.482902018033559
Gh	DNI	75	38	1.42763416059153e-07	1.42763416059153e-06
Gh	MI	21	17	0.0957610430644114	0.383044172257645
Gh	MNI	9	13	1	1
Gh	PI	20	5	0.00011526458569992	0.000806852099899437
Gh	PNI	61	34	1.02123598227633e-05	9.191123840487e-05
Gh	cp	11	0	5.67070189837474e-05	0.000453656151869979
Gh	mt	7	1	0.0100787416603694	0.0604724499622163
