species category III VII X V VI VIII
As all 29 169 34 40 24 169
As NOT 22 126 29 31 21 148
As DI 0 0 0 0 0 0
As DNI 0 2 0 0 0 1
As MI 0 1 0 0 0 1
As MNI 2 8 3 1 1 3
As PI 0 3 0 0 1 0
As PNI 4 22 2 7 1 14
As cp 0 5 0 0 0 0
As mt 1 2 0 1 0 2
Ai all 21 52 1 7 6 59
Ai NOT 12 32 1 6 4 46
Ai DI 1 1 0 0 0 0
Ai DNI 6 11 0 1 0 5
Ai MI 1 2 0 0 0 0
Ai MNI 0 0 0 0 1 0
Ai PI 0 1 0 0 0 0
Ai PNI 1 5 0 0 1 5
Ai cp 0 0 0 0 0 0
Ai mt 0 0 0 0 0 3
Ah all 74 255 20 24 69 250
Ah NOT 56 203 18 21 55 204
Ah DI 1 3 0 0 0 1
Ah DNI 7 25 0 1 9 18
Ah MI 7 4 0 0 0 3
Ah MNI 1 1 0 0 0 1
Ah PI 1 3 0 0 1 3
Ah PNI 1 13 2 1 4 18
Ah cp 0 0 0 0 0 0
Ah mt 0 3 0 1 0 2
Cq all 178 442 136 183 215 519
Cq NOT 143 363 114 162 169 438
Cq DI 0 2 0 0 3 1
Cq DNI 12 31 7 10 23 43
Cq MI 4 8 3 4 3 9
Cq MNI 3 4 2 1 3 9
Cq PI 1 7 0 1 4 3
Cq PNI 11 24 5 5 10 13
Cq cp 2 1 0 0 0 2
Cq mt 2 2 5 0 0 1
Gh all 205 861 153 279 290 995
Gh NOT 173 699 135 256 264 931
Gh DI 0 8 0 1 0 4
Gh DNI 15 50 10 5 10 23
Gh MI 2 18 1 7 1 9
Gh MNI 1 8 0 5 2 6
Gh PI 1 18 1 0 3 2
Gh PNI 13 43 5 5 10 19
Gh cp 0 11 0 0 0 0
Gh mt 0 6 1 0 0 1
Gb all 186 672 156 232 233 891
Gb NOT 166 596 137 200 199 742
Gb DI 0 1 0 3 1 3
Gb DNI 14 29 9 12 13 58
Gb MI 0 7 1 7 4 25
Gb MNI 1 5 0 4 1 8
Gb PI 0 4 1 0 4 9
Gb PNI 4 21 5 6 11 46
Gb cp 0 0 0 0 0 0
Gb mt 1 9 3 0 0 0
