Category	species	Genus	Like_Paternal_up	Like_Paternal_Down	Like_Maternal_Up	Like_Maternal_Down	Like_Paternal	Like_Maternal
Not-organelle-targeted	Asuecica	Arabidopsis	430	334	336	355	764	691
Dual-targeted_Interacting	Asuecica	Arabidopsis	3	0	4	1	3	5
Dual-targeted_Non-interacting	Asuecica	Arabidopsis	9	3	9	5	12	14
Mitochondria-targeted_Interacting	Asuecica	Arabidopsis	17	7	12	15	24	27
Mitochondria-targeted_Non-interacting	Asuecica	Arabidopsis	29	17	14	24	46	38
Plastid-targeted_Interacting	Asuecica	Arabidopsis	4	15	8	4	19	12
Plastid-targeted_Non-interacting	Asuecica	Arabidopsis	44	70	71	43	114	114
chloroplast	Asuecica	Arabidopsis	0	10	3	5	10	8
mitochondria	Asuecica	Arabidopsis	6	0	1	11	6	12
Not-organelle-targeted	Ahypogaea	Arachis	145	220	982	677	365	1659
Dual-targeted_Interacting	Ahypogaea	Arachis	0	1	4	7	1	11
Dual-targeted_Non-interacting	Ahypogaea	Arachis	12	13	115	69	25	184
Mitochondria-targeted_Interacting	Ahypogaea	Arachis	3	5	10	13	8	23
Mitochondria-targeted_Non-interacting	Ahypogaea	Arachis	1	3	13	13	4	26
Plastid-targeted_Interacting	Ahypogaea	Arachis	1	1	15	17	2	32
Plastid-targeted_Non-interacting	Ahypogaea	Arachis	7	7	54	31	14	85
chloroplast	Ahypogaea	Arachis	0	2	9	0	2	9
mitochondria	Ahypogaea	Arachis	1	3	2	0	4	2
Not-organelle-targeted	Cquinoa	Chenopodium	644	649	617	677	1293	1294
Dual-targeted_Interacting	Cquinoa	Chenopodium	1	13	12	3	14	15
Dual-targeted_Non-interacting	Cquinoa	Chenopodium	77	49	75	109	126	184
Mitochondria-targeted_Interacting	Cquinoa	Chenopodium	6	15	31	11	21	42
Mitochondria-targeted_Non-interacting	Cquinoa	Chenopodium	4	10	8	2	14	10
Plastid-targeted_Interacting	Cquinoa	Chenopodium	18	11	20	11	29	31
Plastid-targeted_Non-interacting	Cquinoa	Chenopodium	40	44	35	44	84	79
chloroplast	Cquinoa	Chenopodium	13	0	0	34	13	34
mitochondria	Cquinoa	Chenopodium	1	4	2	0	5	2
Not-organelle-targeted	Gbarbadense	Gossypium	1380	1041	1563	1398	2421	2961
Dual-targeted_Interacting	Gbarbadense	Gossypium	6	6	8	1	12	9
Dual-targeted_Non-interacting	Gbarbadense	Gossypium	93	63	134	60	156	194
Mitochondria-targeted_Interacting	Gbarbadense	Gossypium	38	8	34	13	46	47
Mitochondria-targeted_Non-interacting	Gbarbadense	Gossypium	21	5	16	7	26	23
Plastid-targeted_Interacting	Gbarbadense	Gossypium	18	3	41	7	21	48
Plastid-targeted_Non-interacting	Gbarbadense	Gossypium	44	40	75	34	84	109
chloroplast	Gbarbadense	Gossypium	0	5	19	0	5	19
mitochondria	Gbarbadense	Gossypium	0	6	1	0	6	1
Not-organelle-targeted	Ghirsutum	Gossypium	1344	929	1695	1368	2273	3063
Dual-targeted_Interacting	Ghirsutum	Gossypium	4	11	6	6	15	12
Dual-targeted_Non-interacting	Ghirsutum	Gossypium	63	93	111	102	156	213
Mitochondria-targeted_Interacting	Ghirsutum	Gossypium	18	15	24	30	33	54
Mitochondria-targeted_Non-interacting	Ghirsutum	Gossypium	10	9	16	13	19	29
Plastid-targeted_Interacting	Ghirsutum	Gossypium	8	22	24	22	30	46
Plastid-targeted_Non-interacting	Ghirsutum	Gossypium	28	44	62	46	72	108
chloroplast	Ghirsutum	Gossypium	0	22	2	0	22	2
mitochondria	Ghirsutum	Gossypium	0	9	1	1	9	2
