species	category	direction	sided	DE	nDE	pvalueDE
AsAa	DI	both	two.sided	18	27	0.43230863419391
AsAa	DI	both	greater	18	27	0.24965619368879
AsAa	DI	both	less	18	27	0.837186580419192
AsAa	DI	up	two.sided	15	30	0.00908602842629384
AsAa	DI	up	greater	15	30	0.00722272936946468
AsAa	DI	up	less	15	30	0.997295011970118
AsAa	DI	down	two.sided	3	42	0.0723086053630364
AsAa	DI	down	greater	3	42	0.987085021119967
AsAa	DI	down	less	3	42	0.0428673503159611
AsAa	DN	both	two.sided	68	116	0.433052152083023
AsAa	DN	both	greater	68	116	0.236373208589535
AsAa	DN	both	less	68	116	0.808705971788911
AsAa	DN	up	two.sided	34	150	0.69407159300763
AsAa	DN	up	greater	34	150	0.374344651906828
AsAa	DN	up	less	34	150	0.696271622016487
AsAa	DN	down	two.sided	34	150	0.550319342922333
AsAa	DN	down	greater	34	150	0.302919428515007
AsAa	DN	down	less	34	150	0.761199564631098
AsAa	MI	both	two.sided	78	185	0.146098371183359
AsAa	MI	both	greater	78	185	0.944549696891566
AsAa	MI	both	less	78	185	0.0722720297354331
AsAa	MI	up	two.sided	34	229	0.0678296614052017
AsAa	MI	up	greater	34	229	0.977792346046036
AsAa	MI	up	less	34	229	0.0334970178282148
AsAa	MI	down	two.sided	44	219	1
AsAa	MI	down	greater	44	219	0.539378073015575
AsAa	MI	down	less	44	219	0.527333413843723
AsAa	MN	both	two.sided	182	272	0.011263536675232
AsAa	MN	both	greater	182	272	0.00585114302673171
AsAa	MN	both	less	182	272	0.995605872114499
AsAa	MN	up	two.sided	71	383	0.372975754494237
AsAa	MN	up	greater	71	383	0.842390365864287
AsAa	MN	up	less	71	383	0.191102690257371
AsAa	MN	down	two.sided	111	343	0.000054676841602543
AsAa	MN	down	greater	111	343	0.0000350207306515331
AsAa	MN	down	less	111	343	0.999978729988483
AsAa	PI	both	two.sided	43	125	0.021151197507391
AsAa	PI	both	greater	43	125	0.992891019993925
AsAa	PI	both	less	43	125	0.0113369902706051
AsAa	NT	both	NA	3020	5822	NA
AsAa	PI	up	two.sided	26	142	0.606762590116233
AsAa	PI	up	greater	26	142	0.766843840054798
AsAa	PI	up	less	26	142	0.302655655579255
AsAa	NT	up	NA	1534	7308	NA
AsAa	PI	down	two.sided	17	151	0.0210489974401465
AsAa	PI	down	greater	17	151	0.994514241886156
AsAa	PI	down	less	17	151	0.0105771282409913
AsAa	NT	down	NA	1486	7356	NA
AsAa	PN	both	two.sided	466	804	0.0771045142929143
AsAa	PN	both	greater	466	804	0.0406685439350898
AsAa	PN	both	less	466	804	0.964509910944688
AsAa	PN	up	two.sided	273	997	0.000417654769241119
AsAa	PN	up	greater	273	997	0.000231623913826367
AsAa	PN	up	less	273	997	0.999825811524128
AsAa	PN	down	two.sided	193	1077	0.158129068784996
AsAa	PN	down	greater	193	1077	0.931885744135186
AsAa	PN	down	less	193	1077	0.0796117473942342
