species	category	direction	sided	DE	nDE	pvalueDE
AsST	DI	both	two.sided	17	28	0.640033602355285
AsST	DI	both	greater	17	28	0.375414443381101
AsST	DI	both	less	17	28	0.734688438884943
AsST	DI	up	two.sided	10	35	0.576901984086596
AsST	DI	up	greater	10	35	0.378207060936823
AsST	DI	up	less	10	35	0.749913464378999
AsST	DI	down	two.sided	7	38	0.836012498566856
AsST	DI	down	greater	7	38	0.524527959332305
AsST	DI	down	less	7	38	0.637200105895452
AsST	DN	both	two.sided	55	130	0.184528184319897
AsST	DN	both	greater	55	130	0.925208837013662
AsST	DN	both	less	55	130	0.100112970772285
AsST	DN	up	two.sided	27	158	0.10969633237149
AsST	DN	up	greater	27	158	0.964205283311572
AsST	DN	up	less	27	158	0.0547972919708271
AsST	DN	down	two.sided	28	157	0.917545535679718
AsST	DN	down	greater	28	157	0.516315707827652
AsST	DN	down	less	28	157	0.566045234201793
AsST	MI	both	two.sided	77	186	0.0866473274596096
AsST	MI	both	greater	77	186	0.967326483090842
AsST	MI	both	less	77	186	0.0438500971899411
AsST	MI	up	two.sided	54	209	0.692969151905477
AsST	MI	up	greater	54	209	0.359225443495451
AsST	MI	up	less	54	209	0.697194110319578
AsST	MI	down	two.sided	23	240	0.00357981893218438
AsST	MI	down	greater	23	240	0.999025518404292
AsST	MI	down	less	23	240	0.00189560975893866
AsST	MN	both	two.sided	174	280	0.0957090524246694
AsST	MN	both	greater	174	280	0.0535520855109145
AsST	MN	both	less	174	280	0.95645771967099
AsST	MN	up	two.sided	93	361	0.5853786547224
AsST	MN	up	greater	93	361	0.31664352677759
AsST	MN	up	less	93	361	0.724754063656247
AsST	MN	down	two.sided	81	373	0.107465183875372
AsST	MN	down	greater	81	373	0.0612557895359983
AsST	MN	down	less	81	373	0.952823307756028
AsST	PI	both	two.sided	58	110	1
AsST	PI	both	greater	58	110	0.527432978425177
AsST	PI	both	less	58	110	0.537791388107929
AsST	NT	both	NA	3120	5922	NA
AsST	PI	up	two.sided	16	152	0.000724780806759002
AsST	PI	up	greater	16	152	0.999845763252927
AsST	PI	up	less	16	152	0.000373739672346433
AsST	NT	up	NA	1761	7281	NA
AsST	PI	down	two.sided	42	126	0.00101675039831128
AsST	PI	down	greater	42	126	0.000576627346698655
AsST	PI	down	less	42	126	0.999709827138801
AsST	NT	down	NA	1359	7683	NA
AsST	PN	both	two.sided	459	817	0.314763801586162
