species	category	direction	sided	DE	nDE	pvalueDE
AsAt	DI	both	two.sided	9	36	0.49369952603243
AsAt	DI	both	greater	9	36	0.850437738160359
AsAt	DI	both	less	9	36	0.249118617356843
AsAt	DI	up	two.sided	7	38	0.661491270668852
AsAt	DI	up	greater	7	38	0.407658455471489
AsAt	DI	up	less	7	38	0.742815305112112
AsAt	DI	down	two.sided	2	43	0.1644345073281
AsAt	DI	down	greater	2	43	0.978426918842095
AsAt	DI	down	less	2	43	0.0780651830782936
AsAt	DN	both	two.sided	42	143	0.395227126493652
AsAt	DN	both	greater	42	143	0.838854003960833
AsAt	DN	both	less	42	143	0.207510019630955
AsAt	DN	up	two.sided	22	163	0.587195086369685
AsAt	DN	up	greater	22	163	0.768490670885709
AsAt	DN	up	less	22	163	0.305400231485309
AsAt	DN	down	two.sided	20	165	0.649786250261691
AsAt	DN	down	greater	20	165	0.739474186567851
AsAt	DN	down	less	20	165	0.342044131743545
AsAt	MI	both	two.sided	50	212	0.0173187438118329
AsAt	MI	both	greater	50	212	0.99441380133297
AsAt	MI	both	less	50	212	0.00856625501885572
AsAt	MI	up	two.sided	42	220	0.234612606023677
AsAt	MI	up	greater	42	220	0.139844742093834
AsAt	MI	up	less	42	220	0.89541742932831
AsAt	MI	down	two.sided	8	254	0.000000482944373161326
AsAt	MI	down	greater	8	254	0.99999995206227
AsAt	MI	down	less	8	254	0.000000218694223748492
AsAt	MN	both	two.sided	122	329	0.507487608260637
AsAt	MN	both	greater	122	329	0.267344018616263
AsAt	MN	both	less	122	329	0.767358891299131
AsAt	MN	up	two.sided	77	374	0.0349478906930397
AsAt	MN	up	greater	77	374	0.0209787714036937
AsAt	MN	up	less	77	374	0.984860962968509
AsAt	MN	down	two.sided	45	406	0.181784758002458
AsAt	MN	down	greater	45	406	0.928466490706981
AsAt	MN	down	less	45	406	0.0953842996287525
AsAt	PI	both	two.sided	37	130	0.326017693520078
AsAt	PI	both	greater	37	130	0.867435385848205
AsAt	PI	both	less	37	130	0.176266399317289
AsAt	NT	both	NA	2251	6530	NA
AsAt	PI	up	two.sided	13	154	0.0291424127214108
AsAt	PI	up	greater	13	154	0.991999149205784
AsAt	PI	up	less	13	154	0.0160752642975427
AsAt	NT	up	NA	1186	7595	NA
AsAt	PI	down	two.sided	24	143	0.401792117227882
AsAt	PI	down	greater	24	143	0.220275071830819
AsAt	PI	down	less	24	143	0.841106469604707
AsAt	NT	down	NA	1065	7716	NA
AsAt	PN	both	two.sided	325	938	0.945065623617943
AsAt	PN	both	greater	325	938	0.482489450817025
AsAt	PN	both	less	325	938	0.544894761373085
AsAt	PN	up	two.sided	131	1132	0.0017854159067384
AsAt	PN	up	greater	131	1132	0.99933828850169
AsAt	PN	up	less	131	1132	0.00091532188673381
AsAt	PN	down	two.sided	194	1069	0.00145986033873018
AsAt	PN	down	greater	194	1069	0.000883082478410984
AsAt	PN	down	less	194	1069	0.99934438897092
