baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AsAa_g14433_AsAt_g9273	619.303019152496	-12.9566647609135	0.7832645925796	-16.5418747172549	0.000000000000000000000000000000000000000000000000000000000000183230180255526	0.0000000000000000000000000000000000000000000000000000000000471692784489623
AsAa_g5665_AsAt_g3936	291.859220794462	-11.8724849813052	0.780496120998684	-15.2114593037487	0.000000000000000000000000000000000000000000000000000296851359476384	0.0000000000000000000000000000000000000000000000000460607582025891
AsAa_g11852_AsAt_g12376	183.145544826544	-11.1974489647048	0.852061239181083	-13.1416011547089	0.0000000000000000000000000000000000000019015990707311	0.000000000000000000000000000000000000149579254681745
AsAa_g5417_AsAt_g3642	287.206733687843	-11.0227596258355	0.792361997877168	-13.9112673946589	0.0000000000000000000000000000000000000000000541120139473563	0.0000000000000000000000000000000000000000052838515688078
AsAa_g12186_AsAt_g11488	480.188876096259	-10.9723678286906	0.728750219934763	-15.0564178624507	0.00000000000000000000000000000000000000000000000000313309411119318	0.000000000000000000000000000000000000000000000000461718067161228
AsAa_g23211_AsAt_g17166	556.502215330077	-10.8714631215533	0.722980249274314	-15.0370126050683	0.00000000000000000000000000000000000000000000000000420084187093114	0.00000000000000000000000000000000000000000000000061003763938509
AsAa_g3277_AsAt_g525	123.836184821129	-10.6331004496784	0.812830409546769	-13.0815731360339	0.00000000000000000000000000000000000000419664006100622	0.000000000000000000000000000000000000323369673272227
AsAa_g5151_AsAt_g9270	97.946387519038	-10.2984057749427	0.809947714641314	-12.7149019483355	0.000000000000000000000000000000000000488722173182613	0.0000000000000000000000000000000000337546100953626
AsAa_g4100_AsAt_g5508	154.813754129649	-10.1340555834189	0.796156311060299	-12.7287260587341	0.00000000000000000000000000000000000040946556067321	0.0000000000000000000000000000000000286297308996632
AsAa_g6668_AsAt_g12722	305.106371957035	-9.98189221858732	0.704538112245828	-14.167994669257	0.0000000000000000000000000000000000000000000014457014567355	0.000000000000000000000000000000000000000000155956765718505
AsAa_g7935_AsAt_g11928	74.0495964456915	-9.89081875865702	0.803344476266667	-12.3120517422638	0.0000000000000000000000000000000000780143566804224	0.00000000000000000000000000000000467549533396373
AsAa_g1043_AsAt_g2730	58.8740843493386	-9.55893003950878	0.957910366497769	-9.97893996539293	0.0000000000000000000000188469442078721	0.000000000000000000000518153730685842
AsAa_g3647_AsAt_g180	43.5496842309827	-9.12438900457541	0.905744866022412	-10.0739064021917	0.00000000000000000000000720579180730622	0.000000000000000000000206111120710499
AsAa_g21601_AsAt_g18833	80.5072492184684	-8.77602381062394	0.782018314020913	-11.2222740225867	0.0000000000000000000000000000317012214826318	0.00000000000000000000000000132992494716211
