baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AsAa_g9278_AsAt_g9231	922.145761235989	-13.2441894323385	0.967519588500906	-13.6888075339739	0.00000000000000000000000000000000000000000118436991300888	0.000000000000000000000000000000000000000403654800351846
AsAa_g9289_AsAt_g9219	694.32383050296	-12.8345334162928	0.97140423421901	-13.2123507023947	0.000000000000000000000000000000000000000744621686029038	0.000000000000000000000000000000000000170913471485073
AsAa_g9263_AsAt_g9244	609.166122048865	-12.6471830540083	0.985688834415159	-12.8308068555045	0.000000000000000000000000000000000000110210401168369	0.0000000000000000000000000000000000221345782489401
AsAa_g9319_AsAt_g9188	595.459595397778	-12.6133330850338	0.937993144008201	-13.44714848462	0.0000000000000000000000000000000000000000319975251312071	0.00000000000000000000000000000000000000947042539870228
AsAa_g9313_AsAt_g9194	337.530952120925	-11.7947236658454	0.923197039418323	-12.7759548203023	0.000000000000000000000000000000000000223389351447022	0.0000000000000000000000000000000000425840684021128
AsAa_g9271_AsAt_g9236	337.225883412895	-11.7932405504292	1.16229667399893	-10.1464977180517	0.00000000000000000000000343468866507509	0.000000000000000000000225906101848535
AsAa_g9297_AsAt_g9211	493.889652907502	-11.7664477509079	0.962118497144782	-12.2297282359984	0.00000000000000000000000000000000021565893171083	0.0000000000000000000000000000000341621972528409
AsAa_g9305_AsAt_g9204	296.545308759387	-11.6076667558137	1.09203384171519	-10.6294020500154	0.0000000000000000000000000217502498235179	0.00000000000000000000000173492950188019
AsAa_g12697_AsAt_g10559	282.431961527013	-11.537598730041	1.13195103397644	-10.1926659225801	0.00000000000000000000000213818842390487	0.000000000000000000000141460030609753
AsAa_g9256_AsAt_g9253	277.927591783085	-11.5129913038619	0.933062014335378	-12.3389347406481	0.0000000000000000000000000000000000558904417613091	0.00000000000000000000000000000000924411468366828
AsAa_g9266_AsAt_g9241	253.465918067145	-11.3802566453521	0.947141402292422	-12.0153723803096	0.00000000000000000000000000000000295037561394035	0.000000000000000000000000000000420036386455533
AsAa_g9308_AsAt_g9199	1250.25905501058	-11.3087160112259	0.719407051219763	-15.7194956486065	0.000000000000000000000000000000000000000000000000000000111205380643084	0.0000000000000000000000000000000000000000000000000000694848286718203
AsAa_g9290_AsAt_g9218	220.856585225061	-11.1799575172425	0.942773857435676	-11.8585782041642	0.0000000000000000000000000000000194245518976059	0.00000000000000000000000000000251112569186636
AsAa_g9261_AsAt_g9247	215.656080552955	-11.1466642937264	1.00883122518759	-11.0490873155257	0.000000000000000000000000000221454797107255	0.0000000000000000000000000218482640619763
AsAa_g9281_AsAt_g9228	204.576216920309	-11.0707027642775	0.985140091053414	-11.2376938719848	0.0000000000000000000000000000266246749242973	0.0000000000000000000000000029357619497409
AsAa_g9247_AsAt_g9261	199.867525237066	-11.0368336761596	1.05523676553629	-10.4591064646525	0.000000000000000000000000133104935535523	0.00000000000000000000000984888953926332
AsAa_g5417_AsAt_g3642	192.559406182754	-10.9820071349433	0.939441480622807	-11.6899321154765	0.000000000000000000000000000000143501267599917	0.000000000000000000000000000017932875074403
AsAa_g14433_AsAt_g9273	181.805898001106	-10.8999854526552	0.998408967924226	-10.9173553151442	0.000000000000000000000000000952283885142361	0.0000000000000000000000000885151806297201
AsAa_g9304_AsAt_g9205	555.996033228679	-10.8458355608431	0.906355134308005	-11.9664303210725	0.00000000000000000000000000000000532716180600337	0.000000000000000000000000000000739686281878023
AsAa_g9276_AsAt_g9233	174.026159410697	-10.8374846208228	0.980081535063312	-11.0577377831353	0.000000000000000000000000000201105775358084	0.0000000000000000000000000201949701379676
AsAa_g9268_AsAt_g9239	172.256484517244	-10.8247696817813	0.943023175097132	-11.4787949730571	0.00000000000000000000000000000168614099521632	0.000000000000000000000000000190102562226458
AsAa_g9243_AsAt_g9265	165.616690515993	-10.7675561875036	0.935838288177699	-11.5057871894413	0.00000000000000000000000000000123358632939472	0.000000000000000000000000000141572912721453
AsAa_g9253_AsAt_g9256	137.807698390594	-10.5001518412501	0.968541917670543	-10.8411950476074	0.00000000000000000000000000219583712130178	0.000000000000000000000000194461260655757
AsAa_g5665_AsAt_g3936	190.031593449733	-10.3895265533958	0.94285705212985	-11.0191958896914	0.000000000000000000000000000308805286579098	0.0000000000000000000000000299408022254751
AsAa_g9267_AsAt_g9240	188.502059857049	-10.3735992166068	0.981171448705816	-10.5726672237455	0.0000000000000000000000000398982981393782	0.00000000000000000000000309473213223163
AsAa_g4100_AsAt_g5508	384.957813531093	-10.3059505758683	0.929665695564266	-11.0856522135229	0.000000000000000000000000000147273185027933	0.0000000000000000000000000150580137455378
AsAa_g9273_AsAt_g9235	113.220959951409	-10.2168437947451	0.951799996487805	-10.7342339067512	0.00000000000000000000000000702996165259249	0.000000000000000000000000594481042907577
AsAa_g9258_AsAt_g9250	1093.69121171291	-10.1795165809516	0.662327701952106	-15.3693051807271	0.0000000000000000000000000000000000000000000000000000262974223279469	0.000000000000000000000000000000000000000000000000014788355446121
AsAa_g9280_AsAt_g9229	668.455793842257	-10.1125216300547	0.627891262358197	-16.1055301073545	0.000000000000000000000000000000000000000000000000000000000233290101915728	0.000000000000000000000000000000000000000000000000000000218651148020516
AsAa_g9288_AsAt_g9220	330.900468558722	-10.0905881280774	0.833228768225525	-12.1102253221125	0.000000000000000000000000000000000932376826358667	0.000000000000000000000000000000139819228880746
AsAa_g9251_AsAt_g9258	100.611630864548	-10.0529961568308	0.964157802213058	-10.4267124466098	0.000000000000000000000000187255346096445	0.0000000000000000000000137651037748152
AsAa_g9282_AsAt_g9227	97.1929276720367	-9.99511996824455	0.972325131086509	-10.2796067371782	0.000000000000000000000000870821929028156	0.0000000000000000000000604576187393807
AsAa_g9309_AsAt_g9198	198.768197901182	-9.87366817094779	0.921234153729611	-10.7178702949454	0.00000000000000000000000000839132439621951	0.000000000000000000000000699090559142821
AsAa_g9269_AsAt_g9238	81.5174303513599	-9.74204139663829	0.991581665028244	-9.82474942833962	0.0000000000000000000000880928314744065	0.00000000000000000000544384656919039
AsAa_g9302_AsAt_g9207	758.744000465309	-9.73684785311097	0.559569240293161	-17.4006131001943	0.000000000000000000000000000000000000000000000000000000000000000000081624593995375	0.000000000000000000000000000000000000000000000000000000000000000114753976083248
AsAa_g9298_AsAt_g9210	170.733793200892	-9.65015944618849	1.10119326041249	-8.76336588054825	0.00000000000000000189505336399458	0.0000000000000000855970489351285
AsAa_g11588_AsAt_g7199	605.911082645733	-9.62856208032559	1.02297533012283	-9.41231112500971	0.00000000000000000000485345615303687	0.00000000000000000026627717733271
AsAa_g9254_AsAt_g9255	66.16670534354	-9.43700840624919	0.959387455700878	-9.83649343148333	0.0000000000000000000000783957103467391	0.00000000000000000000487136217828605
AsAa_g6668_AsAt_g12722	192.151924875569	-9.30033385832914	0.841907386847275	-11.0467421994674	0.000000000000000000000000000227314849509838	0.0000000000000000000000000222313922820622
AsAa_g3428_AsAt_g13465	54.9867777104347	-9.17807259822099	0.958802193161938	-9.57243596612305	0.00000000000000000000104415955259416	0.0000000000000000000599166453470743
AsAa_g14475_AsAt_g22172	214.215364984048	-9.04445170220253	0.756424297913634	-11.9568497827858	0.00000000000000000000000000000000597872699289583	0.000000000000000000000000000000820033444989017
AsAa_g7680_AsAt_g12180	168.422808606636	-8.74629414705749	0.905171491937236	-9.66258242218698	0.00000000000000000000043476363029152	0.0000000000000000000262891749994017
AsAa_g22782_AsAt_g17720	82.4667592274016	-8.60630332442146	1.01068213154764	-8.51534132818077	0.0000000000000000166100331534204	0.000000000000000697063592822834
AsAa_g9259_AsAt_g9249	33.7943253904883	-8.4712966385981	1.28682603969191	-6.5830938893856	0.0000000000460757969100708	0.000000000925383014013511
