target_id	category	PatMatFC	DadMomFC	MatMomFC	PatDadFC	PolyRank	DipRank	MomRank	DadRank
AsAa_g2616_AsAt_g1183	Not-organelle-targeted	15.1649566465799	13.0006731807097	NA	NA	1	1	NA	NA
AsAa_g9278_AsAt_g9231	Dual-targeted_Non-interacting	-13.2441894323385	0.795528334299431	1.62262588252224	-12.4195303808666	2	4603	913	1
AsAa_g9289_AsAt_g9219	Not-organelle-targeted	-12.8345334162928	1.19936724343037	2.02757134133348	-12.0054063117747	3	3170	689	3
AsAa_g9263_AsAt_g9244	Not-organelle-targeted	-12.6471830540083	NA	1.59736703259615	-11.2735094611659	4	NA	932	7
AsAa_g9319_AsAt_g9188	Plastid-targeted_Non-interacting	-12.6133330850338	NA	1.08254610603252	-11.3191351271103	5	NA	1478	6
AsAa_g9313_AsAt_g9194	Not-organelle-targeted	-11.7947236658454	0.402629793127262	0.836977530896214	-11.382254233778	6	6058	1863	5
AsAa_g9271_AsAt_g9236	Not-organelle-targeted	-11.7932405504292	1.5636609213508	1.91627651435233	-11.4081831984715	7	2262	743	4
AsAa_g9297_AsAt_g9211	Mitochondria-targeted_Non-interacting	-11.7664477509079	-0.685626983610472	1.09336070851387	-10.0019495973697	8	5022	1464	25
AsAa_g9305_AsAt_g9204	Not-organelle-targeted	-11.6076667558137	NA	NA	-10.6185224701641	9	NA	NA	11
AsAa_g12697_AsAt_g10559	Not-organelle-targeted	-11.537598730041	-5.07390102395912	4.53658191761042	NA	10	229	111	NA
AsAa_g9256_AsAt_g9253	Not-organelle-targeted	-11.5129913038619	NA	0.894948209835174	-10.8503031309501	11	NA	1769	9
AsAa_g18041_AsAt_g15135	Not-organelle-targeted	11.4213600999938	5.0849458512151	-9.19669599854434	-2.87577035151439	12	225	6	375
AsAa_g9266_AsAt_g9241	Not-organelle-targeted	-11.3802566453521	NA	1.14189314537915	-10.1696246618386	13	NA	1401	20
AsAa_g9308_AsAt_g9199	Dual-targeted_Non-interacting	-11.3087160112259	-1.78313190166986	NA	-9.15629612688968	14	1861	NA	35
AsAa_g20337_AsAt_g19894	Not-organelle-targeted	11.2549163245763	12.9029383560318	NA	NA	15	4	NA	NA
AsAa_g9290_AsAt_g9218	Not-organelle-targeted	-11.1799575172425	NA	1.47547119822965	-10.0200202861461	16	NA	1027	24
AsAa_g9261_AsAt_g9247	Plastid-targeted_Non-interacting	-11.1466642937264	-1.03669755746374	NA	-9.68320708602841	17	3696	NA	27
AsAa_g9281_AsAt_g9228	Not-organelle-targeted	-11.0707027642775	NA	NA	-10.6201849819344	18	NA	NA	10
AsAa_g9247_AsAt_g9261	Plastid-targeted_Non-interacting	-11.0368336761596	-0.414271941080812	NA	-9.76595998957661	19	6034	NA	26
AsAa_g5417_AsAt_g3642	Not-organelle-targeted	-10.9820071349433	-11.0227596258355	NA	NA	20	12	NA	NA
AsAa_g14433_AsAt_g9273	Plastid-targeted_Non-interacting	-10.8999854526552	-12.9566647609135	-1.17221994222953	NA	21	2	1353	NA
AsAa_g9304_AsAt_g9205	Plastid-targeted_Non-interacting	-10.8458355608431	-0.891600976908852	1.31593264824597	-8.62946751116954	22	4215	1174	45
AsAa_g9276_AsAt_g9233	Not-organelle-targeted	-10.8374846208228	NA	1.54433182397279	-9.31790626992104	23	NA	964	32
AsAa_g9268_AsAt_g9239	Not-organelle-targeted	-10.8247696817813	NA	1.13280706015749	-9.39417999129616	24	NA	1413	29
AsAa_g9243_AsAt_g9265	Not-organelle-targeted	-10.7675561875036	0.665900963162148	1.07317003238794	-10.377814424002	25	5118	1482	16
AsAa_g21268_AsAt_g19263	Not-organelle-targeted	10.6620142672539	7.37862402905289	NA	2.20830985176031	26	67	NA	616
AsAa_g20637_AsAt_g19616	Not-organelle-targeted	10.62485226776	5.4141588066392	-5.83244942868724	NA	27	188	51	NA
AsAa_g5966_AsAt_g4210	Not-organelle-targeted	10.5880621291631	6.59355308997695	NA	0.968435488827796	28	103	NA	2100
AsAa_g9253_AsAt_g9256	Mitochondria-targeted_Interacting	-10.5001518412501	NA	1.08809525440966	-9.12724554571159	29	NA	1474	36
AsAa_g16303_AsAt_g20431	Not-organelle-targeted	10.4746762791039	3.74315217371969	NA	4.0530683667435	30	496	NA	193
AsAa_g5665_AsAt_g3936	Not-organelle-targeted	-10.3895265533958	-11.8724849813052	NA	NA	31	6	NA	NA
AsAa_g9267_AsAt_g9240	Plastid-targeted_Non-interacting	-10.3735992166068	0.504599593971727	1.52592572155353	-9.35400496501827	32	5737	980	30
AsAa_g4100_AsAt_g5508	Not-organelle-targeted	-10.3059505758683	-10.1340555834189	1.94551206633758	NA	33	18	728	NA
AsAa_g15623_AsAt_g21087	Not-organelle-targeted	10.2357747950668	9.74165566923057	NA	NA	34	22	NA	NA
AsAa_g11583_AsAt_g7201	Not-organelle-targeted	10.232872769808	-0.563427514443219	-9.90891948294975	0.864238724180858	35	5506	2	2398
AsAa_g9273_AsAt_g9235	Not-organelle-targeted	-10.2168437947451	0.819768986230383	0.840754232364536	-10.2282499160002	36	4515	1854	18
AsAa_g9258_AsAt_g9250	Plastid-targeted_Non-interacting	-10.1795165809516	NA	0.909713067119836	-9.03228480312139	37	NA	1754	37
AsAa_g2565_AsAt_g1237	Not-organelle-targeted	10.1563083899674	3.30643183890996	-7.23526973566345	NA	38	646	22	NA
AsAa_g9280_AsAt_g9229	Not-organelle-targeted	-10.1125216300547	2.53737259264747	2.16511706102377	-10.5080377719349	39	1051	613	13
AsAa_g9288_AsAt_g9220	Not-organelle-targeted	-10.0905881280774	1.68326875237259	1.32317977715404	-10.4657685154542	40	2021	1171	14
