species	category	direction	sided	DE	nDE
AsAa	DI	both	greater_notSig	18	27
AsAa	DI	down	less_SIGNIF	3	42
AsAa	DI	up	greater_SIGNIF	15	30
AsAa	DN	both	greater_notSig	68	116
AsAa	DN	down	greater_notSig	34	150
AsAa	DN	up	greater_notSig	34	150
AsAa	MI	both	less_notSig	78	185
AsAa	MI	down	less_notSig	44	219
AsAa	MI	up	less_SIGNIF	34	229
AsAa	MN	both	greater_SIGNIF	182	272
AsAa	MN	down	greater_SIGNIF	111	343
AsAa	MN	up	less_notSig	71	383
AsAa	NT	both	NA_notSig	3020	5822
AsAa	NT	down	NA_notSig	1486	7356
AsAa	NT	up	NA_notSig	1534	7308
AsAa	PI	both	less_SIGNIF	43	125
AsAa	PI	down	less_SIGNIF	17	151
AsAa	PI	up	less_notSig	26	142
AsAa	PN	both	greater_SIGNIF	466	804
AsAa	PN	down	less_notSig	193	1077
AsAa	PN	up	greater_SIGNIF	273	997
AsAt	DI	both	less_notSig	9	36
AsAt	DI	down	less_notSig	2	43
AsAt	DI	up	greater_notSig	7	38
AsAt	DN	both	less_notSig	42	143
AsAt	DN	down	less_notSig	20	165
AsAt	DN	up	less_notSig	22	163
AsAt	MI	both	less_SIGNIF	50	212
AsAt	MI	down	less_SIGNIF	8	254
AsAt	MI	up	greater_notSig	42	220
AsAt	MN	both	greater_notSig	122	329
AsAt	MN	down	less_notSig	45	406
AsAt	MN	up	greater_SIGNIF	77	374
AsAt	NT	both	NA_notSig	2251	6530
AsAt	NT	down	NA_notSig	1065	7716
AsAt	NT	up	NA_notSig	1186	7595
AsAt	PI	both	less_notSig	37	130
AsAt	PI	down	greater_notSig	24	143
AsAt	PI	up	less_SIGNIF	13	154
AsAt	PN	both	greater_notSig	325	938
AsAt	PN	down	greater_SIGNIF	194	1069
AsAt	PN	up	less_SIGNIF	131	1132
AsSA	cp	both	less_SIGNIF	15	63
AsSA	cp	down	less_notSig	11	67
AsSA	cp	up	less_SIGNIF	4	74
AsSA	DI	both	greater_notSig	18	27
AsSA	DI	down	less_SIGNIF	2	43
AsSA	DI	up	greater_SIGNIF	16	29
AsSA	DN	both	less_notSig	59	126
AsSA	DN	down	less_notSig	25	160
AsSA	DN	up	greater_notSig	34	151
AsSA	MI	both	greater_notSig	99	164
AsSA	MI	down	greater_notSig	57	206
AsSA	MI	up	less_notSig	42	221
AsSA	MN	both	greater_SIGNIF	190	264
AsSA	MN	down	greater_SIGNIF	116	338
AsSA	MN	up	less_notSig	74	380
AsSA	mt	both	greater_SIGNIF	21	10
AsSA	mt	down	two.sided_SIGNIF	16	15
AsSA	mt	down	greater_SIGNIF	16	15
AsSA	mt	up	less_notSig	5	26
AsSA	NT	both	NA_notSig	3214	5828
AsSA	NT	down	NA_notSig	1612	7430
AsSA	NT	up	NA_notSig	1602	7440
AsSA	PI	both	less_SIGNIF	40	128
AsSA	PI	down	less_SIGNIF	16	152
AsSA	PI	up	less_notSig	24	144
AsSA	PN	both	greater_notSig	470	806
AsSA	PN	down	less_SIGNIF	185	1091
AsSA	PN	up	greater_SIGNIF	285	991
AsST	cp	both	less_SIGNIF	16	62
AsST	cp	down	greater_notSig	16	62
AsST	cp	up	less_SIGNIF	0	78
AsST	DI	both	greater_notSig	17	28
AsST	DI	down	greater_notSig	7	38
AsST	DI	up	greater_notSig	10	35
AsST	DN	both	less_notSig	55	130
AsST	DN	down	greater_notSig	28	157
AsST	DN	up	less_notSig	27	158
AsST	MI	both	less_SIGNIF	77	186
AsST	MI	down	less_SIGNIF	23	240
AsST	MI	up	greater_notSig	54	209
AsST	MN	both	greater_notSig	174	280
AsST	MN	down	greater_notSig	81	373
AsST	MN	up	greater_notSig	93	361
AsST	mt	both	greater_notSig	12	19
AsST	mt	down	less_notSig	3	28
AsST	mt	up	greater_notSig	9	22
AsST	NT	both	NA_notSig	3120	5922
AsST	NT	down	NA_notSig	1359	7683
AsST	NT	up	NA_notSig	1761	7281
AsST	PI	both	greater_notSig	58	110
AsST	PI	down	greater_SIGNIF	42	126
AsST	PI	up	less_SIGNIF	16	152
AsST	PN	both	greater_notSig	459	817
AsST	PN	down	greater_SIGNIF	269	1007
AsST	PN	up	less_SIGNIF	190	1086
