category	sided	FC	MatMoreCat	PatMoreCat
DI	two.sided_notSig	any	5	4
DI	greater_notSig	any	5	4
DI	less_notSig	any	5	4
DN	two.sided_notSig	any	33	29
DN	greater_notSig	any	33	29
DN	less_notSig	any	33	29
MI	two.sided_notSig	any	53	53
MI	greater_notSig	any	53	53
MI	less_notSig	any	53	53
MN	two.sided_notSig	any	67	75
MN	greater_notSig	any	67	75
MN	less_notSig	any	67	75
PI	two.sided_SIGNIF	any	28	17
PI	greater_SIGNIF	any	28	17
PI	less_notSig	any	28	17
PN	two.sided_SIGNIF	any	197	182
PN	greater_SIGNIF	any	197	182
PN	less_notSig	any	197	182
NT	NA_notSig	any	1251	1527
DI	two.sided_notSig	twofold	0	0
DI	greater_notSig	twofold	0	0
DI	less_notSig	twofold	0	0
DN	two.sided_notSig	twofold	7	5
DN	greater_notSig	twofold	7	5
DN	less_notSig	twofold	7	5
MI	two.sided_SIGNIF	twofold	14	6
MI	greater_SIGNIF	twofold	14	6
MI	less_notSig	twofold	14	6
MN	two.sided_notSig	twofold	12	10
MN	greater_notSig	twofold	12	10
MN	less_notSig	twofold	12	10
PI	two.sided_SIGNIF	twofold	9	4
PI	greater_SIGNIF	twofold	9	4
PI	less_notSig	twofold	9	4
PN	two.sided_SIGNIF	twofold	45	37
PN	greater_SIGNIF	twofold	45	37
PN	less_notSig	twofold	45	37
NT	NA_notSig	twofold	371	541
