target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAa_g4533	951	771.98	15.4246	0.230407
AsAa_g14924	1365	1185.93	41.9011	0.407431
AsAa_g1957	336	161.503	298.107	21.2852
AsAt_g4674	483	304.313	1	0.0378936
AsAt_g3881	1191	1011.93	123	1.40166
AsAt_g9241	1512	1332.93	584	5.05234
AsAa_g6256	615	436.026	0	0
AsAa_g8827	810	630.98	257	4.69682
AsAa_g19432	1608	1428.93	5	0.0403503
AsAt_g2836	954	774.98	1037.94	15.4442
AsAa_g15154	3399	3219.93	1101.24	3.94388
AsAa_g21159	6696	6516.93	1749.01	3.09482
AsAt_g3991	1023	843.926	95	1.29809
AsAt_g18765	2532	2352.93	85	0.416578
AsAa_g3609	3063	2883.93	429.224	1.71627
AsAt_g6980	912	732.98	239.563	3.76889
AsAt_g6975	528	349.116	352.529	11.6442
AsAt_g19236	1476	1296.93	3	0.0266742
AsAa_g17505	561	382.068	72.5446	2.18953
AsAa_g19950	1110	930.926	0	0
AsAa_g8775	1719	1539.93	80	0.599068
AsAa_g11249	3069	2889.93	240.992	0.961617
AsAa_g12630	357	181.305	20	1.27205
AsAt_g21169	1260	1080.93	217.676	2.3222
AsAa_g11675	627	448.026	0	0
AsAt_g16594	681	501.98	0	0
AsAa_g18410	1011	831.926	6	0.0831673
AsAa_g1716	252	89.4065	9.75018	1.25756
AsAa_g22302	705	525.98	3	0.0657715
AsAt_g6206	1359	1179.93	0	0
AsAt_g7191	1179	999.926	178	2.05276
AsAa_g7521	4428	4248.93	296.957	0.805937
AsAa_g15170	1116	936.926	403	4.96005
AsAa_g19143	429	251.051	74.2937	3.41253
AsAa_g4195	1818	1638.93	766.836	5.39547
AsAa_g20036	846	666.98	1	0.0172891
AsAa_g10983_AsAa_g15737	519	340.162	6.27633	0.212768
AsAt_g5510	3522	3342.93	221.08	0.762621
AsAa_g14895	216	63.3535	17.6749	3.21715
AsAt_g21848	720	540.98	29	0.618163
AsAt_g18677	1701	1521.93	175	1.32596
AsAt_g19953	1332	1152.93	6	0.0600117
AsAa_g17490	3687	3507.93	0	0
AsAa_g84	5475	5295.93	747.183	1.62694
AsAt_g11411	366	189.756	0	0
AsAt_g6292	354	178.481	0	0
AsAa_g6789	252	89.4065	90	11.6081
AsAt_g2363	405	227.557	90.8611	4.60442
AsAa_g17880	984	804.954	80	1.14605
AsAa_g17894	1323	1143.93	769	7.75201
AsAa_g900	495	316.271	17	0.619834
AsAa_g3495	660	480.98	696.703	16.7035
AsAt_g9233	1317	1137.93	430	4.35753
AsAa_g6223	1698	1518.93	2861.82	21.7266
AsAt_g16355	1977	1797.93	0	0
AsAa_g10872	1359	1179.93	0	0
AsAt_g9569	819	639.98	65.8031	1.18568
AsAa_g1318	2523	2343.93	468.661	2.30569
AsAa_g12803	3264	3084.93	136.201	0.509123
AsAt_g20899	702	522.98	9	0.198446
AsAt_g20312	1725	1545.93	313.607	2.33929
AsAt_g14467	1035	855.926	0	0
AsAt_g11911	1152	972.926	0	0
AsAa_g7152	573	394.055	0	0
AsAt_g2215	1269	1089.93	475.683	5.03277
AsAa_g800	786	606.98	6214.59	118.066
AsAt_g2808	456	277.643	0	0
AsAa_g18075	2220	2040.93	1021.68	5.77264
AsAa_g6253	1254	1074.93	1513.92	16.2409
AsAa_g15427	306	134.257	849.217	72.9404
AsAa_g20216	1104	924.926	97.7668	1.21891
AsAa_g20974	402	224.61	0	0
AsAt_g14278	501	322.25	0	0
AsAa_g14203	1326	1146.93	344.316	3.46185
AsAa_g20322	1341	1161.93	519.23	5.15309
AsAt_g14938	1368	1188.93	183	1.77493
AsAa_g10734	1878	1698.93	78	0.529427
AsAa_g10003	777	597.98	23	0.443534
AsAt_g8581	888	708.98	0	0
AsAt_g6183	891	711.98	77	1.24712
AsAa_g14859	2433	2253.93	265.951	1.36065
AsAt_g9736	672	492.98	0	0
AsAt_g21764	489	310.282	69.5021	2.58302
AsAa_g8375	1140	960.926	27	0.324011
AsAa_g1855	1068	888.926	19	0.246476
AsAa_g10891	1887	1707.93	375.559	2.53569
AsAa_g10276	975	795.98	676	9.79333
AsAt_g18062	651	471.98	50	1.22161
AsAa_g988	1521	1341.93	1	0.00859325
AsAa_g1637	1530	1350.93	14	0.119504
AsAt_g20729	1044	864.926	29.2	0.389305
AsAt_g16311	903	723.98	0	0
AsAt_g4399	789	609.98	31	0.586047
AsAt_g91	1626	1446.93	0.5	0.00398483
AsAa_g7509	855	675.98	45.8029	0.781348
AsAa_g7623	690	510.98	164	3.70106
AsAt_g22101	327	153.186	308	23.1855
AsAt_g11858	1938	1758.93	194.389	1.27442
AsAt_g18390	879	699.98	19	0.313007
AsAa_g20616	1728	1548.93	2	0.0148897
AsAt_g21009	1146	966.926	60	0.715557
AsAt_g11880	312	139.573	2468.77	203.969
AsAa_g3195	435	256.89	5	0.224444
AsAt_g10906	480	301.383	6	0.229572
AsAt_g18345	798	618.98	8811.51	164.157
AsAt_g6609	2364	2184.93	1109.41	5.85519
AsAt_g14039	1572	1392.93	322	2.66572
AsAa_g23141	1077	897.926	0	0
AsAa_g5126	1350	1170.93	12.6261	0.124345
AsAt_g3187	660	480.98	67	1.60633
AsAa_g20743	915	735.98	8	0.125346
AsAt_g11001	465	286.549	1	0.0402427
AsAt_g4992	3612	3432.93	36.9984	0.124281
AsAa_g11028	2586	2406.93	947.978	4.54173
AsAt_g11504	486	307.282	132	4.95362
AsAa_g8049	1014	834.926	85	1.17397
AsAa_g16394	1893	1713.93	0	0
AsAa_g23326	300	128.901	0	0
AsAt_g15254	942	762.98	9	0.136024
AsAa_g18351	864	684.98	1	0.0168348
AsAa_g11062	2184	2004.93	3012	17.3238
AsAa_g127	1275	1095.93	57.6968	0.607095
AsAa_g6731	1275	1095.93	33.0556	0.347816
AsAt_g1069	660	480.98	0	0
AsAa_g12182	2025	1845.93	114	0.712158
AsAt_g10655	705	525.98	124	2.71856
AsAa_g16363	693	513.98	60	1.34614
AsAt_g20679	726	546.98	118.293	2.49386
AsAa_g10454	573	394.055	64	1.87288
AsAa_g8264	618	439.026	0	0
AsAa_g22179	3636	3456.93	60.2328	0.200923
AsAa_g16662	1950	1770.93	538.781	3.50831
AsAa_g13226	2199	2019.93	13.1322	0.0749698
AsAa_g8806	318	144.929	0	0
AsAa_g1451	516	337.184	0	0
AsAt_g13717	882	702.98	671.609	11.0169
AsAa_g13605	1275	1095.93	28.8021	0.30306
AsAt_g12005	414	236.294	1.02912	0.0502227
AsAa_g21890	879	699.98	628	10.3457
AsAt_g972	873	693.98	1208.39	20.0791
AsAa_g14435	753	573.98	0	0
AsAt_g8577	675	495.98	1	0.0232499
AsAt_g20981	1284	1104.93	101.26	1.05679
AsAa_g8019	3267	3087.93	657.937	2.45699
AsAa_g3580	441	262.769	0	0
