Category1	Category2	estimate	SE	df	t.ratio	p.value
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.100619914304583	0.094801421693979	53273	-1.06137558389563	1
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.22018430249987	0.0481757710302159	53273	-4.5704365034816	9.75601459425235e-05
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	-0.11897320837727	0.0400924220206455	53273	-2.96747371151599	0.0510665289744773
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.0996192091087512	0.0309572364701745	53273	-3.21796195227983	0.0232527853200409
AreNot-organelle-targeted	Plastid-targeted_Interacting	-0.220888571599259	0.0500105293333399	53273	-4.41684130409717	0.000190666392504732
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-0.187071298052249	0.0193317756095707	53273	-9.67688130828676	8.27989825144229e-21
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.119564388195287	0.105885223389929	53273	-1.12918860977403	1
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	-0.0183532940726871	0.102460616440957	53273	-0.179125352844848	1
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.00100070519583212	0.0992427635036913	53273	0.0100834071976935	1
Dual-targeted_Interacting	Plastid-targeted_Interacting	-0.120268657294676	0.106732509865459	53273	-1.12682309678916	1
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.0864513837476657	0.0962522372010038	53273	-0.898175317911095	1
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	0.1012110941226	0.0619013188923876	53273	1.63503938096295	1
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	0.120565093391119	0.0564156136810167	53273	2.13708733317719	0.488931440950612
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.000704269099388921	0.0687417196565257	53273	-0.010245148112498	1
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.033113004447621	0.0509714481386819	53273	0.649638290784439	1
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.0193539992685192	0.0496912352043247	53273	0.389485171558681	1
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-0.101915363221989	0.0633397301104299	53273	-1.60902743103426	1
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.0680980896749786	0.0434118176822871	53273	-1.56865326795022	1
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-0.121269362490508	0.0579902543264886	53273	-2.0912024597746	0.51120501315062
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.0874520889434978	0.0351501650190845	53273	-2.48795671075844	0.205615516732499
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.0338172735470099	0.0527089807831586	53273	0.64158466061281	1
