Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.642332032493181	0.00995669321021536	64.5125865517441	0
TargetingDual-targeted_Interacting	0.200563653156494	0.183936194499885	1.09039797034955	0.275542808083257
TargetingDual-targeted_Non-interacting	0.306939483987044	0.0748830745573411	4.09891668847021	4.15702818184775e-05
TargetingMitochondria-targeted_Interacting	0.680866349601911	0.0729290116472163	9.3360150401531	1.03739427027156e-20
TargetingMitochondria-targeted_Non-interacting	0.274368380072993	0.0557199529322141	4.92405979608014	8.50201011765348e-07
TargetingPlastid-targeted_Interacting	0.412700307564743	0.0787719944127476	5.23917555523967	1.61907853426275e-07
TargetingPlastid-targeted_Non-interacting	0.107558210897987	0.0297618860383013	3.61395815976069	0.000301835370727408
dipDelta	0.380935583493134	0.0034111071899489	111.675055130367	0
TargetingDual-targeted_Interacting:dipDelta	0.0555741937422082	0.0732425947402069	0.758768772997886	0.447994246066639
TargetingDual-targeted_Non-interacting:dipDelta	0.0764769897631362	0.0292445420574157	2.61508590604665	0.0089230145550146
TargetingMitochondria-targeted_Interacting:dipDelta	0.181486711271587	0.0249855623117527	7.26366327109714	3.81883848050848e-13
TargetingMitochondria-targeted_Non-interacting:dipDelta	0.0529915214422371	0.0200792981418122	2.63911223728931	0.00831476484436649
TargetingPlastid-targeted_Interacting:dipDelta	0.172273630441982	0.0337268315712782	5.10791030215509	3.26862108999118e-07
TargetingPlastid-targeted_Non-interacting:dipDelta	0.00656583739648853	0.0117377849930137	0.55937618557475	0.575907362466661
