species	category	direction	sided	DE	nDE	pvalueDE
AhypI	DI	both	two.sided	29	22	0.000233527611467946
AhypI	DI	both	greater	29	22	0.000189253666723293
AhypI	DI	both	less	29	22	0.999937815097435
AhypI	DI	up	two.sided	5	46	0.333969135615709
AhypI	DI	up	greater	5	46	0.922924093031647
AhypI	DI	up	less	5	46	0.161446951630915
AhypI	DI	down	two.sided	24	27	0.000000194786506673156
AhypI	DI	down	greater	24	27	0.000000194786506673156
AhypI	DI	down	less	24	27	0.999999961063984
AhypI	DN	both	two.sided	347	387	0.0000000000000000444085403114784
AhypI	DN	both	greater	347	387	0.000000000000000028055156231237
AhypI	DN	both	less	347	387	1
AhypI	DN	up	two.sided	158	576	0.000113830650910995
AhypI	DN	up	greater	158	576	0.0000652451488914096
AhypI	DN	up	less	158	576	0.999956234858964
AhypI	DN	down	two.sided	189	545	0.00000000005818284592295
AhypI	DN	down	greater	189	545	0.0000000000383549377831582
AhypI	DN	down	less	189	545	0.999999999979448
AhypI	MI	both	two.sided	49	99	0.722138449638519
AhypI	MI	both	greater	49	99	0.38857781435833
AhypI	MI	both	less	49	99	0.67712933155337
AhypI	MI	up	two.sided	15	133	0.0677187173664067
AhypI	MI	up	greater	15	133	0.982184827733817
AhypI	MI	up	less	15	133	0.0325047540018597
AhypI	MI	down	two.sided	34	114	0.0233966949835437
AhypI	MI	down	greater	34	114	0.015874591984966
AhypI	MI	down	less	34	114	0.990695374459569
AhypI	MN	both	two.sided	29	63	1
AhypI	MN	both	greater	29	63	0.554793327131052
AhypI	MN	both	less	29	63	0.534827902535544
AhypI	MN	up	two.sided	14	78	1
AhypI	MN	up	greater	14	78	0.609811386001275
AhypI	MN	up	less	14	78	0.504270222097189
AhypI	MN	down	two.sided	15	77	0.886031618359919
AhypI	MN	down	greater	15	77	0.498083730518219
AhypI	MN	down	less	15	77	0.613708891108734
AhypI	PI	both	two.sided	58	73	0.00324727554433121
AhypI	PI	both	greater	58	73	0.00185808296811462
AhypI	PI	both	less	58	73	0.99896944471934
AhypI	NT	both	NA	2819	6071	NA
AhypI	PI	up	two.sided	26	105	0.227905385945695
AhypI	PI	up	greater	26	105	0.132078750328841
AhypI	PI	up	less	26	105	0.910426760252834
AhypI	NT	up	NA	1409	7481	NA
AhypI	PI	down	two.sided	32	99	0.0112612797675297
AhypI	PI	down	greater	32	99	0.00774883568717245
AhypI	PI	down	less	32	99	0.995800522288234
AhypI	NT	down	NA	1410	7480	NA
AhypI	PN	both	two.sided	163	195	0.0000000943655941174111
AhypI	PN	both	greater	163	195	0.0000000608750449308542
AhypI	PN	both	less	163	195	0.999999966845796
AhypI	PN	up	two.sided	89	269	0.0000192487559002936
AhypI	PN	up	greater	89	269	0.0000115943141479892
AhypI	PN	up	less	89	269	0.999993591500238
AhypI	PN	down	two.sided	74	284	0.0185445379702033
