species	category	direction	sided	DE	nDE	pvalueDE
AhypSD	DI	both	two.sided	6	45	1
AhypSD	DI	both	greater	6	45	0.567943003910395
AhypSD	DI	both	less	6	45	0.60348655081957
AhypSD	DI	up	two.sided	1	50	0.367450043057637
AhypSD	DI	up	greater	1	50	0.947221045399947
AhypSD	DI	up	less	1	50	0.213064014286786
AhypSD	DI	down	two.sided	5	46	0.245950472881015
AhypSD	DI	down	greater	5	46	0.208292735029531
AhypSD	DI	down	less	5	46	0.905499988412953
AhypSD	DN	both	two.sided	93	642	0.477175118229168
AhypSD	DN	both	greater	93	642	0.262272063158835
AhypSD	DN	both	less	93	642	0.774242481497212
AhypSD	DN	up	two.sided	46	689	0.45507016235157
AhypSD	DN	up	greater	46	689	0.254160511739208
AhypSD	DN	up	less	46	689	0.794620462381003
AhypSD	DN	down	two.sided	47	688	0.81153833583883
AhypSD	DN	down	greater	47	688	0.436228404885625
AhypSD	DN	down	less	47	688	0.624762419601421
AhypSD	MI	both	two.sided	23	126	0.199609321549137
AhypSD	MI	both	greater	23	126	0.111037544043324
AhypSD	MI	both	less	23	126	0.927560071964991
AhypSD	MI	up	two.sided	6	143	0.586723082566787
AhypSD	MI	up	greater	6	143	0.84619131789783
AhypSD	MI	up	less	6	143	0.26622050069747
AhypSD	MI	down	two.sided	17	132	0.0156057896119272
AhypSD	MI	down	greater	17	132	0.0119265561989722
AhypSD	MI	down	less	17	132	0.994494173010893
AhypSD	MN	both	two.sided	7	86	0.256473892361678
AhypSD	MN	both	greater	7	86	0.932074556230811
AhypSD	MN	both	less	7	86	0.130306603750158
AhypSD	MN	up	two.sided	2	91	0.175946344542168
AhypSD	MN	up	greater	2	91	0.969283069501185
AhypSD	MN	up	less	2	91	0.102009046817221
AhypSD	MN	down	two.sided	5	88	1
AhypSD	MN	down	greater	5	88	0.689387356399236
AhypSD	MN	down	less	5	88	0.482119249268186
AhypSD	PI	both	two.sided	13	118	0.586259393370796
AhypSD	PI	both	greater	13	118	0.784053412213576
AhypSD	PI	both	less	13	118	0.308585820008683
AhypSD	NT	both	NA	1077	8050	NA
AhypSD	PI	up	two.sided	8	123	0.703931938903969
AhypSD	PI	up	greater	8	123	0.456301689157533
AhypSD	PI	up	less	8	123	0.684666692852129
AhypSD	NT	up	NA	512	8615	NA
AhypSD	PI	down	two.sided	5	126	0.357659487792963
AhypSD	PI	down	greater	5	126	0.912605839320728
AhypSD	PI	down	less	5	126	0.174748547759257
AhypSD	NT	down	NA	565	8562	NA
AhypSD	PN	both	two.sided	59	300	0.0100972844856099
AhypSD	PN	both	greater	59	300	0.006626462339522
AhypSD	PN	both	less	59	300	0.995715553739624
AhypSD	PN	up	two.sided	34	325	0.00369470888555204
AhypSD	PN	up	greater	34	325	0.00278370268609007
AhypSD	PN	up	less	34	325	0.998515328226213
AhypSD	PN	down	two.sided	25	334	0.505206978053497
AhypSD	PN	down	greater	25	334	0.306212603515569
AhypSD	PN	down	less	25	334	0.76477408137086
AhypSD	cp	both	two.sided	5	71	0.208704024059396
AhypSD	cp	both	greater	5	71	0.953588961921108
AhypSD	cp	both	less	5	71	0.103812128351823
AhypSD	cp	up	two.sided	0	76	0.0217422818013825
AhypSD	cp	up	greater	0	76	1
AhypSD	cp	up	less	0	76	0.0126676728064033
AhypSD	cp	down	two.sided	5	71	0.810299320595442
AhypSD	cp	down	greater	5	71	0.511405384597406
AhypSD	cp	down	less	5	71	0.669175836778314
AhypSD	mt	both	two.sided	12	20	0.000173864688897137
AhypSD	mt	both	greater	12	20	0.000173864688897137
AhypSD	mt	both	less	12	20	0.999965218998871
AhypSD	mt	up	two.sided	5	27	0.0320044795458852
AhypSD	mt	up	greater	5	27	0.0320044795458852
AhypSD	mt	up	less	5	27	0.991894074432027
AhypSD	mt	down	two.sided	7	25	0.00305192593138216
AhypSD	mt	down	greater	7	25	0.00305192593138216
AhypSD	mt	down	less	7	25	0.999392180229514
AipadurSD	DI	both	two.sided	2	49	0.206672577253641
AipadurSD	DI	both	greater	2	49	0.206672577253641
AipadurSD	DI	both	less	2	49	0.947926871735191
AipadurSD	DI	up	two.sided	0	51	1
AipadurSD	DI	up	greater	0	51	1
AipadurSD	DI	up	less	0	51	0.600744483436796
AipadurSD	DI	down	two.sided	2	49	0.0449938515966556
AipadurSD	DI	down	greater	2	49	0.0449938515966556
AipadurSD	DI	down	less	2	49	0.995362319683634
AipadurSD	DN	both	two.sided	26	709	0.000705413583501555
AipadurSD	DN	both	greater	26	709	0.000579360439243307
AipadurSD	DN	both	less	26	709	0.999753331485569
AipadurSD	DN	up	two.sided	9	726	0.562819028963911
AipadurSD	DN	up	greater	9	726	0.328087586320855
AipadurSD	DN	up	less	9	726	0.789691279671691
