target_id	HypPatMatFC	HypPatMatpadj	HypRank	category	AidPatMatFC	AidPatMatpadj	AidRank	HypMatDurFC	HypMatDurpadj	HypMomRank	AidPatDurFC	AidPatDurpadj	AidDadRank	HypPatIpaFC	HypPatIpapadj	HypDadRank	AidMatIpaFC	AidMatIpapadj	AidMomRank	IpaDurFC	IpaDurpadj	DipRank
arahy.Tifrunner.gnm2.ann1.AT5SE4.1_arahy.Tifrunner.gnm2.ann1.XYD3YB.1	11.0680549892024	0.0000000000000000000188020141242021	1	Not-organelle-targeted	-10.7959824904547	0.00000000000000259141954896142	27	NA	NA	NA	NA	NA	NA	0.938663154105016	0.256153100176182	3349	0.12866484181844	0.898979289905715	9064	8.55441738532299	0.000000000000000000000279046171468603	91
arahy.Tifrunner.gnm2.ann1.P9U5AG.1_arahy.Tifrunner.gnm2.ann1.5C2WXX.1	-11.0599170105268	0.000000000000000000000145144545402579	2	Mitochondria-targeted_Interacting	8.06750803617713	0.00000000000000000000000141018990846772	256	-1.40487091377641	NA	1748	-1.38781863220415	NA	931	-0.793859370905513	0.889082060846598	3880	2.1114328060171	0.659484796396458	1503	-11.6075269309356	NA	22
arahy.Tifrunner.gnm2.ann1.L5Z47Y.1_arahy.Tifrunner.gnm2.ann1.F86IGW.1	-10.1107640165618	0.0000000000000000120246808285066	3	Not-organelle-targeted	10.611020794114	0.000000000000000000000729603525179398	42	-2.29679949572206	NA	713	-1.9786984935783	NA	433	NA	NA	NA	NA	NA	NA	-14.3666739934201	NA	11
arahy.Tifrunner.gnm2.ann1.NDAY03.1_arahy.Tifrunner.gnm2.ann1.3MSB0H.1	9.52021396569611	0.000000000000000000000000000000000000000000000000000000000000000077797765931783	4	Not-organelle-targeted	-4.68724762070093	0.000000000000000000000495482492300104	702	-6.66332646682576	0.00000000000205459351202895	32	-1.06822233658908	0.728854405069632	1616	-0.258186790049186	0.724301646090675	7539	0.0970665940349754	0.898979289905715	9375	3.42700240184515	0.0000362535861961893	799
arahy.Tifrunner.gnm2.ann1.8HV0G8.1_arahy.Tifrunner.gnm2.ann1.Y4ABT1.1	-9.48387667318328	0.00000000000000562858645170073	5	Dual-targeted_Non-interacting	10.5891620042693	0.0000000000000000000327813405547177	46	-0.42077998608627	0.476263746024526	5786	0.507623778882799	0.64416164524588	3905	NA	NA	NA	NA	NA	NA	-9.69234696768727	0.0000000000000000000000000000000116907927354031	45
arahy.Tifrunner.gnm2.ann1.1R6Q1E.1_arahy.Tifrunner.gnm2.ann1.S0TT2Y.1	-9.36902964803313	0.00000000000000000000000000000000000000000000000000193595344486784	6	Not-organelle-targeted	9.40292391475666	0.0000000000000000000000000000000000000000000000000000401746515850942	122	-1.88586713886645	NA	1062	-2.54377821031644	NA	211	1.25294690757062	0.287930213738052	2386	0.428860984160773	0.760104715364342	6405	-12.516247350138	NA	15
arahy.Tifrunner.gnm2.ann1.Z7MJ9S.1_arahy.Tifrunner.gnm2.ann1.J20DWG.1	-9.36052702698383	0.000000000000000855363372453611	7	Not-organelle-targeted	9.75052826463075	0.000000000000000000682769240778705	94	-0.136915919306384	0.854186521682164	8497	0.030228559510324	1	9599	NA	NA	NA	NA	NA	NA	-9.07955579494563	0.000000000000000000000000000000000140554911520226	65
arahy.Tifrunner.gnm2.ann1.9CPW5C.1_arahy.Tifrunner.gnm2.ann1.IVBW5X.1	9.14088968315745	0.000000000000122803998044687	8	Not-organelle-targeted	-4.5550875353959	0.0000000043270519729384	732	-3.29933907368779	0.166110731343926	298	-0.180139313782874	NA	7167	2.25380687477367	NA	919	0.731307635756118	NA	4522	3.58828992745022	0.00008052867159896	730
arahy.Tifrunner.gnm2.ann1.JE36Z4.1_arahy.Tifrunner.gnm2.ann1.DH21IL.1	9.10605061126845	0.0000000000000489065550257906	9	Not-organelle-targeted	-9.48350231013271	0.0000000000000000128817706262546	117	NA	NA	NA	NA	NA	NA	0.418936637646411	0.0921860710482703	6134	0.484362602917827	0.0356603018984848	6008	9.01791134994071	0.0000000000000000000902199639863913	69
arahy.Tifrunner.gnm2.ann1.572HXX.2_arahy.Tifrunner.gnm2.ann1.D4H7YS.2	8.96001345728329	0.0000000000000633963504602088	10	Not-organelle-targeted	-9.57565675153008	0.00000000000000000525696852612936	107	NA	NA	NA	NA	NA	NA	-0.344531947140432	0.0329060296593003	6759	-0.0567429017949711	0.766146239534168	9816	9.65000187099109	0.000000000000000000000020653255955329	49
arahy.Tifrunner.gnm2.ann1.LZJ3ZW.1_arahy.Tifrunner.gnm2.ann1.ZG5TLI.1	8.80704033819917	0.000000000000144346632971387	11	Not-organelle-targeted	-5.19052856311829	0.000779155457237916	588	NA	NA	NA	NA	NA	NA	-0.083507305402388	0.649119605340935	9420	-4.73769050527642	0.000000000000000000000000000000000000000000000000000000349231657243705	522	8.32447443854587	0.000000419139058354306	95
arahy.Tifrunner.gnm2.ann1.WIE6UT.1_arahy.Tifrunner.gnm2.ann1.1WJI3I.1	-8.78955579055144	0.0000000000002500087525461	12	Not-organelle-targeted	2.47557984155753	0.42047729372023	1784	0.00425715336511103	0.999253134490593	10102	-1.7765616712608	0.705076586798328	547	-1.97311804653955	0.621805706341949	1189	2.55143099096882	0.453892334597763	1186	-6.84461604506133	0.00000787449260444289	168
arahy.Tifrunner.gnm2.ann1.C4XXAE.1_arahy.Tifrunner.gnm2.ann1.QZP2N0.1	-8.77715044692058	0.00000000000217053230640919	13	Not-organelle-targeted	8.19348944340954	0.000000000000565211753915009	241	1.08738008292398	0.110099313642031	2454	0.329959584685377	0.993487207737727	5332	NA	NA	NA	NA	NA	NA	-8.40327896935897	0.00000000000340143672776371	94
arahy.Tifrunner.gnm2.ann1.P22I4F.1_arahy.Tifrunner.gnm2.ann1.5EZV1I.1	8.60651114303482	0.000000000000406020195571094	14	Not-organelle-targeted	-8.51001884344035	0.0000000000000464381176879845	213	NA	NA	NA	NA	NA	NA	1.04119681846213	0.000153630701220442	2976	1.29291213088602	0.000000479905140100951	2658	7.38811706092538	0.000000000000032727575717763	146
