baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
arahy.Tifrunner.gnm2.ann1.40UHTZ.1_arahy.Tifrunner.gnm2.ann1.85VPHV.1	740.134670698923	2.26515605795928	0.170435751486036	13.2903809101629	0.000000000000000000000000000000000000000263234747760807	0.0000000000000000000000000000000000027987118381929
arahy.Tifrunner.gnm2.ann1.9L065Z.1_arahy.Tifrunner.gnm2.ann1.TA8DPM.1	27.4362606668827	-22.4216886777145	1.73921914995139	-12.8918133625318	0.0000000000000000000000000000000000000500528747565319	0.000000000000000000000000000000000266081082205724
arahy.Tifrunner.gnm2.ann1.ZD4V4J.1_arahy.Tifrunner.gnm2.ann1.8W4I3Q.1	943.162557990271	-12.7342258893011	1.1198696091156	-11.3711683803597	0.00000000000000000000000000000582032196134395	0.000000000000000000000000020627221031003
arahy.Tifrunner.gnm2.ann1.XA5S0H.1_arahy.Tifrunner.gnm2.ann1.JX210Q.1	1324.6456977291	1.86251966036909	0.169584385320809	10.9828487855512	0.0000000000000000000000000004621168341976	0.00000000000000000000000122830654529722
arahy.Tifrunner.gnm2.ann1.UTHZ1X.1_arahy.Tifrunner.gnm2.ann1.YVFI37.1	462.956906376613	3.25405064035315	0.301850839702622	10.7803266128363	0.00000000000000000000000000426369152632461	0.00000000000000000000000906631366157664
arahy.Tifrunner.gnm2.ann1.J7VJ5I.1_arahy.Tifrunner.gnm2.ann1.0U0SSW.1	10482.9790545033	6.33460916646943	0.59666625658634	10.6166707041741	0.0000000000000000000000000249294267646736	0.0000000000000000000000441749442270016
arahy.Tifrunner.gnm2.ann1.I3TCZM.1_arahy.Tifrunner.gnm2.ann1.M1RWF9.1	662.260391037309	3.20419432517636	0.303946073842673	10.5419829401544	0.0000000000000000000000000553199783873838	0.0000000000000000000000840231443163807
arahy.Tifrunner.gnm2.ann1.YTI5QC.1_arahy.Tifrunner.gnm2.ann1.1Z7E6G.1	75.8385544431175	2.39643417898834	0.232156675306753	10.3224866389127	0.000000000000000000000000557600056417922	0.000000000000000000000741050474979418
arahy.Tifrunner.gnm2.ann1.B68HGA.1_arahy.Tifrunner.gnm2.ann1.02S8F1.1	986.094376898549	2.36198976515829	0.232778813654361	10.146927583648	0.00000000000000000000000341959794230531	0.00000000000000000000403968503584333
arahy.Tifrunner.gnm2.ann1.IS4JDL.1_arahy.Tifrunner.gnm2.ann1.CDIJ73.1	927.377285102653	2.21933354097923	0.218994486373785	10.1341982518739	0.00000000000000000000000389556044019334	0.00000000000000000000414175986001356
arahy.Tifrunner.gnm2.ann1.GD0W4L.1_arahy.Tifrunner.gnm2.ann1.50DUHM.1	88.8491574733595	8.858011007516	0.893291187403982	9.91615179061434	0.0000000000000000000000354147859871449	0.000000000000000000034230000419575
arahy.Tifrunner.gnm2.ann1.1T46SZ.1_arahy.Tifrunner.gnm2.ann1.P5RCVR.1	320.809894076845	3.72898364322706	0.379039095110193	9.83799215261154	0.0000000000000000000000772368421319929	0.0000000000000000000684318421289458
arahy.Tifrunner.gnm2.ann1.B1GHBY.1_arahy.Tifrunner.gnm2.ann1.KNQB38.1	155.656925776325	6.95286137046304	0.716041821677478	9.7101330676112	0.000000000000000000000272980500566126	0.000000000000000000223256052463004
arahy.Tifrunner.gnm2.ann1.Q3RSRR.1_arahy.Tifrunner.gnm2.ann1.TJ1I43.1	1870.28094194689	3.75880977516917	0.387989132785865	9.68792540187895	0.0000000000000000000003393515422884	0.000000000000000000257713256972162
arahy.Tifrunner.gnm2.ann1.S7MLB0.1_arahy.Tifrunner.gnm2.ann1.EPRD9B.1	159.148963284735	4.84134472825566	0.5080265214138	9.5297086356487	0.00000000000000000000157725279980085	0.00000000000000000111795678449885
arahy.Tifrunner.gnm2.ann1.IL3HUZ.1_arahy.Tifrunner.gnm2.ann1.FP1HKG.1	462.360394073868	2.10220076661984	0.2215696100038	9.48776669591006	0.00000000000000000000236036866009174	0.00000000000000000147620232906443
arahy.Tifrunner.gnm2.ann1.BZ66YC.1_arahy.Tifrunner.gnm2.ann1.C0K8ID.1	496.354824470404	1.74652329871878	0.18397253238552	9.49339162793545	0.00000000000000000000223636941576582	0.00000000000000000147620232906443
arahy.Tifrunner.gnm2.ann1.7U6XXD.1_arahy.Tifrunner.gnm2.ann1.JS4AYC.1	1157.92453357976	2.16283989528239	0.228873704980994	9.44992739756625	0.00000000000000000000339065798396067	0.00000000000000000200274864919277
arahy.Tifrunner.gnm2.ann1.NLE1X5.1_arahy.Tifrunner.gnm2.ann1.L647M7.1	272.201621483776	2.07517840796196	0.219790310852416	9.44162824973385	0.00000000000000000000367030894626258	0.00000000000000000205382761666652
arahy.Tifrunner.gnm2.ann1.W1W0Y7.1_arahy.Tifrunner.gnm2.ann1.24C55C.1	744.494923641409	1.36507319850738	0.145941429202387	9.35356879789313	0.00000000000000000000847391477355115	0.00000000000000000450473309361979
arahy.Tifrunner.gnm2.ann1.PH1SAB.1_arahy.Tifrunner.gnm2.ann1.VC882V.2	3594.50636097328	3.8984206265371	0.423356096630499	9.20837247311358	0.000000000000000000033110697672958	0.0000000000000000167634732218519
arahy.Tifrunner.gnm2.ann1.W6YZV5.3_arahy.Tifrunner.gnm2.ann1.039TZW.1	668.646720265794	-3.44570957895204	0.376226044097862	-9.15861523413238	0.0000000000000000000525675167645422	0.0000000000000000254044471927551
arahy.Tifrunner.gnm2.ann1.M7A2ZD.1_arahy.Tifrunner.gnm2.ann1.AR083C.1	14.0220328057685	9.0342231540158	0.994071687787464	9.08810024971494	0.000000000000000000100784588217289	0.000000000000000043170992947412
arahy.Tifrunner.gnm2.ann1.ERP5CZ.1_arahy.Tifrunner.gnm2.ann1.AU90AL.1	197.142828325845	5.15814694541232	0.567578093490437	9.08799512273499	0.000000000000000000100882063997353	0.000000000000000043170992947412
arahy.Tifrunner.gnm2.ann1.74JCE2.2_arahy.Tifrunner.gnm2.ann1.XM429X.1	229.055478613398	1.94301473822164	0.213816077452515	9.08731822869191	0.000000000000000000101511928488083	0.000000000000000043170992947412
arahy.Tifrunner.gnm2.ann1.RS9BE1.1_arahy.Tifrunner.gnm2.ann1.AT31DH.1	13.7002507349979	9.01334171481652	0.995488204156407	9.0541923823744	0.000000000000000000137582108446829	0.0000000000000000562604991156417
arahy.Tifrunner.gnm2.ann1.1UQX8S.1_arahy.Tifrunner.gnm2.ann1.4X1L65.1	917.410846980099	1.44793108780552	0.160366915292693	9.02886412177245	0.000000000000000000173462895618791	0.0000000000000000680477130709361
arahy.Tifrunner.gnm2.ann1.PHCS62.1_arahy.Tifrunner.gnm2.ann1.KKVP68.1	3182.87343278497	3.3760529221281	0.374065552953841	9.02529755939515	0.000000000000000000179207671744377	0.0000000000000000680477130709361
arahy.Tifrunner.gnm2.ann1.L4L3GZ.2_arahy.Tifrunner.gnm2.ann1.PP514R.1	2809.86713853438	1.36643525246742	0.151489808761892	9.01998136795557	0.000000000000000000188121294137556	0.0000000000000000689691585955343
arahy.Tifrunner.gnm2.ann1.N4KLNP.1_arahy.Tifrunner.gnm2.ann1.XFSN2Q.1	387.350212076761	2.38835129405857	0.266438817439124	8.96397648441094	0.000000000000000000313175797850305	0.000000000000000110989502758148
arahy.Tifrunner.gnm2.ann1.JYD53Y.1_arahy.Tifrunner.gnm2.ann1.4HBL4W.1	142.688595904736	-2.25737267018589	0.252263226572959	-8.94848092150687	0.000000000000000000360407726884397	0.000000000000000123608224265642
arahy.Tifrunner.gnm2.ann1.V08LVU.1_arahy.Tifrunner.gnm2.ann1.XPVA7D.1	141.025207386004	2.33435862875217	0.26220588839734	8.90276966326074	0.000000000000000000544701379793014	0.000000000000000180977033436229
arahy.Tifrunner.gnm2.ann1.JC3NMK.1_arahy.Tifrunner.gnm2.ann1.BU8BGR.1	2044.51978519713	2.12124760918103	0.240466933530288	8.8213692337614	0.00000000000000000113068511146091	0.000000000000000364286185001587
arahy.Tifrunner.gnm2.ann1.V96PE3.1_arahy.Tifrunner.gnm2.ann1.UJFL8U.1	630.025732590058	3.39383295959717	0.386945932521097	8.77081957545098	0.00000000000000000177370464860724	0.00000000000000055464787717624
arahy.Tifrunner.gnm2.ann1.YUWQ2H.1_arahy.Tifrunner.gnm2.ann1.ME8SYW.1	282.349110567361	1.05987276227556	0.121001621470005	8.75916164923701	0.0000000000000000019670785749896	0.000000000000000597542268836841
arahy.Tifrunner.gnm2.ann1.3G9GV6.1_arahy.Tifrunner.gnm2.ann1.BE7AXM.1	172.278296607502	2.83921616651632	0.324545692436352	8.74827869444956	0.00000000000000000216631712890882	0.000000000000000629449128326592
arahy.Tifrunner.gnm2.ann1.TD0GYY.1_arahy.Tifrunner.gnm2.ann1.PCQJ4V.1	1942.04467928576	3.07534761158774	0.351587857032444	8.7470245347636	0.00000000000000000219052085666703	0.000000000000000629449128326592
arahy.Tifrunner.gnm2.ann1.78H5KP.1_arahy.Tifrunner.gnm2.ann1.IJY9PN.1	328.418172043203	2.66283250057714	0.304637332913757	8.74099203504711	0.00000000000000000231072310930973	0.000000000000000646516002583712
arahy.Tifrunner.gnm2.ann1.MH7BQR.1_arahy.Tifrunner.gnm2.ann1.QHJA26.1	6846.77511523823	2.826925979967	0.324159012336467	8.72080020108386	0.00000000000000000276242512113299	0.000000000000000753079586868871
arahy.Tifrunner.gnm2.ann1.B6CCGS.1_arahy.Tifrunner.gnm2.ann1.VDX6J0.1	432.327513836218	1.55025791744874	0.177964542862238	8.711049361382	0.00000000000000000301074513747839	0.000000000000000800256057541756
arahy.Tifrunner.gnm2.ann1.L85IH5.1_arahy.Tifrunner.gnm2.ann1.2UA6GC.1	3912.63572540197	2.78786065104229	0.320680729959333	8.69357086531464	0.00000000000000000351222429531084	0.000000000000000910779724579143
arahy.Tifrunner.gnm2.ann1.SXG9J3.1_arahy.Tifrunner.gnm2.ann1.5B91PZ.1	380.281883433002	1.19113497426043	0.137410060968266	8.66846987671093	0.00000000000000000437966011547146	0.00000000000000110867967494506
arahy.Tifrunner.gnm2.ann1.DW64SD.1_arahy.Tifrunner.gnm2.ann1.61ZXLU.1	1441.62928302643	1.65044217666281	0.190601953520088	8.65910420214482	0.00000000000000000475486019080198	0.00000000000000117566682671178
arahy.Tifrunner.gnm2.ann1.LHNV5V.1_arahy.Tifrunner.gnm2.ann1.XN0DZ5.1	424.669728726153	4.5532649669555	0.526910318406935	8.64144202133273	0.00000000000000000555079155226225	0.0000000000000013412730859921
arahy.Tifrunner.gnm2.ann1.MV51SY.1_arahy.Tifrunner.gnm2.ann1.R8GU4C.2	180.715326653199	3.25415291572338	0.377778433232057	8.6139192433054	0.00000000000000000706044353456956	0.00000000000000166814745910097
arahy.Tifrunner.gnm2.ann1.2H5V0G.1_arahy.Tifrunner.gnm2.ann1.CLQJ9M.1	1375.91469222523	4.04406979420038	0.469839713677676	8.60733921903999	0.00000000000000000747759226430758	0.00000000000000172829915117648
arahy.Tifrunner.gnm2.ann1.Y446PZ.1_arahy.Tifrunner.gnm2.ann1.Y4X76M.1	126.967254931911	9.95450682923919	1.16046380154961	8.57804165536794	0.00000000000000000965020037854178	0.00000000000000218299851967354
arahy.Tifrunner.gnm2.ann1.UWT5DF.1_arahy.Tifrunner.gnm2.ann1.35ND81.1	1964.03548704646	3.99165520589059	0.465988568538962	8.56599383629911	0.0000000000000000107147617817379	0.00000000000000237331973465494
