baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
arahy.Tifrunner.gnm2.ann1.Z9XA8H.1	524.073038780207	1.89920424283081	0.180402354636137	10.5276022957761	0.0000000000000000000000000644553492819706	0.000000000000000000000580098143537735
arahy.Tifrunner.gnm2.ann1.M2T8LS.1	41.5212591858944	8.18934112045481	0.970390641438864	8.43922104227213	0.0000000000000000319459455076868	0.000000000000143756754784591
arahy.Tifrunner.gnm2.ann1.CM6PIJ.2	362.735753830945	0.937506415513018	0.146334447235092	6.40660099673508	0.000000000148799554261591	0.000000446398662784773
arahy.Tifrunner.gnm2.ann1.XEZX8F.1	77.8232926900875	1.17067050388632	0.185768950317089	6.30175549728903	0.000000000294293160818956	0.000000662159611842652
arahy.Tifrunner.gnm2.ann1.IZQK6X.1	307.688014127498	0.902194800128744	0.154680437670153	5.83263671682013	0.00000000545582684420572	0.0000098204883195703
arahy.Tifrunner.gnm2.ann1.1Y2NXV.1	236.361168656359	1.0322996160889	0.181876989356253	5.6758120955415	0.0000000138032232147909	0.0000207048348221864
arahy.Tifrunner.gnm2.ann1.289CQF.1	52.6762253485534	1.51624090894216	0.272567840428383	5.56280193055477	0.0000000265477154837204	0.0000329061493232229
arahy.Tifrunner.gnm2.ann1.MAUU5A.2	517.252542305166	1.14572580466775	0.206983227133172	5.53535578962926	0.0000000310597202154612	0.0000329061493232229
arahy.Tifrunner.gnm2.ann1.VNL4SU.1	49.5947494206968	1.52734151791176	0.276430589413109	5.52522613779635	0.0000000329061493232229	0.0000329061493232229
arahy.Tifrunner.gnm2.ann1.FYKT6P.1	239.124308458455	1.07196674474046	0.199545677921061	5.37203689856177	0.0000000778521726281773	0.0000700669553653596
arahy.Tifrunner.gnm2.ann1.JUI4U4.1	4.94124811005044	3.39179038761039	0.635974032375918	5.33322150739252	0.0000000964854937135048	0.0000789426766746858
arahy.Tifrunner.gnm2.ann1.5WJ9LU.1	83.2892845083704	1.47897343532966	0.279740867260006	5.28694091004952	0.000000124378794924162	0.0000861083964859586
arahy.Tifrunner.gnm2.ann1.PT1D4B.1	113.219125541017	1.10673372350607	0.209152166122634	5.29152408040156	0.000000121301214855192	0.0000861083964859586
arahy.Tifrunner.gnm2.ann1.M8DMLH.1	8.4085621228858	4.57825852317448	0.869734847541707	5.26397043433969	0.000000140977130800581	0.0000906281555146594
