baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
arahy.Tifrunner.gnm2.ann1.J7VJ5I.1	4705.23295119657	6.19068786661687	0.19345951862114	31.999913525787	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010934406163765	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113302316668933
arahy.Tifrunner.gnm2.ann1.LHNV5V.1	382.402459449333	5.90969653843919	0.20365189166293	29.0186184384699	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000383136502540469	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198503021966217
arahy.Tifrunner.gnm2.ann1.BE5MC1.1	6658.75229095222	-5.24624109804065	0.192143600752838	-27.3037513478738	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000382815911294923	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132224615761267
arahy.Tifrunner.gnm2.ann1.MF538D.1	9651.24512245093	-8.80584092399768	0.335746065609949	-26.2276816498211	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128486216808358	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033284354464205
arahy.Tifrunner.gnm2.ann1.Z2MV1Y.1	568.652881049854	-4.89542627777544	0.196946491416965	-24.8566310704723	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219238640647931	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000454350158878773
arahy.Tifrunner.gnm2.ann1.VHAI7W.1	3597.06825442624	-7.79566884919285	0.315484044815812	-24.7101841671396	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000831240387386747	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143555214901691
arahy.Tifrunner.gnm2.ann1.EJI1J0.2	1244.56853021804	-7.90549701210565	0.332705381465412	-23.7612538074546	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000840590435558068	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124431401332181
arahy.Tifrunner.gnm2.ann1.61QI09.1	676.764373455279	9.48027284071699	0.39934796199654	23.7393795458987	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141451635882345	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000183215231376608
arahy.Tifrunner.gnm2.ann1.9V29BW.1	292.582753871849	7.64604720888132	0.331224980788564	23.0841502071432	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000668081579669617	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000076918459205962
arahy.Tifrunner.gnm2.ann1.C1W7MD.1	339.275920500958	4.82378227252656	0.20911692142962	23.0673933010727	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000984183435430308	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101981087579289
