baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
arahy.Tifrunner.gnm2.ann1.P9U5AG.1_arahy.Tifrunner.gnm2.ann1.5C2WXX.1	196.675439405827	-11.0599170105268	1.06853348977349	-10.3505572042214	0.000000000000000000000000416057255453747	0.000000000000000000000145144545402579
arahy.Tifrunner.gnm2.ann1.L5Z47Y.1_arahy.Tifrunner.gnm2.ann1.F86IGW.1	101.861302740495	-10.1107640165618	1.10548671638006	-9.14598417760254	0.0000000000000000000590893406806223	0.0000000000000000120246808285066
arahy.Tifrunner.gnm2.ann1.8HV0G8.1_arahy.Tifrunner.gnm2.ann1.Y4ABT1.1	65.9466413010645	-9.48387667318328	1.12578095921821	-8.42426459208306	0.0000000000000000363023081958585	0.00000000000000562858645170073
arahy.Tifrunner.gnm2.ann1.1R6Q1E.1_arahy.Tifrunner.gnm2.ann1.S0TT2Y.1	832.018400192027	-9.36902964803313	0.600788630412303	-15.594552183192	0.000000000000000000000000000000000000000000000000000000792773728447109	0.00000000000000000000000000000000000000000000000000193595344486784
arahy.Tifrunner.gnm2.ann1.Z7MJ9S.1_arahy.Tifrunner.gnm2.ann1.J20DWG.1	60.5348857101853	-9.36052702698383	1.08194369829647	-8.65158421988324	0.00000000000000000507893894372537	0.000000000000000855363372453611
arahy.Tifrunner.gnm2.ann1.WIE6UT.1_arahy.Tifrunner.gnm2.ann1.1WJI3I.1	40.7973575470404	-8.78955579055144	1.10699837517001	-7.93998978471996	0.00000000000000202197905928971	0.0000000000002500087525461
arahy.Tifrunner.gnm2.ann1.C4XXAE.1_arahy.Tifrunner.gnm2.ann1.QZP2N0.1	40.3764010289444	-8.77715044692058	1.14876713792452	-7.6404957603316	0.000000000000021638692214738	0.00000000000217053230640919
arahy.Tifrunner.gnm2.ann1.ZNWN3Y.1_arahy.Tifrunner.gnm2.ann1.YZ0HQS.1	32.8505666655561	-8.47844255080198	1.11978994142044	-7.57145803618057	0.0000000000000369058291495754	0.00000000000353427587385346
arahy.Tifrunner.gnm2.ann1.PQ0YCB.1_arahy.Tifrunner.gnm2.ann1.435G7Q.1	32.2920391632791	-8.45382535620004	1.13870130714098	-7.42409383671095	0.000000000000113554635854077	0.00000000000990358645555912
arahy.Tifrunner.gnm2.ann1.Q4KY5Z.1_arahy.Tifrunner.gnm2.ann1.WQ97CK.1	31.1345540304802	-8.40141254253233	1.11845948835166	-7.51159307067436	0.000000000000058412120354564	0.00000000000548624607330174
