target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2150.6	148.209	0.889616
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	761.625	0	0
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	85.1216	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	680.711	56.4027	1.06961
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	635.825	97	1.96935
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	52.3704	1	0.246492
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1331.6	1.1677	0.0113199
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	641.777	2	0.0402286
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1124.6	2	0.0229572
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1424.6	344	3.11712
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	366.099	0	0
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	734.625	709.236	12.4627
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1286.6	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	172.099	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1391.6	541.416	5.02231
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	443.988	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1274.6	122.756	1.24324
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2069.6	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1421.6	29	0.263335
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	235.401	132	7.23859
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1526.6	198.341	1.67716
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	806.625	1	0.0160036
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	569.869	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	128.139	0	0
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	300.494	668	28.6965
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	944.605	11	0.150325
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1142.6	5.4865	0.0619852
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1118.6	68.1154	0.786063
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	500.964	1	0.0257681
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	920.605	200.112	2.806
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2672.6	382	1.84509
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	279.733	188	8.67565
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1241.6	4.1129	0.0427616
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	590.84	12.0789	0.263905
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4238.6	407.153	1.24001
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	369.09	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1256.6	11.4109	0.117223
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	253.059	54	2.75462
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	494.964	6.98296	0.182119
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1016.6	154.843	1.9662
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	809.625	16	0.255108
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	85.1216	12.811	1.94282
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	617.825	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	680.711	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	150.037	1	0.086038
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	995.605	8.91423	0.115581
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	258.995	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	488.976	32	0.844794
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	686.694	0	0
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	704.625	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	54.523	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1217.6	5	0.0530094
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	297.502	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	737.625	10.8165	0.189296
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1151.6	10.3757	0.116306
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	172.099	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	166.456	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1706.6	13.7872	0.104288
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	89.916	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	435.01	7.00355	0.20783
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1754.6	14	0.103
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	150.037	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	429.021	0	0
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1169.6	62.2373	0.686911
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	429.021	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	926.605	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	734.625	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1031.6	450	5.63103
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1343.6	3.90454	0.0375135
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2627.6	4249.24	20.8756
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1088.6	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1100.6	21.6458	0.253882
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	102.097	0	0
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	396.052	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2630.6	3.2233	0.0158174
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1295.6	32	0.318835
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	128.139	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1940.6	849	5.64754
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1970.6	14.3062	0.0937161
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	698.643	265	4.89643
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2546.6	210.577	1.06743
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	247.153	0	0
