Category1	Category2	estimate	SE	df	t.ratio	p.value
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.114688641137113	0.0972792536035226	39253	-1.17896300484115	1
AreNot-organelle-targeted	Dual-targeted_Non-interacting	0.0425276805942945	0.0265568065085662	39253	1.60138533903075	1
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	0.0712799446802675	0.0582429702850682	39253	1.22383773237165	1
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.127062152183056	0.0726807035602599	39253	-1.74822402589579	1
AreNot-organelle-targeted	Plastid-targeted_Interacting	0.103512975526411	0.0603893920181746	39253	1.71409202952827	1
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	0.0318038029192012	0.0370674129022447	39253	0.857998992351453	1
Dual-targeted_Interacting	Dual-targeted_Non-interacting	0.157216321731407	0.100276961923701	39253	1.56782095025007	1
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.18596858581738	0.112882455272471	39253	1.6474534095533	1
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.0123735110459435	0.120965655418092	39253	-0.102289455657287	1
Dual-targeted_Interacting	Plastid-targeted_Interacting	0.218201616663524	0.114004753361598	39253	1.91396946381205	0.945732464486758
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	0.146492444056314	0.103557704783273	39253	1.41459724665485	1
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	0.0287522640859731	0.0631225751899941	39253	0.455498908265878	1
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	-0.169589832777351	0.0766465953647227	39253	-2.21262056025265	0.538590984940316
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	0.0609852949321165	0.0651083295693709	39253	0.936674237159449	1
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.0107238776750933	0.0443419554175771	39253	-0.241844942878689	1
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.198342096863324	0.0925293477589545	39253	-2.14355879153087	0.609413252288171
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	0.0322330308461434	0.0832230388474722	39253	0.387308986700411	1
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.0394761417610664	0.068214284618022	39253	-0.578707846635349	1
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	0.230575127709467	0.0938952356480084	39253	2.45566376310978	0.295402144786252
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.158865955102258	0.0808914686993359	39253	1.96393955576136	0.891794668872812
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	-0.0717091726072098	0.0700558613296982	39253	-1.02359989936789	1
