	Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	-0.0590502352545133	0.00757447119909804	-7.79595482012592	6.54939038888109e-15
TargetingDual-targeted_Interacting	0.0326026777085312	0.10605929131744	0.307400486120071	0.75854018932609
TargetingDual-targeted_Non-interacting	-0.0799941853730515	0.0277310776214474	-2.88464034701571	0.00392074250760038
TargetingMitochondria-targeted_Interacting	0.0951687989274133	0.0619646898668858	1.53585532553875	0.124581928354172
TargetingMitochondria-targeted_Non-interacting	0.132654241258832	0.0718016155559221	1.84751053624295	0.0646807030521517
TargetingPlastid-targeted_Interacting	-0.11737091561501	0.0664134267154891	-1.76727691100505	0.0771896346790586
TargetingPlastid-targeted_Non-interacting	-0.120778690626564	0.0383129015653673	-3.15242870395754	0.00162040196085917
dipDelta	0.180026355221132	0.00256432731353634	70.2041249846793	0
TargetingDual-targeted_Interacting:dipDelta	-0.10280301806666	0.0371690104936422	-2.76582606589016	0.00568053458654025
TargetingDual-targeted_Non-interacting:dipDelta	-0.0655973298307929	0.00902750428492947	-7.26638589807165	3.7609327183475e-13
TargetingMitochondria-targeted_Interacting:dipDelta	0.0674873338381503	0.0201492736169886	3.34936807752957	0.000810723536054608
TargetingMitochondria-targeted_Non-interacting:dipDelta	0.0481847232208529	0.025726509576313	1.87295999396738	0.0610813372135617
TargetingPlastid-targeted_Interacting:dipDelta	-0.0763630624000113	0.0200041555641662	-3.81735995578848	0.000135094370844042
TargetingPlastid-targeted_Non-interacting:dipDelta	-0.0983932180554342	0.0125364601818536	-7.84856463691862	4.31446565077555e-15
