Category1	Category2	estimate	SE	df	t.ratio	p.value	model
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.117515545629483	0.0226616334017577	39232	-5.185660872105	4.32633883677035e-06	Ahm4full
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-0.175757282832962	0.0323428886039515	39232	-5.43418632099201	1.16285783518631e-06	Ahm4full
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.373163868839397	0.0973735031681201	39232	-3.83229376265853	0.00228873352289905	Ahm4full
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	-0.348652855132659	0.10487576176595	39232	-3.32443692672045	0.0150753303353335	Ahm4full
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.353289480182766	0.110592252925912	39232	-3.19452286065138	0.0224276637336556	Ahm4full
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.431405606042876	0.100070534794433	39232	-4.3110152946527	0.000309514695522054	Ahm4full
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.161179015600265	0.0267412087378246	39232	-6.02736462590348	3.53090436701719e-08	Ahm4Mom
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	-0.199357966160377	0.0531779411387112	39232	-3.74888462944372	0.00337967368424553	Ahm4Mom
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-0.177599867070109	0.038165295502282	39232	-4.653438804358	6.55019800501781e-05	Ahm4Mom
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.343612520069926	0.114902801911443	39232	-2.99046249833622	0.0445965072309531	Ahm4Mom
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	-0.381791470630038	0.123755626401761	39232	-3.08504333686282	0.0366595217949928	Ahm4Mom
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.36003337153977	0.118085356514332	39232	-3.04892479615855	0.039068535152475	Ahm4Mom
AreNot-organelle-targeted	Dual-targeted_Interacting	0.328863141950168	0.110234221799718	39232	2.98331259187072	0.0456515190446933	Ahm4Dad
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-0.173914698595814	0.0374910041986538	39232	-4.63883809764848	7.38156606085939e-05	Ahm4Dad
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.402715217608869	0.112872738759258	39232	-3.56786963828179	0.00684616122470089	Ahm4Dad
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.402921983228332	0.128195556975618	39232	-3.14302611365045	0.0284470202527311	Ahm4Dad
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.502777840545983	0.115999065082927	39232	-4.33432666191363	0.000293140899005399	Ahm4Dad
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.187263600910702	0.0635063074716904	39232	-2.94874018607018	0.0478890287492686	Ahm4Dad
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	-0.269276422226196	0.0837649536659091	39232	-3.21466687966172	0.023526292357715	Ahm4Dad
