Parent1	Category1	Parent2	Category2	estimate	SE	df	t.ratio	p.value
dad	AreNot-organelle-targeted	mom	AreNot-organelle-targeted	-0.18907284145764	0.00935482119870602	71109.1670686561	-20.2112726092288	1.27557796733847e-88
dad	AreNot-organelle-targeted	dad	Dual-targeted_Non-interacting	-1.62371869723395	0.102332272285956	11014.7565306385	-15.8671224723385	3.97431803137436e-54
dad	AreNot-organelle-targeted	dad	Plastid-targeted_Interacting	-2.47762669543892	0.234614531575466	10985.4319584611	-10.5604144756139	4.84225801361032e-24
dad	AreNot-organelle-targeted	dad	Plastid-targeted_Non-interacting	-1.79838088489921	0.143506438884565	10994.1472359238	-12.5317086736841	7.47049640974295e-34
mom	AreNot-organelle-targeted	mom	Dual-targeted_Non-interacting	-1.61416562803795	0.10227987074084	10992.8684912301	-15.781850488724	1.48190382755911e-53
mom	AreNot-organelle-targeted	mom	Plastid-targeted_Interacting	-2.62483071255095	0.2346087431343	10984.3793790581	-11.1881197498611	5.41040119285034e-27
mom	AreNot-organelle-targeted	mom	Plastid-targeted_Non-interacting	-1.76634363931455	0.143496975334011	10991.331962022	-12.3092743606833	1.14572387512053e-32
dad	Dual-targeted_Interacting	dad	Plastid-targeted_Interacting	-1.68395006658193	0.440323282606733	11014.3909632287	-3.82434936579522	0.00725125565500323
mom	Dual-targeted_Interacting	mom	Plastid-targeted_Interacting	-2.08022053216905	0.440006543921225	10983.6516264307	-4.72770362374765	0.00014483463950561
dad	Dual-targeted_Non-interacting	mom	Dual-targeted_Non-interacting	-0.179519772261639	0.0317208556659975	70860.11652243	-5.65936096276468	1.00664803584962e-06
dad	Dual-targeted_Non-interacting	dad	Mitochondria-targeted_Interacting	1.77484461687624	0.239955445708361	11062.2058603516	7.39655902218353	1.06409405342728e-11
dad	Dual-targeted_Non-interacting	dad	Plastid-targeted_Interacting	-0.853907998204969	0.252848258498225	10987.2044478036	-3.37715594039167	0.0360118717757041
mom	Dual-targeted_Non-interacting	mom	Mitochondria-targeted_Interacting	1.70980814120614	0.239656508052443	11008.7974970907	7.13441147541044	7.12838532608826e-11
mom	Dual-targeted_Non-interacting	mom	Mitochondria-targeted_Non-interacting	1.00757801930043	0.294826110615759	10984.2994396148	3.41753319336627	0.032344505095374
mom	Dual-targeted_Non-interacting	mom	Plastid-targeted_Interacting	-1.01066508451301	0.252832426528838	10984.5325183759	-3.99737129603401	0.00367470952070121
dad	Mitochondria-targeted_Interacting	mom	Mitochondria-targeted_Interacting	-0.244556247931738	0.071890076022155	71010.4517441595	-3.4018081696891	0.0334892471175808
dad	Mitochondria-targeted_Interacting	dad	Plastid-targeted_Interacting	-2.62875261508121	0.319610232001834	11025.5964086249	-8.22487001938701	1.65175220414723e-14
dad	Mitochondria-targeted_Interacting	dad	Plastid-targeted_Non-interacting	-1.94950680454151	0.26019381233077	11048.7853845573	-7.49251793145336	5.30882792949337e-12
mom	Mitochondria-targeted_Interacting	mom	Plastid-targeted_Interacting	-2.72047322571915	0.319398391117087	10997.2459030367	-8.51749195167944	1.41890623445044e-15
mom	Mitochondria-targeted_Interacting	mom	Plastid-targeted_Non-interacting	-1.86198615248274	0.25993355270749	11005.9380135849	-7.16331590550021	5.86457844194773e-11
dad	Mitochondria-targeted_Non-interacting	dad	Plastid-targeted_Interacting	-1.56934689031695	0.36286949691621	11011.5254370409	-4.32482449931395	0.00089318527200554
mom	Mitochondria-targeted_Non-interacting	mom	Plastid-targeted_Interacting	-2.01824310381344	0.362632770026523	10983.6516260832	-5.56552874045505	1.73868321200411e-06
mom	Mitochondria-targeted_Non-interacting	mom	Plastid-targeted_Non-interacting	-1.15975603057703	0.311532735795234	10984.8677174317	-3.72274209840767	0.0104969356736917
dad	Plastid-targeted_Interacting	mom	Plastid-targeted_Interacting	-0.336276858569676	0.074637099715075	70811.1064795265	-4.5054920388574	0.000391317784807535
dad	Plastid-targeted_Non-interacting	mom	Plastid-targeted_Non-interacting	-0.157035595872974	0.0452090174855272	70831.1172378441	-3.47354586777396	0.0267246831678245
