	Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.265942892013081	0.0093478818911349	28.4495348903893	3.06018149536594e-176
TargetingDual-targeted_Interacting	-0.483415236913814	0.123721966175602	-3.9072708901804	9.35009331125933e-05
TargetingDual-targeted_Non-interacting	-0.131541102735923	0.0329817669597503	-3.98829762203009	6.66696854777581e-05
TargetingMitochondria-targeted_Interacting	-0.351709663846005	0.0737128745255155	-4.77134647251156	1.83655752941466e-06
TargetingMitochondria-targeted_Non-interacting	-0.123906159147701	0.0917913827791951	-1.34986700707798	0.177066431758539
TargetingPlastid-targeted_Interacting	-0.138934752874512	0.07623164681905	-1.82253379891293	0.068381635634406
TargetingPlastid-targeted_Non-interacting	-0.0847208570555146	0.0460139922003117	-1.84119770974666	0.0656001334662525
dipDelta	0.609213969199321	0.0053515483759254	113.838823160031	0
TargetingDual-targeted_Interacting:dipDelta	-0.012150477191474	0.100349768802216	-0.121081267415991	0.903627286303401
TargetingDual-targeted_Non-interacting:dipDelta	0.196485277707034	0.0216349367429627	9.08185126868677	1.11580689447203e-19
TargetingMitochondria-targeted_Interacting:dipDelta	0.320309615507559	0.0403114698569953	7.94586792900025	1.97947659445833e-15
TargetingMitochondria-targeted_Non-interacting:dipDelta	0.256782144037516	0.0596121230245875	4.30754905225576	1.65474180261555e-05
TargetingPlastid-targeted_Interacting:dipDelta	0.134736067907846	0.0500618766210419	2.69139067493953	0.00711849657544242
TargetingPlastid-targeted_Non-interacting:dipDelta	0.0136473598899272	0.0328797193605197	0.415069232808423	0.678093490793733
