response	term	estimate	std.error	statistic	p.value
tetMom	(Intercept)	-0.337247392448446	0.0338185585399393	-9.97225804435638	2.14953550256525e-23
tetMom	DI	-2.95166906137689	0.767118691808761	-3.84773450692129	0.000119403768886941
tetMom	DNI	-0.410710601500806	0.184340853624282	-2.22799554968918	0.025886458417607
tetMom	MI	-2.59823858980331	0.584304670124592	-4.44671884831809	8.74308997452555e-06
tetMom	MNI	-0.00776246176621467	0.612869644356201	-0.0126657631646431	0.989894517714876
tetMom	PI	-3.46139549772996	0.755259324772917	-4.58305562631841	4.59640575892468e-06
tetMom	PNI	0.814931842001738	0.260219087234026	3.13171432066716	0.00173916575187776
tetMom	dipMom	0.643591578606434	0.00730177256670279	88.1418275805126	0
tetMom	dipDad	0.127291886164822	0.007499931726831	16.9724059899686	2.23266647942516e-64
tetMom	DI:dipMom	0.303740116389062	0.16546479611588	1.83567818363215	0.0664128306471511
tetMom	DNI:dipMom	0.176177680935949	0.0308366085803731	5.71326384601459	1.11630094337004e-08
tetMom	MI:dipMom	0.568543844734943	0.105241817405141	5.40226175063346	6.61880604252253e-08
tetMom	MNI:dipMom	0.212814390717868	0.114566213446708	1.8575667669846	0.0632380487791978
tetMom	PI:dipMom	0.492312567468568	0.103842753276777	4.74094293471192	2.13471639165448e-06
tetMom	PNI:dipMom	-0.173786895160378	0.0441307995432282	-3.93799561664741	8.23069974962756e-05
tetMom	DI:dipDad	0.399211102446078	0.145773590620767	2.73856945380892	0.00617349645896837
tetMom	DNI:dipDad	-0.131100387777804	0.0304277897261554	-4.30857413429248	1.64709739458801e-05
tetMom	MI:dipDad	0.119995919905397	0.0909439403811935	1.31944931572605	0.187026643981801
tetMom	MNI:dipDad	-0.196226330410432	0.10256541487877	-1.91318224220482	0.0557319970195365
tetMom	PI:dipDad	0.255248256860258	0.0848125407383921	3.00955795732594	0.00261794309157946
tetMom	PNI:dipDad	-0.0627829950131683	0.0452922488175361	-1.38617526513411	0.165701270352323
tetMom	dipMom:dipDad	0.0169078020268832	0.000998559994249332	16.9321844698912	4.40360935138191e-64
tetMom	DI:dipMom:dipDad	-0.046330247018464	0.0200157232778605	-2.31469262315942	0.0206348957680789
tetMom	DNI:dipMom:dipDad	-0.0013954060509819	0.00314500658985422	-0.443689388595712	0.657269615334492
tetMom	MI:dipMom:dipDad	-0.0490058813950204	0.0144216228293596	-3.39808369521729	0.000679270705724989
tetMom	MNI:dipMom:dipDad	-0.00231611815550068	0.0155470795803244	-0.148974483827293	0.881574532927602
tetMom	PI:dipMom:dipDad	-0.0404209179046588	0.00873712428340685	-4.62634118429841	3.73369725616071e-06
tetMom	PNI:dipMom:dipDad	0.0147603677188336	0.0045864065746498	3.21828592354149	0.00129063949608805
tetDad	(Intercept)	-0.66795984273998	0.0229517331839195	-29.1028061971358	3.02953824731975e-184
tetDad	DI	1.09955609226827	0.520622530791749	2.11200251090957	0.0346925374388711
tetDad	DNI	-0.332333631320443	0.125107108934989	-2.65639286327955	0.00790134898266977
tetDad	MI	-0.480559169437301	0.396551641045842	-1.21184511598515	0.225578973066316
tetDad	MNI	0.282430629593664	0.415937909866115	0.679021130063798	0.497128479332784
tetDad	PI	-1.43849302347938	0.512573901882406	-2.8064109744889	0.00501214373913124
tetDad	PNI	0.985597522457737	0.176603596291812	5.58084627466576	2.40928846406005e-08
tetDad	dipMom	0.0432911837729213	0.00495551386445718	8.73596259782907	2.50955084527733e-18
tetDad	dipDad	0.744642833628656	0.00508999908108287	146.295278597621	0
tetDad	DI:dipMom	-0.334625651382939	0.112296443602062	-2.97984193131469	0.00288573798651151
tetDad	DNI:dipMom	-0.00719972834915636	0.0209279650875078	-0.344024290897445	0.730829862091433
tetDad	MI:dipMom	-0.0479632546980091	0.0714247507036978	-0.67152148555593	0.501892330760707
tetDad	MNI:dipMom	-0.0786512195582446	0.0777529639477511	-1.01155268641716	0.311758216341441
tetDad	PI:dipMom	0.120990883519632	0.0704752440432208	1.71678559134086	0.0860262477381193
tetDad	PNI:dipMom	-0.188783466835584	0.0299503698572196	-6.30320986804367	2.9463659314519e-10
tetDad	DI:dipDad	0.0116434227015348	0.0989325595660283	0.117690503031652	0.906313494449457
tetDad	DNI:dipDad	0.127772732431429	0.0206505108828444	6.18738844556032	6.17724944874332e-10
tetDad	MI:dipDad	0.201252843426283	0.0617211715827078	3.26067762917622	0.00111241080139383
tetDad	MNI:dipDad	0.026788782471952	0.0696083493155224	0.384850132712143	0.700350540004734
tetDad	PI:dipDad	0.262185308427093	0.0575599578964603	4.5549947916695	5.25443769689694e-06
tetDad	PNI:dipDad	0.00691686580162951	0.030738613797868	0.225022047094045	0.821963294933063
tetDad	dipMom:dipDad	0.0159815322301245	0.000677695429539974	23.5821750206769	4.16696695419973e-122
tetDad	DI:dipMom:dipDad	0.0221632953188131	0.0135841254030411	1.63155850385858	0.102780552175285
tetDad	DNI:dipMom:dipDad	-0.00987712766178241	0.00213443018355603	-4.62752435656003	3.71244832599965e-06
tetDad	MI:dipMom:dipDad	-0.0105398441007208	0.00978756202360539	-1.07686102783319	0.281548977807118
tetDad	MNI:dipMom:dipDad	0.00384087922782841	0.0105513788204591	0.364016807014924	0.715847420638345
tetDad	PI:dipMom:dipDad	-0.0247711032390995	0.00592964792129365	-4.17749983943318	2.95367645123739e-05
tetDad	PNI:dipMom:dipDad	0.00650828394449699	0.00311266903496253	2.0909013683735	0.0365433239438067
