category	category01	category12	category02	category11	category04	category09	category03	category07	category10	category05	category06	category08	all_equal
all	607	541	804	795	800	891	178	442	136	183	215	519	1618
cp	11	0	13	0	0	34	2	1	0	0	0	2	11
Dual-targeted_Interacting	2	8	1	13	12	3	0	2	0	0	3	1	10
Dual-targeted_Non-interacting	92	42	77	49	75	109	12	31	7	10	23	43	120
Mitochondria-targeted_Interacting	8	27	6	15	31	11	4	8	3	4	3	9	22
Mitochondria-targeted_Non-interacting	2	10	4	10	8	2	3	4	2	1	3	9	16
Not-organelle-targeted	439	419	644	649	617	677	143	363	114	162	169	438	1328
Plastid-targeted_Interacting	13	10	18	11	20	11	1	7	0	1	4	3	44
Plastid-targeted_Non-interacting	39	22	40	44	35	44	11	24	5	5	10	13	64
mt	1	3	1	4	2	0	2	2	5	0	0	1	3
