Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62002649	AUR62002662	AUR62002686	AUR62002662	AUR62002807	AUR62002662	AUR62002662	AUR62002753	AUR62002662	AUR62002807	AUR62002686	AUR62002662	AUR62040776	AUR62032179	AUR62032263	AUR62002807	AUR62002958	AUR62002807	AUR62002760	AUR62006451	AUR62006180	AUR62003145	AUR62002760	AUR62003048	AUR62002753	AUR62002753	AUR62003041	AUR62024783	AUR62006007	AUR62004116	AUR62023166	AUR62002803	AUR62040776	AUR62002909	AUR62002860	AUR62002860	AUR62010386	AUR62005721	AUR62003048	AUR62002782	AUR62031529	AUR62033720	AUR62002782	AUR62003053	AUR62027587	AUR62042566	AUR62002686	AUR62005411	AUR62003041	AUR62006149	AUR62038130	AUR62002686	AUR62002759	AUR62002956	AUR62002803	
AUR62002650	AUR62002682	AUR62002753	AUR62002682	AUR62002958	AUR62002682	AUR62002682	AUR62002760	AUR62002682	AUR62002958	AUR62002759	AUR62002682	AUR62037670	AUR62044451	AUR62011949	AUR62002958	AUR62006089	AUR62012884	AUR62003145	AUR62032483	AUR62023375	AUR62025834	AUR62003295	AUR62003098	AUR62003041	AUR62025829	AUR62023140	AUR62025794	AUR62013212	AUR62007631	AUR62023880	AUR62038368	AUR62037670	AUR62032494	AUR62006005	AUR62006005	AUR62030017	AUR62005735	AUR62003098	AUR62003053	AUR62005671	AUR62033874	AUR62005658	AUR62013057	AUR62005536	AUR62035539	AUR62002759	AUR62023285	AUR62023140	AUR62024839	AUR62025794	AUR62006007	AUR62018459	AUR62041166	AUR62038368	
AUR62002651	AUR62002686	AUR62002759	AUR62002688	AUR62006089	AUR62002688	AUR62002686	AUR62002803	AUR62002688	AUR62006089	AUR62002782	AUR62002688	AUR62042410	AUR62025821		AUR62006089	AUR62033800	AUR62012893	AUR62003295	AUR62005586	AUR62013781	AUR62022705	AUR62010500	AUR62003111	AUR62006007	AUR62030203	AUR62028361	AUR62038110	AUR62035531		AUR62038021	AUR62012953	AUR62042410	AUR62035047	AUR62023093	AUR62023093	AUR62019873	AUR62044451	AUR62003321	AUR62042566	AUR62021944	AUR62040093	AUR62005819	AUR62010064	AUR62019996	AUR62023310	AUR62002956	AUR62013632	AUR62028361	AUR62014506	AUR62025919	AUR62006269	AUR62018485	AUR62013887	AUR62012953	
AUR62002652	AUR62002688	AUR62002760	AUR62002700	AUR62012884	AUR62002700	AUR62002688	AUR62002807	AUR62002700	AUR62012884	AUR62002803	AUR62002700	AUR62041363	AUR62014305		AUR62012884	AUR62023043	AUR62013095	AUR62006180	AUR62032630	AUR62024869	AUR62000138	AUR62021565	AUR62003304	AUR62013212	AUR62001018	AUR62007849	AUR62031873	AUR62010216		AUR62009488	AUR62013197	AUR62041363	AUR62023207	AUR62010386	AUR62034964	AUR62014523	AUR62025821	AUR62006107	AUR62013057	AUR62012407	AUR62025154	AUR62010844	AUR62040811	AUR62030254	AUR62023308	AUR62003041	AUR62028324	AUR62007849	AUR62040209	AUR62038110	AUR62032474	AUR62020935	AUR62029962	AUR62013197	
AUR62002653	AUR62002700	AUR62002782	AUR62002705	AUR62012893	AUR62002705	AUR62002700	AUR62002958	AUR62002705	AUR62012893	AUR62002860	AUR62002705	AUR62027735	AUR62023576		AUR62012893	AUR62023116	AUR62033752	AUR62006451	AUR62010388	AUR62037821	AUR62000394	AUR62018793	AUR62006176	AUR62035531	AUR62029546	AUR62009459	AUR62022701	AUR62023431		AUR62022292	AUR62013238	AUR62027735	AUR62010522	AUR62034964	AUR62034219	AUR62023618	AUR62014305	AUR62006176	AUR62027587	AUR62012710		AUR62019843	AUR62038135	AUR62032252	AUR62023307	AUR62006007	AUR62013340	AUR62009459	AUR62019340	AUR62022701	AUR62035531	AUR62020960	AUR62024915	AUR62013238	
AUR62002655	AUR62002705	AUR62002803	AUR62002707	AUR62013095	AUR62002707	AUR62002705	AUR62003041	AUR62002707	AUR62013095	AUR62002909	AUR62002707	AUR62018912	AUR62013396		AUR62013095	AUR62005503	AUR62005434	AUR62032483	AUR62042233	AUR62037753	AUR62000754	AUR62007208	AUR62006326	AUR62023140	AUR62037179	AUR62025360	AUR62022700	AUR62041195			AUR62032217	AUR62018912	AUR62010525	AUR62034219	AUR62023332	AUR62008980	AUR62023576	AUR62042568	AUR62033720	AUR62028884		AUR62015635	AUR62028300	AUR62022575	AUR62008991	AUR62006149	AUR62009017	AUR62025360	AUR62040456	AUR62022700	AUR62041195	AUR62020959	AUR62025599	AUR62031552	
AUR62002654	AUR62002707	AUR62002807	AUR62002713	AUR62033752	AUR62002713	AUR62002707	AUR62003048	AUR62002713	AUR62033752	AUR62002956	AUR62002713	AUR62033019	AUR62013398		AUR62033752	AUR62010386	AUR62005687	AUR62005586	AUR62013622	AUR62035137	AUR62003964	AUR62039719	AUR62042574	AUR62023166	AUR62029055		AUR62003631	AUR62013723			AUR62031552	AUR62033019	AUR62013283	AUR62023332	AUR62023363	AUR62007009	AUR62031953	AUR62039460	AUR62035539			AUR62013436	AUR62015875	AUR62022613	AUR62008993	AUR62006269	AUR62029546		AUR62041992	AUR62003631	AUR62019911		AUR62024570	AUR62009961	
AUR62002656	AUR62002713	AUR62002860	AUR62002715	AUR62033800	AUR62002715	AUR62002713	AUR62003098	AUR62002715	AUR62033800	AUR62003041	AUR62002715	AUR62002909	AUR62036939		AUR62033800	AUR62023429	AUR62010099	AUR62032630	AUR62038855	AUR62031027	AUR62007647	AUR62036269	AUR62043158	AUR62010216	AUR62033381		AUR62025547	AUR62039653			AUR62009961		AUR62038089	AUR62023363	AUR62013792	AUR62036421	AUR62034097	AUR62039491	AUR62031529			AUR62021654	AUR62021663	AUR62041844	AUR62008994	AUR62041166	AUR62003982		AUR62038029	AUR62009818	AUR62023569		AUR62011736	AUR62010207	
AUR62002657	AUR62002715	AUR62002909	AUR62002730	AUR62023043	AUR62002753	AUR62002715	AUR62003111	AUR62002770	AUR62023043	AUR62003053	AUR62002730	AUR62032494	AUR62032259		AUR62023043	AUR62013725	AUR62010767	AUR62010388	AUR62025859	AUR62021363	AUR62007965	AUR62027167	AUR62038376	AUR62023431	AUR62015155		AUR62041598	AUR62021530			AUR62010207		AUR62018844	AUR62013792	AUR62028378	AUR62036427	AUR62023806	AUR62013066	AUR62005536			AUR62028621	AUR62008851	AUR62011936	AUR62018154	AUR62032474	AUR62014072		AUR62009211	AUR62025547	AUR62030143		AUR62036465	AUR62010256	
AUR62002658	AUR62002730	AUR62002956	AUR62002731	AUR62023116	AUR62002760	AUR62002730	AUR62003145	AUR62002773	AUR62023116	AUR62003048	AUR62002731	AUR62035047	AUR62031953		AUR62023116	AUR62019890	AUR62023305	AUR62010500	AUR62031745	AUR62033275	AUR62019318	AUR62014124	AUR62039467	AUR62041195	AUR62017609		AUR62017940	AUR62035620			AUR62010256		AUR62007162	AUR62028378	AUR62019945	AUR62019472	AUR62029049	AUR62013191	AUR62005658			AUR62031872	AUR62018252	AUR62000091		AUR62035531	AUR62011146		AUR62032380	AUR62015103	AUR62037039		AUR62004114	AUR62044762	
