target_id	category	PatMatFC	DadMomFC	MatMomFC	PatDadFC	PolyRank	DipRank	MomRank	DadRank
AUR62042956_AUR62016137	Not-organelle-targeted	-11.9346964197637	-7.54658201440838	NA	-5.99897056260136	1	59	NA	54
AUR62012455_AUR62031579	Not-organelle-targeted	11.6131236960035	12.1669061098301	NA	1.5163167363165	2	2	NA	1588
AUR62015836_AUR62020383	Not-organelle-targeted	-10.969687317128	4.12161948949589	1.4224935691127	-13.5356867145804	3	394	1717	1
AUR62017626_AUR62015174	Not-organelle-targeted	-10.8998402443653	5.25743208717741	8.0260680464867	-8.18416282407269	4	210	10	8
AUR62015627_AUR62029334	Not-organelle-targeted	-10.8087918686933	NA	NA	-10.7815094852497	5	NA	NA	3
AUR62014494_AUR62038044	Not-organelle-targeted	10.5773776151845	10.1880779313334	NA	NA	6	6	NA	NA
AUR62035191_AUR62039099	Not-organelle-targeted	-10.318848538266	NA	11.785861080647	NA	7	NA	1	NA
AUR62038577_AUR62042047	Not-organelle-targeted	-9.7915185567137	3.14703797521223	1.85840022111103	-11.1438995389903	8	760	1137	2
AUR62041950_AUR62040619	Not-organelle-targeted	-9.71908401215004	-3.36432073753011	-0.591884301112116	-6.90869167197484	9	663	3952	25
AUR62044279_AUR62013858	Not-organelle-targeted	-9.62345420793837	-1.60541544528051	NA	-8.20274050100462	10	2383	NA	7
AUR62042418_AUR62026907	Not-organelle-targeted	-9.59246446863171	-2.26558961981321	1.18740992078399	-6.16909572527018	11	1426	2116	48
AUR62034093_AUR62014300	Not-organelle-targeted	-9.32582979129466	-3.64786326402895	1.30615042563723	-4.37270304716472	12	556	1903	157
AUR62008243_AUR62030995	Not-organelle-targeted	-9.26659559609895	-3.34271112532118	NA	-6.23681789913417	13	672	NA	41
AUR62033789_AUR62029916	Not-organelle-targeted	-9.22527279778825	-5.21330214944631	1.19149650506834	NA	14	217	2105	NA
AUR62016333_AUR62011514	Not-organelle-targeted	9.21114148694867	8.13856253265389	NA	NA	15	40	NA	NA
AUR62015701_AUR62020503	Not-organelle-targeted	8.88553627091303	NA	-7.9626352810192	NA	16	NA	12	NA
AUR62003959_AUR62038271	Not-organelle-targeted	8.80477629792597	-6.92575167672179	-9.51165035337672	6.19484190008583	17	85	3	45
AUR62008365_AUR62021734	Not-organelle-targeted	8.76023975113931	NA	NA	9.27505870052172	18	NA	NA	4
