baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AUR62042956_AUR62016137	826.488710631543	-11.9346964197637	1.22591325440181	-9.73535148340273	0.00000000000000000000021307977628959	0.000000000000000000020508928467873
AUR62015836_AUR62020383	424.925286952058	-10.969687317128	1.3454846540375	-8.15296353192169	0.000000000000000355112723462373	0.0000000000000146940334871931
AUR62017626_AUR62015174	400.258813996665	-10.8998402443653	0.967691278222056	-11.2637578633463	0.0000000000000000000000000000198126015832754	0.00000000000000000000000000427903870780252
AUR62015627_AUR62029334	546.226140942873	-10.8087918686933	0.876154240153286	-12.3366313524914	0.0000000000000000000000000000000000575121597015118	0.0000000000000000000000000000000212195905898703
AUR62035191_AUR62039099	389.681977893584	-10.318848538266	0.963269087893563	-10.7123218921422	0.00000000000000000000000000890986591439181	0.0000000000000000000000014088725477132
AUR62038577_AUR62042047	83.1878727284697	-9.7915185567137	0.965850282878598	-10.1377187854947	0.00000000000000000000000375772114940856	0.000000000000000000000462147510805734
AUR62041950_AUR62040619	118.469873365746	-9.71908401215004	0.973136422591419	-9.98738078908665	0.0000000000000000000000173094978697584	0.00000000000000000000189229140292235
AUR62044279_AUR62013858	74.1528322364254	-9.62345420793837	0.990334378368441	-9.71737871383689	0.00000000000000000000025424212063809	0.0000000000000000000239501487047903
AUR62042418_AUR62026907	72.6840978943585	-9.59246446863171	0.958876488512796	-10.0038582482187	0.0000000000000000000000146572623901002	0.00000000000000000000164291213245997
AUR62034093_AUR62014300	90.1783121383388	-9.32582979129466	1.00765168533897	-9.25501334139832	0.0000000000000000000214203656935586	0.00000000000000000145905644781893
AUR62008243_AUR62030995	86.5825795559944	-9.26659559609895	0.961982476563184	-9.63281122251327	0.000000000000000000000581173217067577	0.0000000000000000000499639692925572
AUR62033789_AUR62029916	56.359578755755	-9.22527279778825	1.0946694712213	-8.42745051389421	0.0000000000000000353277601297467	0.00000000000000166397508483461
AUR62004430_AUR62022637	116.158593819927	-8.58369126328642	0.890330968968809	-9.64101167145533	0.000000000000000000000536565325387249	0.0000000000000000000465812348657263
AUR62003202_AUR62008019	34.2647401282537	-8.50775517598337	0.982311812575462	-8.66095171316062	0.00000000000000000467841698420427	0.000000000000000254155720215514
AUR62019774_AUR62010772	29.4868286111627	-8.28767994400131	1.0013825555248	-8.27623758600223	0.000000000000000127128223770602	0.00000000000000543826290574241
AUR62020299_AUR62037701	39.1300388875457	-8.12232737429398	1.00352517132579	-8.09379535897769	0.000000000000000578338209601348	0.0000000000000235999301659905
AUR62039277_AUR62016211	84.8392228126021	-7.71976864842777	0.792375061422143	-9.74256892256609	0.000000000000000000000198472400815104	0.0000000000000000000193128913100851
AUR62028944_AUR62027249	19.4951785086658	-7.69184185032502	1.02385628670892	-7.51261866550589	0.0000000000000579561658870045	0.00000000000183286374617652
AUR62030859_AUR62027019	27.8240498386741	-7.61966274124703	0.998619496087912	-7.63019625702986	0.0000000000000234396602951169	0.000000000000786205272398711
AUR62021527_AUR62011016	551.691804612289	-7.46180180381821	0.424947205541233	-17.5593619784239	0.00000000000000000000000000000000000000000000000000000000000000000000504389643433768	0.000000000000000000000000000000000000000000000000000000000000000011165925731515
AUR62025164_AUR62038396	24.4406213114455	-7.43158914887132	1.12698831625629	-6.5942024790089	0.0000000000427547876332875	0.000000000848864673750584
AUR62027804_AUR62018958	24.1029144322933	-7.41314831596959	0.982953782058824	-7.54170587801447	0.0000000000000463863025893499	0.00000000000150458135321866
AUR62041444_AUR62011262	193.284617381394	-7.39220818215435	0.999679226885429	-7.39458016466472	0.000000000000141855754126452	0.00000000000421521041204608
AUR62041746_AUR62042889	15.4024885524554	-7.34706487839068	1.01909225570343	-7.2094207735092	0.0000000000005619037884434	0.0000000000152160796534138
AUR62020044_AUR62001731	34.2554603495826	-7.3352957258944	1.08846726362794	-6.73910550276478	0.0000000000159364658375065	0.000000000341688631939757
AUR62026512_AUR62026317	15.1665764816956	-7.32627776696945	1.01385716658407	-7.22614388736185	0.000000000000496901268940101	0.0000000000136647848958528
AUR62038480_AUR62014258	32.3298741754547	-7.2664432238802	0.963284112743749	-7.54340607070015	0.0000000000000457852646558269	0.0000000000014905460239976
