baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AUR62021527_AUR62011016	366.986450493861	-9.86819193777324	0.978926422517805	-10.0806268078782	0.00000000000000000000000672954439161911	0.0000000000000000000000718589678770925
AUR62016649_AUR62011410	3706.96060157616	-9.78455692788742	0.331994140383201	-29.4720771776083	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000656467873434298	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095100312598182
AUR62042952_AUR62016143	124.066693963885	-9.73491941161538	1.0788966626456	-9.02303227794225	0.000000000000000000182953640610017	0.00000000000000000147243800387247
AUR62035991_AUR62036013	104.179140800677	-9.48182453696713	1.02937767821982	-9.21122027181	0.0000000000000000000322438219528934	0.000000000000000000272629669663959
AUR62027562_AUR62035795	95.1834878756957	-9.35209979676893	1.17337009873499	-7.97028985726789	0.00000000000000158302632680615	0.00000000000000977943484903987
AUR62041415_AUR62033584	146.215776804045	-9.25014609762887	1.02896585574157	-8.98975028764425	0.000000000000000000247792781616763	0.00000000000000000197235792840009
AUR62027804_AUR62018958	77.2567710893899	-9.05185717607355	1.03437600574592	-8.75103166139858	0.00000000000000000211411044478482	0.0000000000000000158686079327026
AUR62008459_AUR62021636	721.338147720978	-8.70463809286428	0.493330879012311	-17.6446244562912	0.00000000000000000000000000000000000000000000000000000000000000000000111915751564601	0.000000000000000000000000000000000000000000000000000000000000000000092644925009477
AUR62042491_AUR62040010	50.3478219026585	-8.43263689220262	1.0383592427104	-8.12111699433732	0.000000000000000461912481400163	0.00000000000000296087263151196
AUR62038864_AUR62031629	49.8911111402419	-8.42233726114096	1.04179924012224	-8.08441486303325	0.000000000000000624633635127605	0.00000000000000397460875294959
AUR62007122_AUR62019991	43.5390891603867	-8.22656790073411	1.04453682220871	-7.87580459187521	0.00000000000000338557016966199	0.0000000000000202947420101393
AUR62042730_AUR62038789	147.385632182504	-8.00330660829931	0.860068109954875	-9.30543350656173	0.0000000000000000000133446834858974	0.000000000000000000115645053698325
AUR62037554_AUR62019585	819.556294363466	-7.65365702624035	0.447582863664758	-17.0999777863993	0.0000000000000000000000000000000000000000000000000000000000000000148460875419246	0.00000000000000000000000000000000000000000000000000000000000000106646440425131
AUR62011403_AUR62016645	28.6313356859911	-7.62249307904641	1.04248609204859	-7.31184150770537	0.000000000000263505816308843	0.00000000000137478544739283
AUR62042956_AUR62016137	3879.0315894144	-7.54658201440838	0.594445990473633	-12.6951516796262	0.000000000000000000000000000000000000629079539561745	0.0000000000000000000000000000000000135345528660165
AUR62024781_AUR62032440	25.3870598668666	-7.44863641422272	1.04843781787283	-7.10450947804915	0.00000000000120750634672447	0.00000000000594991222547003
AUR62042274_AUR62036533	1119.68101771458	-7.39625164047516	0.445973805480278	-16.5844979000729	0.0000000000000000000000000000000000000000000000000000000000000902165162730069	0.0000000000000000000000000000000000000000000000000000000000056011568531784
AUR62038512_AUR62014208	438.356788095393	-7.33879018097263	0.396907018066891	-18.4899481412944	0.00000000000000000000000000000000000000000000000000000000000000000000000000024879358948629	0.0000000000000000000000000000000000000000000000000000000000000000000000000263721204855468
AUR62041089_AUR62037849	704.606456434945	-7.30906526303748	0.398824934813975	-18.3265002386239	0.00000000000000000000000000000000000000000000000000000000000000000000000000508594793056176	0.000000000000000000000000000000000000000000000000000000000000000000000000514035574563288
AUR62028944_AUR62027249	22.7552665370757	-7.28994684163769	1.0509412932898	-6.93658807412323	0.00000000000401682862303203	0.0000000000190164893199316
AUR62021915_AUR62012742	37.3555156114913	-7.27645579132794	1.03931572874884	-7.00119856753018	0.00000000000253781953634731	0.0000000000121736906235821
AUR62003426_AUR62029415	334.235801534691	-7.17665345382435	0.54517839279843	-13.1638625973165	0.00000000000000000000000000000000000000141654789702274	0.0000000000000000000000000000000000000348799839119593
AUR62041702_AUR62009539	83.427935748066	-7.17361081597492	0.842495778185172	-8.51471425937311	0.0000000000000000167001577685441	0.000000000000000118689919316586
AUR62026449_AUR62026256	33.1705709183463	-7.10538376900819	1.05821840080077	-6.71447761977245	0.0000000000188741142137062	0.0000000000844767254096467
AUR62017403_AUR62010497	153.68319233372	-7.05720294396776	0.604295483143582	-11.6783976396047	0.000000000000000000000000000000164364712574395	0.00000000000000000000000000000267538966609858
AUR62032050_AUR62032697	50.2084807946022	-6.99477469735324	1.00580436881624	-6.95440874410356	0.0000000000035404372572883	0.0000000000168529466814621
AUR62004966_AUR62000995	473.589901976962	-6.94124597665198	0.351555508709497	-19.744381199237	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000089656392296347	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000132083620650822
AUR62003959_AUR62038271	1862.79165042314	-6.92575167672179	0.351267941787927	-19.71643538397	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000155831616639255	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000021846587287555
AUR62025359_AUR62028360	66.9170820703594	-6.85083212103413	0.843977673728924	-8.11731439620349	0.000000000000000476612914500133	0.00000000000000305285147592863
AUR62015496_AUR62002205	16.1133209560017	-6.79519577258551	1.09774714271199	-6.19012840771139	0.000000000601152232482913	0.00000000234630229220542
AUR62023853_AUR62002335	63.1219748885221	-6.79461325936215	1.13047405491554	-6.01041061474851	0.00000000185054018034487	0.00000000690635261810116
AUR62028867_AUR62005692	61.0752576204791	-6.72109288082105	0.868723268215899	-7.7367478536913	0.0000000000000101992048453732	0.0000000000000592986545257414
AUR62024664_AUR62011820	7608.47964568769	-6.69733577802543	0.339314324136674	-19.7378516072542	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000102024708143587	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000145376846423616
AUR62015524_AUR62002187	23.4020874576352	-6.59708732780898	1.05596896295834	-6.24742540663977	0.000000000417273448240293	0.00000000165840915048222
AUR62019337_AUR62006151	11.4976465232147	-6.2983933774928	1.11413393153655	-5.65317436190674	0.0000000157511376072002	0.0000000540500939920191
AUR62006813_AUR62000471	18.1087975965342	-6.22510104119792	1.04934160169882	-5.93238753816663	0.00000000298560887693627	0.000000010940519543984
AUR62003805_AUR62001997	29.6938030022852	-6.22448914650496	0.990606922383282	-6.28351064974347	0.000000000331011523211407	0.00000000133510541055849
AUR62042770_AUR62019572	213.179879008957	-6.21989065447011	0.50281802326525	-12.3700630579603	0.0000000000000000000000000000000000379523339755322	0.00000000000000000000000000000000073964503792674
AUR62009949_AUR62001421	10.8797897046447	-6.21676129663445	1.11174197856862	-5.59191018822424	0.0000000224584988603865	0.0000000757212071739641
AUR62034105_AUR62041275	72.2917246305847	-6.19685512349999	0.705434366835458	-8.78445311829471	0.00000000000000000157127094733888	0.0000000000000000118967657441372
AUR62033465_AUR62011083	27.5883284603446	-6.11676965740791	1.00162080212801	-6.1068716268796	0.00000000101602893597885	0.00000000388531610713955
AUR62006843_AUR62000497	39.5712136897311	-6.09928773525621	0.873327122657607	-6.98396692031683	0.0000000000028695965811727	0.0000000000137197653924935
