Parent1	Category1	Parent2	Category2	estimate	SE	df	t.ratio	p.value
dad	Dual-targeted_Interacting	dad	Dual-targeted_Non-interacting	-1.19485337830595	0.318126437052085	8908.18891529983	-3.75590720902684	0.0069526136469689
dad	Dual-targeted_Interacting	dad	Plastid-targeted_Interacting	-2.0733139503998	0.360789524361102	8907.69529076139	-5.74660241056416	5.17270192896682e-07
dad	Dual-targeted_Interacting	dad	Plastid-targeted_Non-interacting	-1.26894835352708	0.328563745974193	8907.97078313141	-3.86210703120834	0.0047547876233593
mom	Dual-targeted_Interacting	mom	Dual-targeted_Non-interacting	-1.01740408991931	0.318122723898117	8907.77863629615	-3.19814968717904	0.0485787217477605
mom	Dual-targeted_Interacting	mom	Plastid-targeted_Interacting	-2.07637511945791	0.360789524361067	8907.69540270372	-5.75508705008835	5.00986259878028e-07
mom	Dual-targeted_Interacting	mom	Plastid-targeted_Non-interacting	-1.1529494069301	0.328563745974155	8907.9709180485	-3.50905850404077	0.0171728211455252
dad	Dual-targeted_Non-interacting	dad	itochondria-targeted_Interacting	1.6617149621009	0.205219569738878	8908.87118662974	8.09725390329623	4.32580679580346e-14
dad	Dual-targeted_Non-interacting	dad	itochondria-targeted_Non-interacting	1.703099641088	0.278553358697725	8927.02865835278	6.11408761700174	5.96988800138019e-08
dad	Dual-targeted_Non-interacting	dad	Not-organelle-targeted	1.54920129401232	0.0915051482484716	8916.19154726948	16.9302091047996	2.34986840887013e-61
dad	Dual-targeted_Non-interacting	dad	Plastid-targeted_Interacting	-0.878460572093851	0.209931880494745	8908.8187168596	-4.18450294459131	0.00132725943289521
mom	Dual-targeted_Non-interacting	mom	itochondria-targeted_Interacting	1.70066945343003	0.205213813649906	8907.88486445356	8.28730494883431	9.68385901198251e-15
mom	Dual-targeted_Non-interacting	mom	itochondria-targeted_Non-interacting	1.61379260617456	0.278474260756976	8917.02777607559	5.79512304579888	4.02361630393426e-07
mom	Dual-targeted_Non-interacting	mom	Not-organelle-targeted	1.54709921607042	0.091491600087618	8910.98191111865	16.9097405072031	3.25827475987637e-61
mom	Dual-targeted_Non-interacting	mom	Plastid-targeted_Interacting	-1.05897102953861	0.209926253615378	8907.87618156267	-5.04449067851621	2.31852803759693e-05
dad	itochondria-targeted_Interacting	dad	Plastid-targeted_Interacting	-2.54017553419475	0.266607806976963	8907.68915134516	-9.52776125724722	1.54460559715324e-19
dad	itochondria-targeted_Interacting	dad	Plastid-targeted_Non-interacting	-1.73580993732203	0.221053787619551	8908.29499995248	-7.85243246005574	2.95960919634331e-13
mom	itochondria-targeted_Interacting	mom	Plastid-targeted_Interacting	-2.75964048296864	0.266607806976963	8907.68915125338	-10.350936509549	4.53369014708978e-23
mom	itochondria-targeted_Interacting	mom	Plastid-targeted_Non-interacting	-1.83621477044082	0.221053787619551	8908.29499988653	-8.30664242496978	8.35281140760598e-15
dad	itochondria-targeted_Non-interacting	dad	Plastid-targeted_Interacting	-2.58156021318185	0.32643012204611	8921.29754389891	-7.90846199180475	1.95398269238227e-13
dad	itochondria-targeted_Non-interacting	dad	Plastid-targeted_Non-interacting	-1.77719461630913	0.290416388757457	8925.23885461657	-6.1194708188227	5.87037464800816e-08
mom	itochondria-targeted_Non-interacting	mom	Plastid-targeted_Interacting	-2.67276363571316	0.326366247232264	8914.4092533547	-8.18946094573023	2.09019685763137e-14
mom	itochondria-targeted_Non-interacting	mom	Plastid-targeted_Non-interacting	-1.74933792318535	0.290344591153951	8916.53302648747	-6.02504050870294	1.01944188145316e-07
dad	Not-organelle-targeted	mom	Not-organelle-targeted	-0.0318288169087981	0.00647241711236007	76631.2987356081	-4.91760904098966	4.21385098675192e-05
dad	Not-organelle-targeted	dad	Plastid-targeted_Interacting	-2.42766186610617	0.193230026375898	8908.26142537598	-12.5635850268092	5.46017027875748e-34
dad	Not-organelle-targeted	dad	Plastid-targeted_Non-interacting	-1.62329626923344	0.12297519007147	8911.0604375988	-13.2001932120619	1.70021994003549e-37
mom	Not-organelle-targeted	mom	Plastid-targeted_Interacting	-2.60607024560903	0.193229724201324	8908.20643795966	-13.4869014401417	3.96145611261629e-39
mom	Not-organelle-targeted	mom	Plastid-targeted_Non-interacting	-1.68264453308122	0.122974715266203	8910.92463627412	-13.6828495958604	2.94630430255489e-40
dad	Plastid-targeted_Interacting	mom	Plastid-targeted_Interacting	-0.21023719641166	0.0419834844554316	76519.8482880576	-5.00761666494931	2.70628802652731e-05
dad	Plastid-targeted_Interacting	dad	Plastid-targeted_Non-interacting	0.804365596872722	0.225435355845527	8908.27168243804	3.56805432695256	0.0140997446424465
mom	Plastid-targeted_Interacting	mom	Plastid-targeted_Non-interacting	0.923425712527812	0.225435355845527	8908.27168231466	4.09618850186288	0.00186439357968958
dad	Plastid-targeted_Non-interacting	mom	Plastid-targeted_Non-interacting	-0.0911770807565696	0.026337429664144	76528.9132075089	-3.4618822686672	0.0198580650514457
