Estimate	Std. Error	t value
(Intercept)	5.02581289355739	0.30629430438827	16.4084438448666
Subgenomemom	0.207176027353551	0.067232799905724	3.08147254976827
TargetingDual-targeted_Non-interacting	1.19485337830595	0.318126437052085	3.75590720902684
Targetingitochondria-targeted_Interacting	-0.466861583794952	0.358068091631271	-1.30383464683503
Targetingitochondria-targeted_Non-interacting	-0.50824626278205	0.404585788285295	-1.25621383028822
TargetingNot-organelle-targeted	-0.354347915706365	0.307361153362985	-1.15287150581417
TargetingPlastid-targeted_Interacting	2.0733139503998	0.360789524361102	5.74660241056416
TargetingPlastid-targeted_Non-interacting	1.26894835352708	0.328563745974193	3.86210703120834
Subgenomemom:TargetingDual-targeted_Non-interacting	-0.177449288386645	0.0699142197656229	-2.53810010297644
Subgenomemom:Targetingitochondria-targeted_Interacting	-0.216403779715773	0.0786666171607806	-2.75089723603447
Subgenomemom:Targetingitochondria-targeted_Non-interacting	-0.0881422534732007	0.0895648617199264	-0.984116446791665
Subgenomemom:TargetingNot-organelle-targeted	-0.175347210444753	0.0675436271341678	-2.59605854592981
Subgenomemom:TargetingPlastid-targeted_Interacting	0.00306116905810841	0.0792645087676861	0.0386196685717222
Subgenomemom:TargetingPlastid-targeted_Non-interacting	-0.115998946596982	0.0722074067148021	-1.60646880804269
