Category1	Category2	estimate	SE	df	t.ratio	p.value
Dual-targeted_Interacting	Dual-targeted_Non-interacting	0.398087521019317	15.0342008397675	33273	0.0264787949331048	1
Dual-targeted_Interacting	itochondria-targeted_Interacting	0.551812783341221	16.9162270098841	33273	0.0326203226652609	1
Dual-targeted_Interacting	itochondria-targeted_Non-interacting	-0.314576774738079	19.2616464091115	33273	-0.0163317697800366	1
Dual-targeted_Interacting	Not-organelle-targeted	2.04161753687478	14.5244226049624	33273	0.140564454257703	1
Dual-targeted_Interacting	Plastid-targeted_Interacting	0.326196357273265	17.0447957791383	33273	0.0191375925825117	1
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	0.424522051582054	15.5273199942074	33273	0.027340329930756	1
Dual-targeted_Non-interacting	itochondria-targeted_Interacting	0.153725262321905	9.70285228848205	33273	0.0158433064578739	1
Dual-targeted_Non-interacting	itochondria-targeted_Non-interacting	-0.712664295757395	13.3789995392862	33273	-0.0532673832348019	1
Dual-targeted_Non-interacting	Not-organelle-targeted	1.64353001585547	4.3526380839424	33273	0.377593997975324	1
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.0718911637460514	9.92530450085442	33273	-0.00724321996769596	1
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.0264345305627374	7.00601687727252	33273	0.00377311831041842	1
itochondria-targeted_Interacting	itochondria-targeted_Non-interacting	-0.8663895580793	15.4638019268046	33273	-0.0560269435796071	1
itochondria-targeted_Interacting	Not-organelle-targeted	1.48980475353356	8.8925249310311	33273	0.167534503989388	1
itochondria-targeted_Interacting	Plastid-targeted_Interacting	-0.225616426067956	12.5953646550589	33273	-0.0179126553495485	1
itochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.127290731759167	10.4506370066064	33273	-0.0121801887941089	1
itochondria-targeted_Non-interacting	Not-organelle-targeted	2.35619431161286	12.8034872511019	33273	0.184027543856076	1
itochondria-targeted_Non-interacting	Plastid-targeted_Interacting	0.640773132011344	15.6043422461194	33273	0.0410637707059198	1
itochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.739098826320133	13.9308327096398	33273	0.0530548921033768	1
Not-organelle-targeted	Plastid-targeted_Interacting	-1.71542117960152	9.13473188175718	33273	-0.187791081534353	1
Not-organelle-targeted	Plastid-targeted_Non-interacting	-1.61709548529273	5.83231768695206	33273	-0.277264643678526	1
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.0983256943087888	10.6574922353439	33273	0.00922596912458516	1
