Category1	Category2	estimate	SE	df	t.ratio	p.value
AreNot-organelle-targeted	Dual-targeted_Interacting	0.248521954322704	0.089133083660636	33263.0122598882	2.78821223406701	0.0583328864322945
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.0747780811934426	0.0240649626018902	33263.0429480393	-3.10734250580423	0.0245617462129623
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	0.304732642084131	0.0513789164645723	33263.0654373707	5.93108346872702	5.77430737474632e-08
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	0.161032297991117	0.0735520431907023	33263.0218233259	2.18936539361117	0.228617730163802
AreNot-organelle-targeted	Plastid-targeted_Interacting	-0.138279295709617	0.0503750039871218	33263.0170025976	-2.744998208734	0.0605437001274313
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-0.0463781769783026	0.0320830134056304	33263.0003405265	-1.44556798303003	0.746586689181032
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.323300035516146	0.0916870222574486	33263.0149468687	-3.52612646322344	0.00675604292596522
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.0562106877614278	0.102309157732756	33263.0078074965	0.549419905383809	1
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.0874896563315862	0.115053366790747	33263.0049615428	-0.760426737365344	1
Dual-targeted_Interacting	Plastid-targeted_Interacting	-0.386801250032321	0.101808787127801	33263.0144177774	-3.79929140641631	0.00247126588515955
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.294900131301006	0.0941100791938311	33263.0109446267	-3.13356586060908	0.0241984596456975
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	0.379510723277574	0.055691922740196	33263.0420310426	6.81446616680842	2.02073317817034e-10
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	0.23581037918456	0.0766270440824892	33263.019846607	3.07737799373691	0.0250800022236176
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.0635012145161746	0.0547672333764317	33263.044116532	-1.15947457268312	0.985084472595378
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.02839990421514	0.0386150656508616	33263.0199541328	0.735461761787949	1
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.143700344093014	0.0890637606701353	33263.0032417317	-1.61345470943267	0.746586689181032
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-0.443011937793749	0.0711345507245175	33263.0639098506	-6.22780256965984	9.57345417228147e-09
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.351110819062434	0.0595969300821309	33263.0505269655	-5.8914245847658	6.95807308128157e-08
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-0.299311593700735	0.0884885841490223	33263.0274220135	-3.38248822239791	0.0107872654111195
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.20741047496942	0.0795104004043406	33263.0191647689	-2.60859552856808	0.0818597560103626
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.0919011187313146	0.0587336444013416	33263.0109056907	1.56470996594952	0.746586689181032
