Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	-0.198837570047689	0.00809592721602487	-24.5601973365218	5.06225505598706e-132
TargetingDual-targeted_Interacting	-0.316737043811845	0.105097391588947	-3.01374790585341	0.00258236379208695
TargetingDual-targeted_Non-interacting	0.0343737450743057	0.0247962520405321	1.38624760782872	0.165680599854835
TargetingMitochondria-targeted_Interacting	-0.346101996356764	0.0591446230158777	-5.85179140061221	4.90857293391126e-09
TargetingMitochondria-targeted_Non-interacting	-0.198767758795321	0.0842794885914906	-2.35843574892539	0.018357887587856
TargetingPlastid-targeted_Interacting	0.117402225324938	0.0559844812467206	2.09704944496231	0.0359967281233683
TargetingPlastid-targeted_Non-interacting	-0.0398302540543404	0.0345583474392575	-1.15255088873533	0.249103052945382
dipDelta	0.387876625580344	0.00439075715853318	88.3393482207342	0
TargetingDual-targeted_Interacting:dipDelta	0.112991883536803	0.0474538982739164	2.38108749010637	0.0172672046808712
TargetingDual-targeted_Non-interacting:dipDelta	0.0664642357528988	0.0143462572938827	4.63286238294635	3.62009249322693e-06
TargetingMitochondria-targeted_Interacting:dipDelta	0.0686424759662556	0.0290055074606579	2.36653249591857	0.0179612924795322
TargetingMitochondria-targeted_Non-interacting:dipDelta	0.0626152211411714	0.0413834055167766	1.51305143593819	0.130276093898939
TargetingPlastid-targeted_Interacting:dipDelta	0.0344836578460525	0.034782981837474	0.991394527564653	0.321500182279252
TargetingPlastid-targeted_Non-interacting:dipDelta	0.142039088541238	0.0207718564450964	6.83805460126648	8.16612815111279e-12
