Category1	Category2	estimate	SE	df	t.ratio	p.value
Dual-targeted_Interacting	Dual-targeted_Non-interacting	0.176668144533518	0.0945762692274157	33273	1.86799654899377	0.926570023504076
Dual-targeted_Interacting	itochondria-targeted_Interacting	0.224938038271305	0.106415609120173	33273	2.11376921234634	0.621763287230464
Dual-targeted_Interacting	itochondria-targeted_Non-interacting	0.099381306801122	0.121170035971103	33273	0.820180550452447	1
Dual-targeted_Interacting	Not-organelle-targeted	0.174960659992925	0.091369386194852	33273	1.91487178889227	0.902381513430676
Dual-targeted_Interacting	Plastid-targeted_Interacting	-0.0112783757126258	0.107224401996151	33273	-0.105184785390835	1
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	0.118405804571774	0.0976783542938954	33273	1.21220105956652	1
Dual-targeted_Non-interacting	itochondria-targeted_Interacting	0.0482698937377863	0.0610381343238404	33273	0.790815352934746	1
Dual-targeted_Non-interacting	itochondria-targeted_Non-interacting	-0.0772868377323962	0.084163825926418	33273	-0.918290451766842	1
Dual-targeted_Non-interacting	Not-organelle-targeted	-0.00170748454059341	0.0273813204748171	33273	-0.0623594666357966	1
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.187946520246144	0.0624375236596483	33273	-3.01015333776937	0.0522623004269819
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.0582623399617445	0.0440730402273241	33273	-1.32194964679617	1
itochondria-targeted_Interacting	itochondria-targeted_Non-interacting	-0.125556731470183	0.097278778559374	33273	-1.29068984345388	1
itochondria-targeted_Interacting	Not-organelle-targeted	-0.0499773782783798	0.0559405744909357	33273	-0.893401233955468	1
itochondria-targeted_Interacting	Plastid-targeted_Interacting	-0.23621641398393	0.0792341815391598	33273	-2.98124381921186	0.0545846841879483
itochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.106532233699531	0.0657422545879786	33273	-1.62045300039057	1
itochondria-targeted_Non-interacting	Not-organelle-targeted	0.0755793531918028	0.0805434269646701	33273	0.938367735767628	1
itochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-0.110659682513748	0.0981628813606128	33273	-1.12730678826782	1
itochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.0190244977706518	0.0876352656819608	33273	0.217087237912806	1
Not-organelle-targeted	Plastid-targeted_Interacting	-0.186239035705551	0.0574642357766111	33273	-3.24095558199963	0.0250418374486435
Not-organelle-targeted	Plastid-targeted_Non-interacting	-0.0565548554211511	0.0366896021717325	33273	-1.54144095529942	1
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.1296841802844	0.0670435273335461	33273	1.93432812147863	0.902381513430676
