Estimate	Std. Error	t value
(Intercept)	-0.516204957671688	0.106064347446805	-4.86690363065292
TargetingDual-targeted_Non-interacting	0.351582860914842	0.107346131001981	3.2752262017562
Targetingitochondria-targeted_Interacting	-0.0293494582302972	0.120020426785729	-0.24453719267883
Targetingitochondria-targeted_Non-interacting	0.11801758553772	0.134193675967673	0.879457133033226
TargetingNot-organelle-targeted	0.317175270919118	0.105069769091364	3.01871103041367
TargetingPlastid-targeted_Interacting	0.434424133782675	0.118496634731618	3.66613055945933
TargetingPlastid-targeted_Non-interacting	0.277373392335458	0.110010787846948	2.52132902385312
dipDelta	0.50130518887923	0.0472380132688668	10.6123258407573
TargetingDual-targeted_Non-interacting:dipDelta	-0.0465959788513372	0.0491724847686124	-0.947602690215895
Targetingitochondria-targeted_Interacting:dipDelta	-0.0442538985919452	0.0552544316908258	-0.80091129775013
Targetingitochondria-targeted_Non-interacting:dipDelta	-0.0502947894318469	0.0626406752684044	-0.802909438896412
TargetingNot-organelle-targeted:dipDelta	-0.113106397647276	0.0474414167087117	-2.38412774099359
TargetingPlastid-targeted_Interacting:dipDelta	-0.0784587415719374	0.058495685234794	-1.34127399750963
TargetingPlastid-targeted_Non-interacting:dipDelta	0.02887531758359	0.0514157412390764	0.56160461539052
