Category1	Category2	estimate	SE	df	t.ratio	p.value	model
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.133854677690091	0.0193998168696181	33252	-6.89979078615532	1.11322916085477e-10	Cqm4full
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	0.158590127633845	0.0442001652471917	33252	3.58799852323902	0.00634038746472021	Cqm4full
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	0.215417179706335	0.06497521267112	33252	3.31537475370331	0.0164912841434394	Cqm4full
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.13395544335544	0.032802133649006	33252	4.08374177084969	0.000888398377139184	Cqm4full
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.142623695442228	0.0234456664310294	33252	-6.08315809071954	2.50156368523747e-08	Cqm4Mom
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.336301059855959	0.0962916773542421	33252	-3.49252468226054	0.00814467442404752	Cqm4Mom
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	0.258582399944191	0.0534181501581581	33252	4.84072172433138	2.59896750596105e-05	Cqm4Mom
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	0.304230883136625	0.0785258527341068	33252	3.87427671962721	0.00192864140806551	Cqm4Mom
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.154120825212061	0.0396430486395501	33252	3.88771374808701	0.00192639678095096	Cqm4Mom
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-0.125085659937955	0.0241478909707186	33252	-5.17998280220961	4.68717582187838e-06	Cqm4Dad
