category	category01	category12	category02	category11	category04	category09	category03	category07	category10	category05	category06	category08	all_equal
all	625	654	1475	1154	1941	1588	205	861	153	279	290	995	5429
Dual-targeted_Interacting	0	3	4	11	6	6	0	8	0	1	0	4	20
Dual-targeted_Non-interacting	24	48	63	93	111	102	15	50	10	5	10	23	356
Mitochondria-targeted_Interacting	11	8	18	15	24	30	2	18	1	7	1	9	101
Mitochondria-targeted_Non-interacting	5	2	10	9	16	13	1	8	0	5	2	6	30
mt	0	1	0	9	1	1	0	6	1	0	0	1	9
Not-organelle-targeted	569	552	1344	929	1695	1368	173	699	135	256	264	931	4610
Plastid-targeted_Interacting	2	7	8	22	24	22	1	18	1	0	3	2	84
Plastid-targeted_Non-interacting	14	30	28	44	62	46	13	43	5	5	10	19	205
cp	0	3	0	22	2	0	0	11	0	0	0	0	14
