species	category	direction	sided	DE	nDE	pvalueDE
AD1SA	DI	both	two.sided	34	42	0.48208806186189
AD1SA	DI	both	greater	34	42	0.248485434439962
AD1SA	DI	both	less	34	42	0.818890301595193
AD1SA	DI	up	two.sided	9	67	0.0196116032199808
AD1SA	DI	up	greater	9	67	0.995513422049864
AD1SA	DI	up	less	9	67	0.0109578018392221
AD1SA	DI	down	two.sided	25	51	0.00112603859330229
AD1SA	DI	down	greater	25	51	0.000725815865495045
AD1SA	DI	down	less	25	51	0.999712838475556
AD1SA	DN	both	two.sided	390	701	0.00330223616470346
AD1SA	DN	both	greater	390	701	0.998644058263497
AD1SA	DN	both	less	390	701	0.00167329240427082
AD1SA	DN	up	two.sided	144	947	0.00000000000000235571972107053
AD1SA	DN	up	greater	144	947	0.999999999999999
AD1SA	DN	up	less	144	947	0.00000000000000138854021303272
AD1SA	DN	down	two.sided	246	845	0.00001875486064586
AD1SA	DN	down	greater	246	845	0.00000997739517155958
AD1SA	DN	down	less	246	845	0.99999296576469
AD1SA	MI	both	two.sided	116	208	0.109221425318303
AD1SA	MI	both	greater	116	208	0.95425381424365
AD1SA	MI	both	less	116	208	0.0580257517752084
AD1SA	MI	up	two.sided	51	273	0.00164828085666671
AD1SA	MI	up	greater	51	273	0.999464142092846
AD1SA	MI	up	less	51	273	0.000889155041949882
AD1SA	MI	down	two.sided	65	259	0.207150673068599
AD1SA	MI	down	greater	65	259	0.108754822395914
AD1SA	MI	down	less	65	259	0.915574387185054
AD1SA	MN	both	two.sided	55	79	0.859983196169422
AD1SA	MN	both	greater	55	79	0.460134298031381
AD1SA	MN	both	less	55	79	0.608914412800218
AD1SA	MN	up	two.sided	31	103	1
AD1SA	MN	up	greater	31	103	0.518702189752949
AD1SA	MN	up	less	31	103	0.563066987673024
AD1SA	MN	down	two.sided	24	110	0.818809211704991
AD1SA	MN	down	greater	24	110	0.458170811019876
AD1SA	MN	down	less	24	110	0.630080853411284
AD1SA	PI	both	two.sided	80	166	0.0151795515374919
AD1SA	PI	both	greater	80	166	0.994666119754217
AD1SA	PI	both	less	80	166	0.00778727499579364
AD1SA	NT	both	NA	6561	9733	NA
AD1SA	PI	up	two.sided	20	226	0.00000000135121300368157
AD1SA	PI	up	greater	20	226	0.999999999758898
AD1SA	PI	up	less	20	226	0.000000000835321495765762
AD1SA	NT	up	NA	3747	12547	NA
AD1SA	PI	down	two.sided	60	186	0.00499188240922401
AD1SA	PI	down	greater	60	186	0.00312678890627464
AD1SA	PI	down	less	60	186	0.998072281860463
AD1SA	NT	down	NA	2814	13480	NA
AD1SA	PN	both	two.sided	236	391	0.198190811570848
AD1SA	PN	both	greater	236	391	0.913149802350635
AD1SA	PN	both	less	236	391	0.100837711539576
AD1SA	PN	up	two.sided	83	544	0.00000000178424938978276
AD1SA	PN	up	greater	83	544	0.999999999529961
AD1SA	PN	up	less	83	544	0.000000000934973999746507
AD1SA	PN	down	two.sided	153	474	0.0000105488359640421
AD1SA	PN	down	greater	153	474	0.00000605913259994806
AD1SA	PN	down	less	153	474	0.999996164061318
AD1SA	cp	both	two.sided	50	27	0.0000191751947826124
AD1SA	cp	both	greater	50	27	0.0000112978652783406
AD1SA	cp	both	less	50	27	0.999996081266905
AD1SA	cp	up	two.sided	0	77	0.00000000361424756392549
AD1SA	cp	up	greater	0	77	1
AD1SA	cp	up	less	0	77	0.00000000192865590484686
AD1SA	cp	down	two.sided	50	27	0.0000000000000000000289675042799964
AD1SA	cp	down	greater	50	27	0.0000000000000000000289675042799965
AD1SA	cp	down	less	50	27	1
AD1SA	mt	both	two.sided	20	15	0.0562939213081027
AD1SA	mt	both	greater	20	15	0.032530908663767
AD1SA	mt	both	less	20	15	0.985507503129868
AD1SA	mt	up	two.sided	1	34	0.00201470265071616
AD1SA	mt	up	greater	1	34	0.999892422108996
AD1SA	mt	up	less	1	34	0.00123231430145111
AD1SA	mt	down	two.sided	19	16	0.000000783775905415684
AD1SA	mt	down	greater	19	16	0.000000783775905415684
AD1SA	mt	down	less	19	16	0.999999871766257
AD2SA	DI	both	two.sided	25	51	0.408007018604618
AD2SA	DI	both	greater	25	51	0.845689395471191
AD2SA	DI	both	less	25	51	0.218710463460885
AD2SA	DI	up	two.sided	16	60	0.88795198803687
AD2SA	DI	up	greater	16	60	0.515946820954766
AD2SA	DI	up	less	16	60	0.595643177414571
AD2SA	DI	down	two.sided	9	67	0.284573799270556
AD2SA	DI	down	greater	9	67	0.923319747957853
AD2SA	DI	down	less	9	67	0.137421017350648
AD2SA	DN	both	two.sided	397	694	0.333367725006036
AD2SA	DN	both	greater	397	694	0.849764992356115
AD2SA	DN	both	less	397	694	0.165866540798319
AD2SA	DN	up	two.sided	234	857	0.563041776445752
AD2SA	DN	up	greater	234	857	0.290998977976899
AD2SA	DN	up	less	234	857	0.734668391594296
AD2SA	DN	down	two.sided	163	928	0.0558132798061633
AD2SA	DN	down	greater	163	928	0.976656722767869
AD2SA	DN	down	less	163	928	0.0285063000058223
AD2SA	MI	both	two.sided	117	207	0.525131345122766
AD2SA	MI	both	greater	117	207	0.763137456924759
AD2SA	MI	both	less	117	207	0.274230837126058
AD2SA	MI	up	two.sided	96	228	0.000180622511897402
AD2SA	MI	up	greater	96	228	0.000109357806520624
AD2SA	MI	up	less	96	228	0.999934278399945
AD2SA	MI	down	two.sided	21	303	0.0000000226158504576912
AD2SA	MI	down	greater	21	303	0.999999995765923
AD2SA	MI	down	less	21	303	0.0000000130483614332181
AD2SA	MN	both	two.sided	59	75	0.153094547318731
AD2SA	MN	both	greater	59	75	0.0870125498261512
AD2SA	MN	both	less	59	75	0.937623530204812
AD2SA	MN	up	two.sided	41	93	0.00723356673010129
AD2SA	MN	up	greater	41	93	0.00468675554180671
AD2SA	MN	up	less	41	93	0.997392910859153
AD2SA	MN	down	two.sided	18	116	0.300107004401343
AD2SA	MN	down	greater	18	116	0.900692785889652
AD2SA	MN	down	less	18	116	0.149083064574334
AD2SA	PI	both	two.sided	59	187	0.00000568229069638605
AD2SA	PI	both	greater	59	187	0.999998604475291
AD2SA	PI	both	less	59	187	0.00000277523793523124
AD2SA	NT	both	NA	6177	10117	NA
AD2SA	PI	up	two.sided	40	206	0.0953254150632855
AD2SA	PI	up	greater	40	206	0.966205959564058
AD2SA	PI	up	less	40	206	0.04851207740026
AD2SA	NT	up	NA	3374	12920	NA
AD2SA	PI	down	two.sided	19	227	0.0000250599114821345
AD2SA	PI	down	greater	19	227	0.999994353771983
AD2SA	PI	down	less	19	227	0.0000145798239636429
AD2SA	NT	down	NA	2803	13491	NA
AD2SA	PN	both	two.sided	243	384	0.675068760982568
AD2SA	PN	both	greater	243	384	0.348549294345573
AD2SA	PN	both	less	243	384	0.681851193738955
AD2SA	PN	up	two.sided	143	484	0.209854723627334
AD2SA	PN	up	greater	143	484	0.111721529687032
AD2SA	PN	up	less	143	484	0.905836994508645
AD2SA	PN	down	two.sided	100	527	0.449788573946072
AD2SA	PN	down	greater	100	527	0.807441172115523
AD2SA	PN	down	less	100	527	0.224059607495817
AD2SA	cp	both	two.sided	6	71	0.00000000373406428457812
AD2SA	cp	both	greater	6	71	0.999999999766412
AD2SA	cp	both	less	6	71	0.00000000175817535659912
AD2SA	cp	up	two.sided	0	77	0.0000000359918538373907
AD2SA	cp	up	greater	0	77	1
AD2SA	cp	up	less	0	77	0.0000000182771054986502
AD2SA	cp	down	two.sided	6	71	0.0322934562517325
AD2SA	cp	down	greater	6	71	0.994596657037711
AD2SA	cp	down	less	6	71	0.0148034380093401
AD2SA	mt	both	two.sided	22	13	0.00446957183469798
AD2SA	mt	both	greater	22	13	0.00244436933113309
AD2SA	mt	both	less	22	13	0.999199575617502
AD2SA	mt	up	two.sided	0	35	0.000511291034508074
AD2SA	mt	up	greater	0	35	1
AD2SA	mt	up	less	0	35	0.000300328103413473
AD2SA	mt	down	two.sided	22	13	0.00000000231813071101572
AD2SA	mt	down	greater	22	13	0.00000000231813071101573
AD2SA	mt	down	less	22	13	0.999999999731812
AD1SD	DI	both	two.sided	33	43	0.645165820256122
AD1SD	DI	both	greater	33	43	0.75595633862003
AD1SD	DI	both	less	33	43	0.321953492267388
AD1SD	DI	up	two.sided	14	62	0.186980754694532
AD1SD	DI	up	greater	14	62	0.946182696030249
AD1SD	DI	up	less	14	62	0.0925222771816874
AD1SD	DI	down	two.sided	19	57	0.399191846759647
AD1SD	DI	down	greater	19	57	0.241061065381122
AD1SD	DI	down	less	19	57	0.834734730931472
AD1SD	DN	both	two.sided	461	630	0.00431310060768222
AD1SD	DN	both	greater	461	630	0.998238652200597
AD1SD	DN	both	less	461	630	0.00215202006646809
AD1SD	DN	up	two.sided	221	870	0.0000554271467785004
AD1SD	DN	up	greater	221	870	0.999977837545543
AD1SD	DN	up	less	221	870	0.0000305827502652789
AD1SD	DN	down	two.sided	240	851	0.490778079437686
AD1SD	DN	down	greater	240	851	0.253396450529878
AD1SD	DN	down	less	240	851	0.770266435533981
AD1SD	MI	both	two.sided	139	185	0.177318465260648
AD1SD	MI	both	greater	139	185	0.923916732350433
