species	category	direction	sided	DE	nDE	pvalueDE
AD1A	DI	both	two.sided	22	54	0.466556682446369
AD1A	DI	both	greater	22	54	0.813548388155052
AD1A	DI	both	less	22	54	0.260707547407691
AD1A	DI	up	two.sided	9	67	0.180158041938042
AD1A	DI	up	greater	9	67	0.954885393022969
AD1A	DI	up	less	9	67	0.0866199486250465
AD1A	DI	down	two.sided	13	63	0.517345058430737
AD1A	DI	down	greater	13	63	0.321997572195738
AD1A	DI	down	less	13	63	0.780224421215589
AD1A	DN	both	two.sided	327	758	0.0450487211787374
AD1A	DN	both	greater	327	758	0.980691955543255
AD1A	DN	both	less	327	758	0.0227237382365284
AD1A	DN	up	two.sided	108	977	0.0000000000000651673891628254
AD1A	DN	up	greater	108	977	0.999999999999982
AD1A	DN	up	less	108	977	0.0000000000000368493247262935
AD1A	DN	down	two.sided	219	866	0.00000246182636467595
AD1A	DN	down	greater	219	866	0.00000142717111247792
AD1A	DN	down	less	219	866	0.9999990444609
AD1A	MI	both	two.sided	92	232	0.0737032325671296
AD1A	MI	both	greater	92	232	0.969148956528536
AD1A	MI	both	less	92	232	0.0404128094465802
AD1A	MI	up	two.sided	43	281	0.016540754358763
AD1A	MI	up	greater	43	281	0.994410232209452
AD1A	MI	up	less	43	281	0.0086691567820562
AD1A	MI	down	two.sided	49	275	0.812102826731369
AD1A	MI	down	greater	49	275	0.437227431438988
AD1A	MI	down	less	49	275	0.623697715006865
AD1A	MN	both	two.sided	53	79	0.0947494983333036
AD1A	MN	both	greater	53	79	0.0547094894407871
AD1A	MN	both	less	53	79	0.962552668552223
AD1A	MN	up	two.sided	30	102	0.214961611048847
AD1A	MN	up	greater	30	102	0.125825619491267
AD1A	MN	up	less	30	102	0.913073918246928
AD1A	MN	down	two.sided	23	109	0.386879107870123
AD1A	MN	down	greater	23	109	0.219738986327813
AD1A	MN	down	less	23	109	0.843376410098857
AD1A	PI	both	two.sided	68	178	0.0755873893397597
AD1A	PI	both	greater	68	178	0.971511879316362
AD1A	PI	both	less	68	178	0.0389903633861406
AD1A	NT	both	NA	5203	10505	NA
AD1A	PI	up	two.sided	17	229	0.000000431496643159256
AD1A	PI	up	greater	17	229	0.999999930667703
AD1A	PI	up	less	17	229	0.000000218261448601988
AD1A	NT	up	NA	2896	12812	NA
AD1A	PI	down	two.sided	51	195	0.0109680377056874
AD1A	PI	down	greater	51	195	0.00687462798009433
AD1A	PI	down	less	51	195	0.995719360325491
AD1A	NT	down	NA	2307	13401	NA
AD1A	PN	both	two.sided	204	422	0.795147193967941
AD1A	PN	both	greater	204	422	0.624898531525108
AD1A	PN	both	less	204	422	0.408442124069204
AD1A	PN	up	two.sided	63	563	0.0000000167346078507012
AD1A	PN	up	greater	63	563	0.999999995836705
AD1A	PN	up	less	63	563	0.00000000856874757836879
AD1A	PN	down	two.sided	141	485	0.000000324435267918959
AD1A	PN	down	greater	141	485	0.000000216409197538833
AD1A	PN	down	less	141	485	0.999999874369579
AD2A	DI	both	two.sided	25	51	0.618552838049897
AD2A	DI	both	greater	25	51	0.354569813124776
AD2A	DI	both	less	25	51	0.732090440706619
AD2A	DI	up	two.sided	19	57	0.0389439660943892
AD2A	DI	up	greater	19	57	0.025814851111113
AD2A	DI	up	less	19	57	0.986968677024362
AD2A	DI	down	two.sided	6	70	0.138868814290581
AD2A	DI	down	greater	6	70	0.972672375215103
AD2A	DI	down	less	6	70	0.0622423547673686
AD2A	DN	both	two.sided	336	749	0.657415655296404
AD2A	DN	both	greater	336	749	0.341813953395333
AD2A	DN	both	less	336	749	0.682798913026913
AD2A	DN	up	two.sided	167	918	0.763084140936649
AD2A	DN	up	greater	167	918	0.652999084623127
AD2A	DN	up	less	167	918	0.379501288866506
AD2A	DN	down	two.sided	169	916	0.350573635080281
AD2A	DN	down	greater	169	916	0.184719433102801
AD2A	DN	down	less	169	916	0.83767405043579
AD2A	MI	both	two.sided	103	221	0.582949594122484
AD2A	MI	both	greater	103	221	0.305557779725057
AD2A	MI	both	less	103	221	0.735486430269234
AD2A	MI	up	two.sided	85	239	0.00000242317265641225
AD2A	MI	up	greater	85	239	0.0000014201274004264
AD2A	MI	up	less	85	239	0.999999271347672
AD2A	MI	down	two.sided	18	306	0.000000540681622337006
AD2A	MI	down	greater	18	306	0.999999894577877
AD2A	MI	down	less	18	306	0.000000314863394254191
AD2A	MN	both	two.sided	45	87	0.343447560521641
AD2A	MN	both	greater	45	87	0.19959164887201
AD2A	MN	both	less	45	87	0.848291562095783
AD2A	MN	up	two.sided	27	105	0.15050642812841
AD2A	MN	up	greater	27	105	0.0932610233414382
AD2A	MN	up	less	27	105	0.9387566675979
AD2A	MN	down	two.sided	18	114	0.901207659128226
AD2A	MN	down	greater	18	114	0.65208521811566
AD2A	MN	down	less	18	114	0.444745411797059
AD2A	PI	both	two.sided	49	197	0.000335802172011239
AD2A	PI	both	greater	49	197	0.999907113498277
AD2A	PI	both	less	49	197	0.000168416239595153
AD2A	NT	both	NA	4765	10943	NA
AD2A	PI	up	two.sided	25	221	0.0134168400983921
AD2A	PI	up	greater	25	221	0.995673307969071
AD2A	PI	up	less	25	221	0.00761300866245349
AD2A	NT	up	NA	2482	13226	NA
AD2A	PI	down	two.sided	24	222	0.0352014700086515
AD2A	PI	down	greater	24	222	0.989382672950345
AD2A	PI	down	less	24	222	0.0178478549842606
AD2A	NT	down	NA	2283	13425	NA
AD2A	PN	both	two.sided	202	424	0.308324402852262
AD2A	PN	both	greater	202	424	0.16178623525742
AD2A	PN	both	less	202	424	0.858768978879954
AD2A	PN	up	two.sided	103	523	0.655165075450737
AD2A	PN	up	greater	103	523	0.347169466478273
AD2A	PN	up	less	103	523	0.692690036014776
AD2A	PN	down	two.sided	99	527	0.386209656109379
AD2A	PN	down	greater	99	527	0.201429095300064
AD2A	PN	down	less	99	527	0.828823089200871
