species	category	direction	sided	DE	nDE	pvalueDE
AD1D	DI	both	two.sided	33	43	0.730523240914427
AD1D	DI	both	greater	33	43	0.687455839177914
AD1D	DI	both	less	33	43	0.398459417897305
AD1D	DI	up	two.sided	11	65	0.0444672923454676
AD1D	DI	up	greater	11	65	0.987986345716239
AD1D	DI	up	less	11	65	0.0253517168653562
AD1D	DI	down	two.sided	22	54	0.120088123447646
AD1D	DI	down	greater	22	54	0.068340192365615
AD1D	DI	down	less	22	54	0.959904710292296
AD1D	DN	both	two.sided	486	602	0.571219637150146
AD1D	DN	both	greater	486	602	0.729619957036307
AD1D	DN	both	less	486	602	0.291615234810363
AD1D	DN	up	two.sided	236	852	0.0442567326879343
AD1D	DN	up	greater	236	852	0.98147529179582
AD1D	DN	up	less	236	852	0.0221982310983709
AD1D	DN	down	two.sided	250	838	0.156667399424989
AD1D	DN	down	greater	250	838	0.0845886258940181
AD1D	DN	down	less	250	838	0.92648605827616
AD1D	MI	both	two.sided	132	190	0.113378513341358
AD1D	MI	both	greater	132	190	0.954955450129417
AD1D	MI	both	less	132	190	0.056930734203619
AD1D	MI	up	two.sided	57	265	0.0047129682380681
AD1D	MI	up	greater	57	265	0.998349525492931
AD1D	MI	up	less	57	265	0.00257863843974756
AD1D	MI	down	two.sided	75	247	0.370471564498356
AD1D	MI	down	greater	75	247	0.194387285008689
AD1D	MI	down	less	75	247	0.84049273148579
AD1D	MN	both	two.sided	63	71	0.794001105926444
AD1D	MN	both	greater	63	71	0.401948994181671
AD1D	MN	both	less	63	71	0.663532470073426
AD1D	MN	up	two.sided	33	101	0.919916505081335
AD1D	MN	up	greater	33	101	0.511023824069979
AD1D	MN	up	less	33	101	0.568961320992898
AD1D	MN	down	two.sided	30	104	0.749958282453024
AD1D	MN	down	greater	30	104	0.397597243587824
AD1D	MN	down	less	30	104	0.68042435718284
AD1D	PI	both	two.sided	92	153	0.0138717780874549
AD1D	PI	both	greater	92	153	0.995111334240934
AD1D	PI	both	less	92	153	0.00709815623868525
AD1D	NT	both	NA	7231	8635	NA
AD1D	PI	up	two.sided	47	198	0.0606547860176367
AD1D	PI	up	greater	47	198	0.977802092631343
AD1D	PI	up	less	47	198	0.0320169601640394
AD1D	NT	up	NA	3874	11992	NA
AD1D	PI	down	two.sided	45	200	0.306047710772861
AD1D	PI	down	greater	45	200	0.874159858708445
AD1D	PI	down	less	45	200	0.162759538721401
AD1D	NT	down	NA	3357	12509	NA
AD1D	PN	both	two.sided	265	359	0.129539847468378
AD1D	PN	both	greater	265	359	0.942039873916659
AD1D	PN	both	less	265	359	0.0681361819108704
AD1D	PN	up	two.sided	132	492	0.0635080187873004
AD1D	PN	up	greater	132	492	0.973423232667406
AD1D	PN	up	less	132	492	0.0332117986223778
AD1D	PN	down	two.sided	133	491	0.920440911105928
AD1D	PN	down	greater	133	491	0.479155437659188
AD1D	PN	down	less	133	491	0.560406580984988
AD2D	DI	both	two.sided	28	48	0.558930228573843
AD2D	DI	both	greater	28	48	0.795770005789463
AD2D	DI	both	less	28	48	0.277540779268949
AD2D	DI	up	two.sided	20	56	0.260264748117969
AD2D	DI	up	greater	20	56	0.162316731793764
AD2D	DI	up	less	20	56	0.894727681298611
AD2D	DI	down	two.sided	8	68	0.0428278843662766
AD2D	DI	down	greater	8	68	0.989861709924782
AD2D	DI	down	less	8	68	0.0237302746087856
AD2D	DN	both	two.sided	450	638	0.750034125551177
AD2D	DN	both	greater	450	638	0.386044542955881
AD2D	DN	both	less	450	638	0.638073791587864
AD2D	DN	up	two.sided	297	791	0.00000212062795763766
AD2D	DN	up	greater	297	791	0.00000130908353960708
AD2D	DN	up	less	297	791	0.999999084125872
AD2D	DN	down	two.sided	153	935	0.00000191902480539372
AD2D	DN	down	greater	153	935	0.999999393845659
AD2D	DN	down	less	153	935	0.000000930385713441249
AD2D	MI	both	two.sided	121	201	0.25209279307837
AD2D	MI	both	greater	121	201	0.894066323205517
AD2D	MI	both	less	121	201	0.128631490215611
AD2D	MI	up	two.sided	92	230	0.00150020015557686
AD2D	MI	up	greater	92	230	0.000959542919172192
AD2D	MI	up	less	92	230	0.999383377101166
AD2D	MI	down	two.sided	29	293	0.000000181967023221179
AD2D	MI	down	greater	29	293	0.999999957134636
AD2D	MI	down	less	29	293	0.000000110042531416097
AD2D	MN	both	two.sided	57	77	0.724422897573173
AD2D	MN	both	greater	57	77	0.379045314882264
AD2D	MN	both	less	57	77	0.685687819480829
AD2D	MN	up	two.sided	35	99	0.166176590686343
AD2D	MN	up	greater	35	99	0.0943448296713376
AD2D	MN	up	less	35	99	0.935301945278836
AD2D	MN	down	two.sided	22	112	0.383590950754551
AD2D	MN	down	greater	22	112	0.864150991616743
AD2D	MN	down	less	22	112	0.19182920512836
AD2D	PI	both	two.sided	92	153	0.325899963910382
AD2D	PI	both	greater	92	153	0.867489213326379
AD2D	PI	both	less	92	153	0.162944253850344
AD2D	NT	both	NA	6484	9382	NA
AD2D	PI	up	two.sided	77	168	0.000194477675555723
AD2D	PI	up	greater	77	168	0.000107118619006682
AD2D	PI	up	less	77	168	0.999939888657433
AD2D	NT	up	NA	3339	12527	NA
AD2D	PI	down	two.sided	15	230	0.00000000284965900400193
AD2D	PI	down	greater	15	230	0.999999999640576
AD2D	PI	down	less	15	230	0.00000000140208650064498
AD2D	NT	down	NA	3145	12721	NA
AD2D	PN	both	two.sided	281	343	0.0419887421157353
AD2D	PN	both	greater	281	343	0.0213379546056561
AD2D	PN	both	less	281	343	0.982535512981642
AD2D	PN	up	two.sided	192	432	0.0000000282791386179557
AD2D	PN	up	greater	192	432	0.0000000163258993074094
AD2D	PN	up	less	192	432	0.999999990366098
AD2D	PN	down	two.sided	89	535	0.000462001125197489
AD2D	PN	down	greater	89	535	0.999844913312708
AD2D	PN	down	less	89	535	0.00023664031042847
