baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gohir.D12G149650_Gohir.A12G145000	1364.45187709793	-14.1487401046975	0.933429908003039	-15.1577959773831	0.000000000000000000000000000000000000000000000000000672897636993284	0.0000000000000000000000000000000000000000000000000565968085223806
Gohir.D11G101900_Gohir.A11G097100	642.581806181936	-13.0628938083218	0.93585323805216	-13.9582717430249	0.0000000000000000000000000000000000000000000280144983706679	0.00000000000000000000000000000000000000000167760607718718
Gohir.D12G002300_Gohir.A12G002600	540.307228246105	-12.8124472343155	0.948625299641306	-13.5063309392656	0.0000000000000000000000000000000000000000143496800118106	0.000000000000000000000000000000000000000752246524324942
Gohir.D11G214600_Gohir.A11G208901	472.975067255833	-12.6209595583629	0.933404215553883	-13.5214297814946	0.0000000000000000000000000000000000000000116881829285934	0.00000000000000000000000000000000000000061970812868393
Gohir.D02G039550_Gohir.A02G033000	450.868744623514	-11.973856251003	0.990766904988863	-12.0854422878988	0.00000000000000000000000000000000126089813475356	0.0000000000000000000000000000000432869370788123
Gohir.D02G072201_Gohir.A02G066300	429.63294630387	-11.904274159265	0.98851707965172	-12.0425578923322	0.00000000000000000000000000000000212270054055	0.0000000000000000000000000000000716760051137541
Gohir.D05G275000_Gohir.A05G272800	255.516667334988	-11.7320157182902	0.940119190488657	-12.4792854320867	0.00000000000000000000000000000000000968519214835179	0.000000000000000000000000000000000376501671246011
Gohir.D06G006200_Gohir.A06G003200	252.468534977459	-11.7151205839148	0.947039289893997	-12.3702582447515	0.000000000000000000000000000000000037860219077375	0.00000000000000000000000000000000141243043106401
Gohir.D12G221601_Gohir.A12G219400	346.793926929419	-11.5954951772981	1.04495285073066	-11.0966683034457	0.000000000000000000000000000130207631522592	0.00000000000000000000000000326914791546004
Gohir.D13G033700_Gohir.A13G035300	1039.93409689223	-11.5415764227961	1.4395519875119	-8.01747802296765	0.00000000000000107938388509143	0.0000000000000102583047815777
Gohir.D04G026600_Gohir.A05G390600	213.031992159237	-11.4689032138313	0.931607487422862	-12.3108748788164	0.0000000000000000000000000000000000791603981295349	0.00000000000000000000000000000000289483005333777
Gohir.D02G085000_Gohir.A02G077800	210.400400109506	-11.4511718258808	0.96898571607634	-11.8176889874594	0.0000000000000000000000000000000316265274489827	0.00000000000000000000000000000100208435602051
Gohir.D08G012400_Gohir.A08G001700	305.112605828833	-11.4107173988531	1.71883125070777	-6.63864902046343	0.0000000000316571191715662	0.000000000196901960722911
Gohir.D13G108600_Gohir.A13G105900	62650.9541094504	-11.1380149181801	0.239734228407843	-46.4598442706802	0	0
Gohir.D07G083600_Gohir.A07G078500	151.066696872397	-10.9743803652074	0.934792376959205	-11.7399121299064	0.000000000000000000000000000000079569078326657	0.00000000000000000000000000000244575784942934
Gohir.D13G066200_Gohir.A13G055800	123.446670242083	-10.6802321906504	0.952776861227124	-11.2095839280719	0.0000000000000000000000000000365909350743628	0.000000000000000000000000000941694941051473
