species	category	direction	sided	DE	nDE
AD1A	DI	both	less_notSig	22	54
AD1A	DI	down	greater_notSig	13	63
AD1A	DI	up	less_notSig	9	67
AD1A	DN	both	less_SIGNIF	327	758
AD1A	DN	down	greater_SIGNIF	219	866
AD1A	DN	up	less_SIGNIF	108	977
AD1A	MI	both	less_SIGNIF	92	232
AD1A	MI	down	greater_notSig	49	275
AD1A	MI	up	less_SIGNIF	43	281
AD1A	MN	both	greater_notSig	53	79
AD1A	MN	down	greater_notSig	23	109
AD1A	MN	up	greater_notSig	30	102
AD1A	NT	both	NA_notSig	5203	10505
AD1A	NT	down	NA_notSig	2307	13401
AD1A	NT	up	NA_notSig	2896	12812
AD1A	PI	both	less_SIGNIF	68	178
AD1A	PI	down	greater_SIGNIF	51	195
AD1A	PI	up	less_SIGNIF	17	229
AD1A	PN	both	less_notSig	204	422
AD1A	PN	down	greater_SIGNIF	141	485
AD1A	PN	up	less_SIGNIF	63	563
AD1D	DI	both	less_notSig	33	43
AD1D	DI	down	greater_notSig	22	54
AD1D	DI	up	less_SIGNIF	11	65
AD1D	DN	both	less_notSig	486	602
AD1D	DN	down	greater_notSig	250	838
AD1D	DN	up	less_SIGNIF	236	852
AD1D	MI	both	less_notSig	132	190
AD1D	MI	down	greater_notSig	75	247
AD1D	MI	up	less_SIGNIF	57	265
AD1D	MN	both	greater_notSig	63	71
AD1D	MN	down	greater_notSig	30	104
AD1D	MN	up	greater_notSig	33	101
AD1D	NT	both	NA_notSig	7231	8635
AD1D	NT	down	NA_notSig	3357	12509
AD1D	NT	up	NA_notSig	3874	11992
AD1D	PI	both	less_SIGNIF	92	153
AD1D	PI	down	less_notSig	45	200
AD1D	PI	up	less_SIGNIF	47	198
AD1D	PN	both	less_notSig	265	359
AD1D	PN	down	greater_notSig	133	491
AD1D	PN	up	less_SIGNIF	132	492
AD1SA	cp	both	greater_SIGNIF	50	27
AD1SA	cp	down	two.sided_SIGNIF	50	27
AD1SA	cp	up	less_SIGNIF	0	77
AD1SA	DI	both	greater_notSig	34	42
AD1SA	DI	down	greater_SIGNIF	25	51
AD1SA	DI	up	less_SIGNIF	9	67
AD1SA	DN	both	less_SIGNIF	390	701
AD1SA	DN	down	greater_SIGNIF	246	845
AD1SA	DN	up	less_SIGNIF	144	947
AD1SA	MI	both	less_notSig	116	208
AD1SA	MI	down	greater_notSig	65	259
AD1SA	MI	up	less_SIGNIF	51	273
AD1SA	MN	both	greater_notSig	55	79
AD1SA	MN	down	greater_notSig	24	110
AD1SA	MN	up	greater_notSig	31	103
AD1SA	mt	both	greater_SIGNIF	20	15
AD1SA	mt	down	two.sided_SIGNIF	19	16
AD1SA	mt	down	greater_SIGNIF	19	16
AD1SA	mt	up	less_SIGNIF	1	34
AD1SA	NT	both	NA_notSig	6561	9733
AD1SA	NT	down	NA_notSig	2814	13480
AD1SA	NT	up	NA_notSig	3747	12547
AD1SA	PI	both	less_SIGNIF	80	166
AD1SA	PI	down	greater_SIGNIF	60	186
AD1SA	PI	up	less_SIGNIF	20	226
AD1SA	PN	both	less_notSig	236	391
AD1SA	PN	down	greater_SIGNIF	153	474
AD1SA	PN	up	less_SIGNIF	83	544
AD1SD	cp	both	less_SIGNIF	16	61
AD1SD	cp	down	less_notSig	11	66
AD1SD	cp	up	less_SIGNIF	5	72
AD1SD	DI	both	less_notSig	33	43
AD1SD	DI	down	greater_notSig	19	57
AD1SD	DI	up	less_notSig	14	62
AD1SD	DN	both	less_SIGNIF	461	630
AD1SD	DN	down	greater_notSig	240	851
AD1SD	DN	up	less_SIGNIF	221	870
AD1SD	MI	both	less_notSig	139	185
AD1SD	MI	down	greater_SIGNIF	83	241
AD1SD	MI	up	less_SIGNIF	56	268
AD1SD	MN	both	greater_notSig	68	66
AD1SD	MN	down	greater_notSig	34	100
AD1SD	MN	up	less_notSig	34	100
AD1SD	mt	both	less_notSig	15	20
AD1SD	mt	down	greater_notSig	11	24
AD1SD	mt	up	less_SIGNIF	4	31
