Category1	Category2	estimate	SE	df	t.ratio	p.value	model
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.758682579770531	0.130930456381746	88386	-5.79454620977176	4.81164635717208e-08	AD1m5full
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.530926211853	0.0359219329436757	88386	-42.6181468088991	0	AD1m5full
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	0.318244915936556	0.0642104522632922	88386	4.95627899693972	2.87954354524062e-06	AD1m5full
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.402124893634337	0.100543194388128	88386	-3.99952374779352	0.000190564967096545	AD1m5full
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.37583469269877	0.0739508626071351	88386	-32.127207296018	7.35585073088409e-224	AD1m5full
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.46321984301964	0.0469151257502676	88386	-31.1886586600761	4.1336239476835e-211	AD1m5full
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.772243632082469	0.135139406447179	88386	-5.71442225761372	6.62579546580832e-08	AD1m5full
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	1.07692749570709	0.145242060328068	88386	7.41470820005281	1.10679249381503e-12	AD1m5full
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.61715211292824	0.149803217551645	88386	-10.7951760940697	5.28089947740109e-26	AD1m5full
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.704537263249111	0.138467696350627	88386	-5.08809839274777	1.81205079594655e-06	AD1m5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	1.84917112778956	0.0724075752005286	88386	25.5383656015049	4.17744309099915e-142	AD1m5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	1.12880131821866	0.1059660733647	88386	10.6524784997336	2.29044634014087e-25	AD1m5full
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.844908480845773	0.0811702214294375	88386	-10.4090941969434	2.56410092168401e-24	AD1m5full
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.720369809570892	0.118580797845938	88386	-6.07492800399952	9.96381660439514e-09	AD1m5full
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-2.69407960863533	0.0970628752940577	88386	-27.7560251586763	1.41406862287165e-167	AD1m5full
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-1.7814647589562	0.0784442522060971	88386	-22.709946348596	1.21301342690971e-112	AD1m5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-1.97370979906444	0.124125555460035	88386	-15.900914132867	1.12357019400427e-55	AD1m5full
