Category1	Category2	estimate	SE	df	t.ratio	p.value	model
AreNot-organelle-targeted	Dual-targeted_Interacting	-1.05174555511118	0.133079067749233	88386	-7.90316293087532	2.47523303321722e-14	AD2m5full
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.71039122402607	0.0365114235450057	88386	-46.8453721591479	0	AD2m5full
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	-0.00894221953834552	0.0652641666660141	88386	-0.137015762173243	1	AD2m5full
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.498595443827565	0.102193140904437	88386	-4.87895214311706	7.47852939528724e-06	AD2m5full
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.68467131959788	0.075164420311157	88386	-35.7173155661173	4.09743381855031e-276	AD2m5full
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.67683463156766	0.0476850182205131	88386	-35.164810545177	9.58987184204794e-268	AD2m5full
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.658645668914889	0.137357088053981	88386	-4.79513418816832	9.76980304835079e-06	AD2m5full
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	1.04280333557284	0.147625529770412	88386	7.06384144527445	1.30521094037314e-11	AD2m5full
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.553150111283617	0.167264232988706	88386	3.30704360041495	0.00282971404957288	AD2m5full
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.63292576448669	0.152261537067306	88386	-10.7244797073398	8.92693558361771e-26	AD2m5full
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.625089076456476	0.140739996277095	88386	-4.44144587886568	4.47323082964679e-05	AD2m5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	1.70144900448772	0.0735958070563349	88386	23.1188307125341	1.14156625167653e-116	AD2m5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	1.21179578019851	0.107705011088521	88386	11.2510622110474	2.87507678269381e-28	AD2m5full
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.974280095571805	0.0825022511594512	88386	-11.8091334706592	5.18310131998648e-31	AD2m5full
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.0335565924584128	0.0585729658490625	88386	0.572902395703938	1	AD2m5full
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.489653224289219	0.120526747300774	88386	-4.06261045996117	0.000194275259082343	AD2m5full
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-2.67572910005953	0.0986557086422417	88386	-27.1218881997251	4.50101002176278e-160	AD2m5full
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-1.66789241202931	0.0797315478946773	88386	-20.9188515220166	9.9263285449946e-96	AD2m5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-2.18607587577031	0.12616249619046	88386	-17.3274621363715	5.65702465319992e-66	AD2m5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-1.17823918774009	0.111987259663708	88386	-10.5211895645833	7.14726519342061e-25	AD2m5full
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	1.00783668803022	0.0880193067445151	88386	11.4501775270233	3.20483303530841e-29	AD2m5full
AreNot-organelle-targeted	Dual-targeted_Interacting	-1.10517046658143	0.137092908045529	88386	-8.06147073789116	6.86837126665117e-15	AD2m5Mom
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.64401921528767	0.0376126562601027	88386	-43.7092026662192	0	AD2m5Mom
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	-0.00327375304809598	0.0672326200561584	88386	-0.0486929268167961	1	AD2m5Mom
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.473613493836645	0.105275420889597	88386	-4.49880408773978	4.78965912830956e-05	AD2m5Mom
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.57320950139112	0.0774314784157504	88386	-33.2320853745664	2.28208724762145e-239	AD2m5Mom
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.61925095872878	0.0491232612958535	88386	-32.9630182527287	1.44471354315858e-235	AD2m5Mom
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.538848748706238	0.141499959088002	88386	-3.80811946645945	0.00084073305148759	AD2m5Mom
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	1.10189671353334	0.152078110556979	88386	7.24559707835459	3.47227325348975e-12	AD2m5Mom
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.631556972744787	0.172309142979841	88386	3.66525514446249	0.000988946518030543	AD2m5Mom
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.46803903480969	0.156853945951686	88386	-9.35927385124162	8.2087346949996e-20	AD2m5Mom
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.514080492147349	0.144984900287259	88386	-3.54575194471149	0.00117509036936142	AD2m5Mom
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	1.64074546223957	0.0758155537151991	88386	21.6412778359838	2.32286623794303e-102	AD2m5Mom
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	1.17040572145103	0.110953536351974	88386	10.5486112469475	6.94496477536949e-25	AD2m5Mom
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.929190286103447	0.0849906279255322	88386	-10.9328558781516	1.17103240565513e-26	AD2m5Mom
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.0247682565588887	0.0603396037927663	88386	0.410480927981466	1	AD2m5Mom
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.470339740788549	0.124161993048128	88386	-3.78811365089987	0.00084073305148759	AD2m5Mom
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-2.56993574834302	0.10163129500233	88386	-25.2868542931005	2.54490506991898e-139	AD2m5Mom
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-1.61597720568069	0.0821363565940344	88386	-19.6743229513793	8.75741609942728e-85	AD2m5Mom
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-2.09959600755447	0.129967723561339	88386	-16.1547494256414	1.91433964074643e-57	AD2m5Mom
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-1.14563746489214	0.115364943195103	88386	-9.93055111165493	3.4680203504195e-22	AD2m5Mom
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.953958542662336	0.0906740851874246	88386	10.5207407462727	8.61762317974847e-25	AD2m5Mom
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.998320643640931	0.137090891711552	88386	-7.28218068448675	2.98068584563406e-12	AD2m5Dad
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.77676323276447	0.0376121030609779	88386	-47.2391354953997	0	AD2m5Dad
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	-0.0146106860285951	0.0672316312127669	88386	-0.217318630606431	0.965627676197008	AD2m5Dad
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.523577393818485	0.105273872520604	88386	-4.97347899609195	3.29424320458709e-06	AD2m5Dad
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.79613313780463	0.0774303395696716	88386	-36.111595962829	3.51972499550438e-282	AD2m5Dad
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.73441830440653	0.049122538801144	88386	-35.3079939827162	6.59624003732914e-270	AD2m5Dad
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.778442589123539	0.141497877936036	88386	-5.50144355857714	2.6441454684908e-07	AD2m5Dad
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.983709957612336	0.152075873823762	88386	6.46854713294196	7.95712126827408e-10	AD2m5Dad
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.474743249822446	0.172306608692807	88386	2.75522368772769	0.0175992075255916	AD2m5Dad
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.7978124941637	0.156851638976475	88386	-11.4618661678973	2.58546840001217e-29	AD2m5Dad
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.736097660765602	0.144982767879502	88386	-5.07713896990425	2.30361869453485e-06	AD2m5Dad
