target_id	length	eff_length	Atha_2	Atha_2_tpm
AsAa_g4533	951	764.867	0	0
AsAa_g14924	1365	1178.81	0	0
AsAa_g1957	336	155.923	0	0
AsAt_g4674	483	297.656	0	0
AsAt_g3881	1191	1004.81	12	0.150572
AsAt_g9241	1512	1325.81	244	2.32036
AsAa_g6256	615	429.088	0	0
AsAa_g8827	810	623.949	0	0
AsAa_g19432	1608	1421.81	0	0
AsAt_g2836	954	767.848	1772.42	29.1029
AsAa_g15154	3399	3212.81	64.1157	0.251609
AsAa_g21159	6696	6509.81	1.00349	0.00194353
AsAt_g3991	1023	836.809	120	1.80801
AsAt_g18765	2532	2345.81	52	0.279484
AsAa_g3609	3063	2876.81	0	0
AsAt_g6980	912	725.867	159	2.76176
AsAt_g6975	528	342.334	223.022	8.21381
AsAt_g19236	1476	1289.81	36	0.351903
AsAa_g17505	561	375.219	0	0
AsAa_g19950	1110	923.809	0	0
AsAa_g8775	1719	1532.81	0	0
AsAa_g11249	3069	2882.81	0	0
AsAa_g12630	357	175.379	0	0
AsAt_g21169	1260	1073.81	136	1.59683
AsAa_g11675	627	441.077	0	0
AsAt_g16594	681	495.03	0	0
AsAa_g18410	1011	824.809	0	0
AsAa_g1716	252	83.4699	0	0
AsAa_g22302	705	519.005	1	0.0242927
AsAt_g6206	1359	1172.81	0	0
AsAt_g7191	1179	992.809	327	4.15268
AsAa_g7521	4428	4241.81	19.3142	0.0574081
AsAa_g15170	1116	929.809	8	0.108478
AsAa_g19143	429	244.532	0	0
AsAa_g4195	1818	1631.81	0	0
AsAa_g20036	846	659.9	0	0
AsAa_g10983_AsAa_g15737	519	333.359	0	0
AsAt_g5510	3522	3335.81	355.86	1.34501
AsAa_g14895	216	58.3287	0	0
AsAt_g21848	720	533.978	10	0.236114
AsAt_g18677	1701	1514.81	322	2.68006
AsAt_g19953	1332	1145.81	12	0.132043
AsAa_g17490	3687	3500.81	0	0
AsAa_g84	5475	5288.81	0	0
AsAt_g11411	366	183.831	4	0.274339
AsAt_g6292	354	172.649	0	0
AsAa_g6789	252	83.4699	0	0
AsAt_g2363	405	221.245	225	12.822
AsAa_g17880	984	797.809	1.00086	0.0158169
AsAa_g17894	1323	1136.81	336	3.72647
AsAa_g900	495	309.512	0	0
AsAa_g3495	660	474.054	1.11371	0.0296203
AsAt_g9233	1317	1130.81	179	1.99577
AsAa_g6223	1698	1511.81	10.6851	0.0891107
AsAt_g16355	1977	1790.81	0	0
AsAa_g10872	1359	1172.81	0	0
AsAt_g9569	819	632.949	125	2.48993
AsAa_g1318	2523	2336.81	0	0
AsAa_g12803	3264	3077.81	0	0
AsAt_g20899	702	516.005	33	0.806318
AsAt_g20312	1725	1538.81	349.015	2.85961
AsAt_g14467	1035	848.809	2	0.0297075
AsAt_g11911	1152	965.809	0	0
AsAa_g7152	573	387.181	0	0
AsAt_g2215	1269	1082.81	382	4.44793
AsAa_g800	786	599.964	1.01808	0.0213945
AsAt_g2808	456	271.017	1	0.0465211
AsAa_g18075	2220	2033.81	2.10714	0.0130626
AsAa_g6253	1254	1067.81	0	0
AsAa_g15427	306	128.559	0	0
AsAa_g20216	1104	917.809	0	0
AsAa_g20974	402	218.317	0	0
AsAt_g14278	501	315.481	0	0
AsAa_g14203	1326	1139.81	0	0
AsAa_g20322	1341	1154.81	0	0
AsAt_g14938	1368	1181.81	472.887	5.04495
AsAa_g10734	1878	1691.81	0	0
AsAa_g10003	777	590.964	0	0
AsAt_g8581	888	701.867	0	0
AsAt_g6183	891	704.867	4968	88.863
AsAa_g14859	2433	2246.81	0	0
AsAt_g9736	672	486.03	0	0
AsAt_g21764	489	303.573	81	3.36409
AsAa_g8375	1140	953.809	0	0
AsAa_g1855	1068	881.809	0	0
AsAa_g10891	1887	1700.81	0	0
AsAa_g10276	975	788.809	0	0
AsAt_g18062	651	465.066	20	0.542203
AsAa_g988	1521	1334.81	0	0
AsAa_g1637	1530	1343.81	0	0
AsAt_g20729	1044	857.809	29	0.42624
AsAt_g16311	903	716.867	0	0
AsAt_g4399	789	602.964	26	0.543661
AsAt_g91	1626	1439.81	1	0.00875672
AsAa_g7509	855	668.867	0	0
AsAa_g7623	690	504.03	0	0
AsAt_g22101	327	147.608	57	4.8687
AsAt_g11858	1938	1751.81	119	0.856459
AsAt_g18390	879	692.867	16	0.29115
AsAa_g20616	1728	1541.81	0	0
AsAt_g21009	1146	959.809	110	1.44495
AsAt_g11880	312	133.923	8836	831.855
AsAa_g3195	435	250.408	0	0
AsAt_g10906	480	294.708	0	0
AsAt_g18345	798	611.964	101787	2097.06
AsAt_g6609	2364	2177.81	735.151	4.25602
AsAt_g14039	1572	1385.81	169	1.53755
AsAa_g23141	1077	890.809	0	0
AsAa_g5126	1350	1163.81	0	0
AsAt_g3187	660	474.054	171	4.54794
AsAa_g20743	915	728.867	0	0
AsAt_g11001	465	279.823	0	0
AsAt_g4992	3612	3425.81	52	0.191376
AsAa_g11028	2586	2399.81	0	0
AsAt_g11504	486	300.611	50	2.09706
AsAa_g8049	1014	827.809	0	0
AsAa_g16394	1893	1706.81	0	0
AsAa_g23326	300	123.182	0	0
AsAt_g15254	942	755.867	2	0.0333604
AsAa_g18351	864	677.867	0	0
AsAa_g11062	2184	1997.81	0	0
AsAa_g127	1275	1088.81	3.02956	0.0350811
AsAa_g6731	1275	1088.81	0	0
AsAt_g1069	660	474.054	1	0.0265961
AsAa_g12182	2025	1838.81	0	0
AsAt_g10655	705	519.005	426	10.3487
AsAa_g16363	693	507.018	0	0
AsAt_g20679	726	539.978	177	4.13279
AsAa_g10454	573	387.181	6	0.195382
AsAa_g8264	618	432.077	0	0
AsAa_g22179	3636	3449.81	3	0.0109641
AsAa_g16662	1950	1763.81	1.01012	0.00722054
AsAa_g13226	2199	2012.81	1	0.00626389
AsAa_g8806	318	139.328	0	0
AsAa_g1451	516	330.368	0	0
AsAt_g13717	882	695.867	1349	24.4417
AsAa_g13605	1275	1088.81	0	0
AsAt_g12005	414	229.972	0	0
AsAa_g21890	879	692.867	348	6.33251
AsAt_g972	873	686.867	2806	51.5064
AsAa_g14435	753	566.978	1	0.0222372
AsAt_g8577	675	489.03	0	0
AsAt_g20981	1284	1097.81	218.993	2.51507
AsAa_g8019	3267	3080.81	0	0
AsAa_g3580	441	256.293	0	0
AsAt_g5553	276	102.409	43	5.29393
AsAa_g23290	1191	1004.81	0	0
AsAa_g18000	1491	1304.81	0	0
AsAa_g19344	3567	3380.81	0	0
AsAa_g13255	1020	833.809	0	0
AsAt_g3092	1755	1568.81	107	0.859924
AsAt_g4830	999	812.809	4	0.0620466
AsAt_g7561	1023	836.809	244	3.67629
AsAt_g8953	1839	1652.81	2	0.0152565
AsAa_g7558	2187	2000.81	0	0
AsAa_g20927	843	656.9	0	0
AsAa_g22678	1380	1193.81	0	0
AsAt_g12804	960	773.848	8	0.130341
AsAt_g1780	3663	3476.81	240	0.870316
AsAa_g2069	3099	2912.81	0	0
AsAt_g9353	1086	899.809	585.915	8.20977
AsAt_g18258	1302	1115.81	380	4.29378
AsAa_g806	1611	1424.81	382.737	3.38681
AsAa_g10877	1515	1328.81	0	0
AsAt_g7385	1125	938.809	303	4.06923
AsAa_g14738	1557	1370.81	0	0
AsAt_g11489	1059	872.809	0	0
AsAa_g12175	1203	1016.81	0	0
AsAa_g20820	1464	1277.81	0	0
