target_id	length	eff_length	Aipa_3	Aipa_3_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2150.65	1310.5	8.45117
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	761.676	4	0.0728346
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	85.4394	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	680.699	136	2.77097
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	635.765	0	0
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	52.491	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1331.65	79.547	0.82848
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	641.765	33	0.713158
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1124.65	34	0.419286
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1424.65	1.4083	0.01371
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	366.139	15	0.568189
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	734.676	0	0
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1286.65	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	172.135	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1391.65	1.22244	0.0121828
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	443.944	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1274.65	38.2355	0.41603
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2069.65	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1421.65	2.76705	0.0269943
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	235.416	0	0
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1526.65	133.781	1.21535
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	806.676	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	569.765	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	128.295	46	4.97275
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	300.474	1.59391	0.0735707
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	944.649	0	0
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1142.65	151.155	1.83467
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1118.65	0	0
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	500.836	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	920.649	13.2467	0.199555
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2672.65	28.1634	0.146148
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	279.635	0	0
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1241.65	0	0
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	590.765	0	0
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4238.65	669.785	2.19157
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	369.127	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1256.65	250.301	2.76246
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	253.033	89	4.87822
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	494.836	270	7.56747
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1016.65	0	0
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	809.649	2	0.0342595
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	85.4394	13.9317	2.26148
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	617.765	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	680.699	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	149.733	3	0.277877
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	995.649	199	2.77201
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	258.93	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	488.836	0	0
