target_id	length	eff_length	Cs_3	Cs_3_tpm
AUR62003775	1152	980.251	6	0.111529
AUR62039511	429	258.528	15.6537	1.10328
AUR62009679	621	449.583	453.866	18.3946
AUR62005977	984	812.251	0	0
AUR62036206	984	812.251	0	0
AUR62011627	2139	1967.25	18.6444	0.172688
AUR62012836	1632	1460.25	5	0.0623901
AUR62016937	414	243.709	0	0
AUR62032931	936	764.251	0	0
AUR62001032	261	100.331	1	0.181609
AUR62010506	1254	1082.25	3	0.0505087
AUR62017663	2118	1946.25	810	7.58332
AUR62026012	504	332.842	0	0
AUR62026976	471	300.039	0	0
AUR62013354	765	593.353	24	0.737007
AUR62017101	228	73.2872	16	3.97801
AUR62013408	348	179.846	0	0
AUR62026758	1770	1598.25	11.1752	0.127404
AUR62033650	1269	1097.25	0	0
AUR62044042	303	137.66	0	0
AUR62008361	3486	3314.25	40	0.219912
AUR62011815	735	563.44	6.8378	0.221127
AUR62007629	1611	1439.25	2.16621	0.0274245
AUR62018235	1104	932.251	75.4081	1.47387
AUR62030665	966	794.251	1.7531	0.0402182
AUR62037129	2730	2558.25	96.6213	0.688182
AUR62044095	2046	1874.25	0	0
AUR62014261	522	350.817	0	0
AUR62032708	738	566.44	0	0
AUR62034389	3978	3806.25	53	0.253718
AUR62030379	531	359.772	0	0
AUR62031825	573	401.668	0	0
AUR62024569	1353	1181.25	0	0
AUR62033990	1713	1541.25	5	0.0591112
AUR62013676	474	303.016	0	0
AUR62031509	2433	2261.25	5	0.0402898
AUR62002554	1116	944.251	1.05648	0.0203868
AUR62018017	255	95.3474	43	8.21737
AUR62015496	768	596.353	0	0
AUR62004713	183	42.1856	96	41.4648
AUR62029199	474	303.016	1	0.0601323
AUR62005702	1302	1130.25	1.04966	0.0169219
AUR62002847	2241	2069.25	197	1.73471
AUR62003148	1197	1025.25	0	0
AUR62012766	2391	2219.25	4.20595	0.0345328
AUR62035298	2655	2483.25	723.595	5.30943
AUR62012758	918	746.251	28.3241	0.691583
AUR62030796	1305	1133.25	1	0.0160786
AUR62007551	777	605.353	2.31091	0.069558
AUR62013998	864	692.287	109.368	2.87857
AUR62017050	384	214.448	0	0
AUR62004427	1023	851.251	26	0.556531
AUR62000177	909	737.251	0	0
AUR62025910	813	641.337	15.0237	0.426838
AUR62003412	531	359.772	3	0.151938
AUR62004651	2100	1928.25	137	1.29458
AUR62026425	1088	916.251	74	1.4716
AUR62012423	1962	1790.25	61	0.620854
AUR62035144	588	416.638	32.8418	1.43629
AUR62000097	1566	1394.25	0	0
AUR62009178	579	407.648	60.8549	2.72009
AUR62003314	1758	1586.25	60.8855	0.699383
AUR62040559	3753	3581.25	313.837	1.59677
AUR62035375	3351	3179.25	1.07609	0.00616735
AUR62019552	654	482.583	2.15181	0.0812465
AUR62024206	1506	1334.25	236.475	3.22939
AUR62027493	936	764.251	22.5135	0.536759
AUR62031805	864	692.287	26.5957	0.700003
AUR62031177	2034	1862.25	0	0
AUR62006343	1650	1478.25	0	0
AUR62039498	549	377.726	0	0
AUR62017783	1857	1685.25	6.78947	0.0734083
AUR62001907	327	160.003	0	0
AUR62026287	594	422.638	36.6229	1.57891
AUR62012020	843	671.321	7	0.189995
AUR62001009	1338	1166.25	0	0
AUR62003673	651	479.583	17	0.64589
AUR62032751	1878	1706.25	0	0
AUR62012508	1329	1157.25	0	0
AUR62025098	360	191.377	0	0
AUR62031213	630	458.583	0	0
AUR62040512	1413	1241.25	0	0
AUR62026943	630	458.583	0	0
AUR62036635	642	470.583	0	0
AUR62021212	1275	1103.25	53.4737	0.883159
AUR62025691	1275	1103.25	2209.1	36.485
AUR62044300_AUR62036674	1074	902.251	71.829	1.45059
AUR62017670	1116	944.251	22.5514	0.43517
AUR62011514	1395	1223.25	0	0
AUR62037899	1920	1748.25	37	0.38563
AUR62039224	603	431.638	19	0.802061
AUR62036065	1110	938.251	0	0
AUR62000005	2289	2117.25	0	0
AUR62022200	4428	4256.25	1749	7.48749
AUR62033290	1422	1250.25	0	0
AUR62013253	1698	1526.25	9	0.107446
AUR62038293	2121	1949.25	0	0
AUR62025411	2073	1901.25	18.4895	0.177198
AUR62030875	2538	2366.25	2	0.0154008
AUR62037720	1626	1454.25	1.10878	0.0138924
AUR62031228	1554	1382.25	11.5161	0.151807
AUR62020574	1692	1520.25	0	0
AUR62020710	963	791.251	0	0
AUR62030580	708	536.495	27	0.917005
AUR62037464	441	270.396	0	0
AUR62003048	2412	2240.25	37	0.300939
AUR62023455	3849	3677.25	5.07247	0.0251345
AUR62016429	2685	2513.25	637.698	4.62331
AUR62009276	1899	1727.25	69.5888	0.734104
AUR62027030	7311	7139.25	169.824	0.433432
AUR62009392	1371	1199.25	426.976	6.48734
AUR62009070	1374	1202.25	0	0
AUR62019274	1866	1694.25	80.1408	0.861885
AUR62036947	4476	4304.25	698.725	2.95789
AUR62016493	1338	1166.25	83.9652	1.31184
AUR62024924	597	425.638	2	0.0856176
AUR62036698	696	524.495	346	12.0201
AUR62004533	944	772.251	36	0.84941
AUR62005346	1128	956.251	0	0
AUR62035326	741	569.426	20	0.63998
AUR62032536	1386	1214.25	25.3191	0.379938
AUR62028983	930	758.251	0	0
AUR62011017	768	596.353	0	0
AUR62011357	1326	1154.25	14.5209	0.229227
AUR62022291	1995	1823.25	27.8304	0.278129
AUR62008916	522	350.817	37	1.92174
AUR62006787	939	767.251	1.83655	0.0436152
AUR62028451	2343	2171.25	10.2983	0.0864233
AUR62015503	1758	1586.25	185.997	2.13653
AUR62011460	912	740.251	6	0.147688
AUR62000712	1635	1463.25	2.46851	0.030739
AUR62004045	1458	1286.25	129.631	1.83636
AUR62030297	1770	1598.25	35	0.399022
AUR62032554	1230	1058.25	94.6511	1.62971
AUR62038709	1905	1733.25	1256.6	13.2102
AUR62025804	726	554.454	0	0
AUR62008405	687	515.534	1	0.035344
AUR62019207	585	413.638	566.973	24.9756
AUR62044482	435	264.43	0	0
AUR62027833	1416	1244.25	173.925	2.54699
AUR62011420	207	57.7084	239	75.4627
AUR62044439	1227	1055.25	0	0
AUR62040388	3144	2972.25	645.483	3.95706
AUR62043759	1725	1553.25	79.3482	0.930826
AUR62013994	1161	989.251	1	0.018419
AUR62027445	1050	878.251	2.77166	0.0575035
AUR62041086	834	662.321	0	0
AUR62026685	330	162.798	1.30894	0.146502
AUR62007084	267	105.534	0	0
AUR62008178	1266	1094.25	47	0.782626
AUR62039084	840	668.321	169.972	4.63411
AUR62032983	558	386.688	0	0
AUR62009381	204	55.6457	58	18.9919
AUR62023698	2367	2195.25	59	0.489713
AUR62012074	876	704.269	0	0
AUR62016998	693	521.534	0	0
AUR62012625	3477	3305.25	20	0.110255
AUR62039951	351	182.749	87	8.67435
AUR62025732	1611	1439.25	52.8242	0.66876
AUR62030708	798	626.353	0	0
AUR62018084	492	320.883	35	1.98744
AUR62026706	1482	1310.25	8	0.111252
AUR62038318	555	383.698	13	0.617345
AUR62005211	507	335.834	7139	387.335
AUR62019339	729	557.454	0	0
AUR62039464	594	422.638	1	0.0431127
AUR62032162	837	665.321	3	0.0821606
AUR62039907	594	422.638	76.7266	3.30789
AUR62004092	1539	1367.25	6	0.0799607
AUR62022903	5349	5177.25	1.16985	0.00411722
AUR62032472	1398	1226.25	18.1561	0.269785
AUR62006611	3651	3479.25	482.542	2.5271
AUR62032834	498	326.867	0	0
AUR62026053	339	171.316	0	0
AUR62014117	1122	950.251	0	0
AUR62016280	885	713.269	1.00862	0.025766
AUR62036555	1086	914.251	0	0
AUR62035050	1908	1736.25	0	0
AUR62013101	2196	2024.25	8	0.072011
AUR62028897	624	452.583	1	0.0402601
AUR62040376	1479	1307.25	0	0
AUR62000978	1626	1454.25	0	0
AUR62015665	645	473.583	0	0
AUR62002594	1236	1064.25	63.7374	1.09125
AUR62042714	288	123.959	0	0
AUR62004671	2427	2255.25	34.565	0.279264
AUR62007514	1866	1694.25	0	0
AUR62028495	816	644.337	50.5415	1.42925
AUR62007779	855	683.304	0	0
AUR62031544	3164	2992.25	174.209	1.06083
AUR62028325	1308	1136.25	0	0
AUR62043255	723	551.454	3	0.0991255
AUR62001557	801	629.353	11.3222	0.327802
AUR62033735	2229	2057.25	76.5934	0.678387
AUR62028934	1062	890.251	12.6667	0.259253
AUR62017492	885	713.269	0	0
AUR62029848	789	617.353	0	0
AUR62043680	1098	926.251	0.5	0.00983591
AUR62030815	564	392.678	0	0
AUR62037110	855	683.304	72	1.91996
AUR62042842	1542	1370.25	2.1978	0.0292255
AUR62005426	969	797.251	0	0
AUR62019168	897	725.251	2800.98	70.3713
AUR62015304	816	644.337	0	0
AUR62028778	999	827.251	10	0.22026
AUR62024937	1251	1079.25	97	1.63766
AUR62024904	3147	2975.25	1137.49	6.9662
AUR62011783	1275	1103.25	0	0
AUR62023268	288	123.959	283	41.5988
AUR62027343	216	64.28	0	0
AUR62030423	1131	959.251	4	0.0759803
AUR62011668	2919	2747.25	18.2001	0.120712
AUR62013982	1104	932.251	0	0
AUR62033053	411	240.77	0	0
AUR62008439	2208	2036.25	79.915	0.715106
AUR62029906	3285	3113.25	2.27079	0.0132903
AUR62040127	957	785.251	0	0
AUR62007966	1875	1703.25	0	0
AUR62042250	291	126.67	0	0
AUR62027083	1359	1187.25	0	0
AUR62036103	1338	1166.25	274.966	4.29597
AUR62015987	702	530.495	90.6514	3.11363
AUR62016198	1587	1415.25	0	0
AUR62006586	1788	1616.25	240.569	2.71209
AUR62024801	648	476.583	128.681	4.91984
AUR62028243	1386	1214.25	0	0
AUR62034589	1491	1319.25	0	0
AUR62017262	2340	2168.25	0	0
AUR62042556	1092	920.251	2	0.0396002
AUR62023688	1869	1697.25	299.934	3.21998
AUR62014874	384	214.448	0	0
AUR62033710	1176	1004.25	2670.02	48.4446
AUR62015781	336	168.545	1783.96	192.86
AUR62003570	429	258.528	0	0
AUR62031872	633	461.583	140.472	5.54514
AUR62009473	1653	1481.25	124.585	1.53254
AUR62019199	960	788.251	5	0.115579
AUR62026572	243	85.3399	0	0
AUR62014042	1860	1688.25	104.165	1.12424
AUR62010097	843	671.321	0	0
AUR62037072	1026	854.251	293	6.24965
AUR62010819	981	809.251	7	0.157612
AUR62014009	531	359.772	0	0
AUR62040478	390	220.213	0	0
AUR62008541	1089	917.251	7.5	0.148986
AUR62020130	1161	989.251	11.844	0.218155
AUR62017404	306	140.396	0	0
AUR62013970	864	692.287	0	0
AUR62006857	2778	2606.25	17.8476	0.124777
AUR62033509	1293	1121.25	0	0
AUR62001802	621	449.583	0	0
AUR62023904	2172	2000.25	1.03485	0.00942683
AUR62022037	1575	1403.25	3	0.0389546
AUR62029802	1104	932.251	38	0.742718
AUR62038572	828	656.321	68.3504	1.89757
AUR62031077	390	220.213	0	0
AUR62026406	729	557.454	0	0
AUR62019545	894	722.251	0	0
AUR62029173	1350	1178.25	1.99885	0.0309111
AUR62019048	1290	1118.25	16	0.260708
AUR62031569	390	220.213	2.53333	0.209615
AUR62029556	378	208.693	0	0
AUR62018284	780	608.353	0	0
AUR62035346	1149	977.251	0	0
AUR62030277	642	470.583	196.746	7.61806
AUR62010804	1167	995.251	0	0
AUR62024888	828	656.321	0	0
AUR62021454	3123	2951.25	2624.7	16.2049
AUR62007485	861	689.287	0	0
AUR62016441	2139	1967.25	415.356	3.8471
AUR62025977	339	171.316	23.3007	2.47824
AUR62001085	1458	1286.25	0	0
AUR62025682	1341	1169.25	3	0.0467506
AUR62044044	2118	1946.25	21	0.196605
AUR62028509	1314	1142.25	1	0.0159519
AUR62017958	729	557.454	0	0
AUR62027972	1458	1286.25	484	6.85635
AUR62013559	2268	2096.25	0	0
AUR62014092	999	827.251	0	0
AUR62036388	855	683.304	1	0.0266661
AUR62023788	1221	1049.25	40.429	0.702081
AUR62033981	792	620.353	8	0.234977
AUR62004883	408	237.818	45	3.44779
AUR62029786	1782	1610.25	0	0
AUR62030313	2184	2012.25	0	0
AUR62015869	2076	1904.25	0	0
AUR62033347	1401	1229.25	2.02507	0.0300173
AUR62006572	528	356.79	48.6272	2.48336
AUR62031015	255	95.3474	0	0
AUR62037518	1575	1403.25	51.5725	0.669663
AUR62004230	1035	863.251	8	0.16886
AUR62032934	1191	1019.25	1	0.0178769
AUR62037614	942	770.251	0	0
AUR62003322	213	62.0516	0	0
AUR62015249	912	740.251	0	0
AUR62041365	2499	2327.25	546.632	4.27982
AUR62017985	1710	1538.25	3.30326	0.0391281
AUR62007381	1317	1145.25	0	0
AUR62024172	1053	881.251	121	2.50184
AUR62022916	786	614.353	19	0.56352
AUR62026389	1677	1505.25	4	0.04842
AUR62034477	1338	1166.25	35	0.546826
AUR62031139	945	773.251	0	0
AUR62012340	1779	1607.25	45	0.510155
AUR62041953	207	57.7084	32	10.1038
AUR62005760	795	623.353	6.18182	0.180699
AUR62043167	423	252.579	59	4.25626
AUR62040591	372	202.911	33	2.96335
AUR62024763	2178	2006.25	0	0
AUR62000428	1251	1079.25	22.5676	0.381011
AUR62005808	420	249.617	0	0
AUR62024914	2160	1988.25	81	0.742313
AUR62033805	903	731.251	0	0
AUR62032732	4101	3929.25	17.0434	0.0790349
AUR62032549	417	246.642	0	0
AUR62022904	237	80.4614	0	0
AUR62012984	969	797.251	1	0.0228548
AUR62008175	2397	2225.25	38.5219	0.315429
AUR62007627	1707	1535.25	0	0
AUR62030502	2913	2741.25	4	0.0265879
AUR62016035	1179	1007.25	0	0
AUR62034753	1461	1289.25	0	0
AUR62007030	399	229.01	4.21466	0.335337
AUR62014718	1938	1766.25	40.9764	0.422722
AUR62011359	1158	986.251	0	0
AUR62026796	1119	947.251	5.07512	0.0976235
AUR62016163	1827	1655.25	3.3258	0.0366105
AUR62031994	396	226.073	2	0.161196
AUR62009627	606	434.627	166.921	6.99791
AUR62008062	1863	1691.25	332.312	3.58024
AUR62033802	1983	1811.25	0	0
AUR62036002	1872	1700.25	130.208	1.3954
AUR62027042	276	113.261	2	0.321754
AUR62024684	441	270.396	12	0.808638
AUR62029815	747	575.412	53	1.6783
AUR62032015	801	629.353	1	0.028952
AUR62042775	1731	1559.25	84	0.981605
AUR62004484	1362	1190.25	111	1.69925
AUR62024729	1425	1253.25	26.781	0.38937
AUR62019051	909	737.251	11.8204	0.292139
AUR62001856	717	545.468	0	0
AUR62035922	534	362.772	0	0
AUR62029837	684	512.534	0	0
AUR62022751	2289	2117.25	0	0
AUR62044218	1704	1532.25	0	0
AUR62003068	1014	842.251	18	0.389407
AUR62042025	2775	2603.25	47	0.328969
AUR62003200	1311	1139.25	102.185	1.63434
AUR62040942	549	377.726	0	0
AUR62026324	1185	1013.25	6.91275	0.12431
AUR62026273	1383	1211.25	0	0
AUR62033474	984	812.251	2	0.0448656
AUR62027989	1185	1013.25	0	0
AUR62034232	3750	3578.25	275.36	1.40218
AUR62040921	1065	893.251	0	0
AUR62039242	1164	992.251	5.63514	0.10348
AUR62011403	573	401.668	0	0
AUR62018499	696	524.495	56.7838	1.97268
AUR62029465	549	377.726	1	0.0482388
AUR62020658	3603	3431.25	2.1587	0.0114634
AUR62030631	963	791.251	0	0
AUR62017987	3336	3164.25	0	0
AUR62038336	1569	1397.25	329	4.29037
AUR62001461	2013	1841.25	0	0
AUR62022544	10770	10598.3	0	0
AUR62023272	1449	1277.25	122.566	1.74851
AUR62010605	693	521.534	0	0
AUR62005029	1833	1661.25	467.319	5.12568
AUR62038111	1470	1298.25	113.061	1.58682
AUR62039479	255	95.3474	4	0.764407
AUR62003662	1989	1817.25	255.367	2.56049
AUR62005632	2742	2570.25	7.43206	0.0526875
AUR62028738	1224	1052.25	0	0
AUR62021407	504	332.842	5	0.273719
AUR62033598	1716	1544.25	4	0.0471971
AUR62005108	1011	839.251	1	0.0217111
AUR62016442	1239	1067.25	34.6851	0.592174
AUR62003956	1140	968.251	37	0.696285
AUR62013539	1215	1043.25	196	3.42327
AUR62036076	306	140.396	0	0
AUR62021682	270	108.112	0	0
AUR62022122	807	635.337	96	2.75322
AUR62024707	3840	3668.25	3479.14	17.2817
AUR62004902	915	743.251	13	0.318699
AUR62014599	1737	1565.25	5.3904	0.0627496
AUR62040470	603	431.638	36.8891	1.55723
AUR62001519	294	129.391	13	1.83068
AUR62032625	1098	926.251	1440.36	28.3345
AUR62036655	1908	1736.25	263.711	2.76751
AUR62036510	630	458.583	1	0.0397334
AUR62023014	1995	1823.25	25.7848	0.257686
AUR62040315	1662	1490.25	17	0.207856
AUR62003339	1908	1736.25	38.8716	0.407938
AUR62029605	630	458.583	0	0
AUR62023297	1119	947.251	63	1.21185
AUR62022881	279	115.879	0	0
AUR62018363	1200	1028.25	0	0
AUR62010707	3156	2984.25	1	0.00610574
AUR62041505	2574	2402.25	56.9372	0.431868
AUR62035721	1782	1610.25	213.737	2.41858
AUR62010679	1506	1334.25	5.14712	0.0702911
AUR62032691	1224	1052.25	0	0
AUR62042915	978	806.251	164.913	3.727
AUR62042167	792	620.353	117.774	3.45927
AUR62039368	3366	3194.25	4.22919	0.0241247
AUR62033551	564	392.678	0	0
AUR62006784	1089	917.251	1	0.0198648
AUR62028834	1416	1244.25	111	1.62551
AUR62025229	240	82.8553	0	0
AUR62003591	2097	1925.25	17	0.160892
AUR62020263	1962	1790.25	189.581	1.92954
AUR62015042	294	129.391	0	0
AUR62021140	1230	1058.25	0	0
AUR62003735	2157	1985.25	57.9181	0.531585
AUR62023654	1773	1601.25	17.6998	0.20141
AUR62010358	561	389.688	0	0
AUR62036585	1260	1088.25	166.803	2.79285
AUR62009444	1521	1349.25	40.733	0.550082
AUR62005904	267	105.534	0	0
AUR62027338	1062	890.251	1	0.0204673
AUR62031318	408	237.818	0	0
AUR62031756	990	818.251	13	0.289488
AUR62023271	1182	1010.25	6	0.108217
AUR62023142	2142	1970.25	0	0
AUR62002945	1425	1253.25	88.4707	1.28628
AUR62037145	1257	1085.25	187.558	3.14905
AUR62000386	630	458.583	0	0
AUR62043962	294	129.391	0	0
AUR62000855	378	208.693	0	0
AUR62006893	2137	1965.25	12.4193	0.115147
AUR62002017	552	380.726	0	0
AUR62005271	1119	947.251	72	1.38497
AUR62037594	402	231.906	261.664	20.5591
AUR62024005	1566	1394.25	28.9845	0.37879
AUR62011817	2274	2102.25	7.28415	0.0631346
AUR62037424	1956	1784.25	3.8909	0.0397345
AUR62017415	585	413.638	0	0
AUR62011089	2394	2222.25	114.082	0.935402
AUR62035197	1584	1412.25	10	0.129021
AUR62035234	1551	1379.25	2.125	0.028073
AUR62023739	813	641.337	1	0.028411
AUR62004748	1428	1256.25	110	1.59547
AUR62000530	1458	1286.25	12.2217	0.173133
AUR62014831	3003	2831.25	0	0
AUR62011309	261	100.331	0	0
AUR62028400	363	194.231	0	0
AUR62022301	444	273.369	0	0
AUR62020884	837	665.321	49.7977	1.3638
AUR62004039	1266	1094.25	23.8231	0.396693
AUR62033115	4536	4364.25	0	0
AUR62015992	852	680.304	0	0
AUR62041309	2388	2216.25	12	0.0986588
AUR62010152	1854	1682.25	0	0
AUR62043388	321	154.377	0	0
AUR62025839	591	419.638	1	0.0434209
AUR62018776	2514	2342.25	30.8585	0.240057
AUR62022144	1125	953.251	2	0.0382293
AUR62005528	264	102.878	16	2.83381
AUR62041023	489	317.899	0	0
AUR62018025	1749	1577.25	1.02238	0.011811
AUR62033800	390	220.213	0	0
AUR62012422_AUR62026701_AUR62028492	2094	1922.25	0	0
AUR62029482	1710	1538.25	0	0
AUR62013166	3690	3518.25	302.713	1.56775
AUR62002046	1125	953.251	10.0996	0.19305
AUR62040750	261	100.331	0	0
AUR62015862	306	140.396	144	18.6888
AUR62042213	1302	1130.25	1.61981	0.0261134
AUR62021491	578	406.658	265.28	11.8863
AUR62026402	570	398.668	3185	145.57
AUR62003635	984	812.251	92.6831	2.07914
AUR62016775	2403	2231.25	1	0.00816629
AUR62000140	966	794.251	1.02868	0.0235991
AUR62006168	1224	1052.25	4	0.069265
AUR62003064	1569	1397.25	108	1.40839
AUR62002776	1056	884.251	0	0
AUR62023835	1020	848.251	235	5.04797
AUR62019638	261	100.331	0	0
AUR62002354	405	234.86	176	13.6546
AUR62041549	312	145.933	0	0
AUR62037591	711	539.495	0	0
AUR62038604	435	264.43	2.03509	0.140232
AUR62004746	1947	1775.25	57.2303	0.587407
AUR62004580	360	191.377	270.511	25.7554
AUR62005374	1206	1034.25	4.18518	0.0737329
AUR62040666	1533	1361.25	0	0
AUR62007748	1563	1391.25	3.05077	0.0399556
