target_id	length	eff_length	A2_2	A2_2_tpm
Gohir.D08G013000	1846	1659.3	0	0
Gohir.A02G177000	2260	2073.3	426.381	2.99883
Gohir.A04G123700	1724	1537.3	533.861	5.06391
Gohir.A08G078800	1460	1273.3	0	0
Gohir.D11G072700	1486	1299.3	9.54104	0.107079
Gohir.A07G011700	1009	822.299	254.9	4.52019
Gohir.D10G087901	1705	1518.3	0	0
Gohir.A02G020600	2886	2699.3	358.84	1.9385
Gohir.A12G259001	1815	1628.3	0	0
Gohir.A13G108900	818	631.362	62	1.43196
Gohir.D13G222400	3480	3293.3	9.89636	0.0438188
Gohir.D05G182700	2023	1836.3	0	0
Gohir.A02G036800	2534	2347.3	11	0.0683346
Gohir.D02G178800	868	681.362	0	0
Gohir.A13G197800	2698	2511.3	3.02906	0.0175884
Gohir.D10G060800	2725	2538.3	9.66435	0.0555196
Gohir.A05G314900	1915	1728.3	68.922	0.581507
Gohir.D11G312636	3883	3696.3	31.9213	0.12593
Gohir.D04G065100	1199	1012.3	0	0
Gohir.A06G132400	985	798.331	148.933	2.72034
Gohir.A06G182800	2308	2121.3	162.283	1.11555
Gohir.A04G111300	915	728.362	8	0.160162
Gohir.A02G060600	1709	1522.3	296.413	2.83931
Gohir.D02G217101	957	770.347	0	0
Gohir.A04G028900	1661	1474.3	89.5084	0.885308
Gohir.D06G213100	914	727.362	0	0
Gohir.D07G187300	2176	1989.3	5.22565	0.0383051
Gohir.D11G200400	2462	2275.3	165.108	1.05815
Gohir.A10G041100	2754	2567.3	67	0.380553
Gohir.D06G061000	1965	1778.3	2.19144	0.0179697
Gohir.A04G046800	1823	1636.3	1.56546	0.0139506
Gohir.D12G199300	1212	1025.3	2	0.0284443
Gohir.D06G116500	1998	1811.3	4.36466	0.0351379
Gohir.A09G249400	719	532.386	0	0
Gohir.A05G090300	1984	1797.3	108	0.876233
Gohir.D02G123700	2700	2513.3	6.59649	0.0382723
Gohir.A05G036500	2174	1987.3	195.695	1.43593
Gohir.D11G062000	2003	1816.3	4.57813	0.0367551
Gohir.D05G166000	894	707.362	1	0.0206146
Gohir.A08G208900	2015	1828.3	50.3763	0.401787
Gohir.A02G017701	426	241.397	0	0
Gohir.A12G110300	2229	2042.3	462	3.29867
