target_id	length	eff_length	D5_4	D5_4_tpm
Gohir.D08G013000	1846	1661.01	1566.89	9.76467
Gohir.A02G177000	2260	2075.01	102.62	0.511919
Gohir.A04G123700	1724	1539.01	15.9739	0.107438
Gohir.A08G078800	1460	1275.01	0	0
Gohir.D11G072700	1486	1301.01	396.765	3.15677
Gohir.A07G011700	1009	824.013	42.5789	0.534875
Gohir.D10G087901	1705	1520.01	0	0
Gohir.A02G020600	2886	2701.01	0	0
Gohir.A12G259001	1815	1630.01	0	0
Gohir.A13G108900	818	633.013	84.5366	1.38237
Gohir.D13G222400	3480	3295.01	1113.31	3.49745
Gohir.D05G182700	2023	1838.01	52.8904	0.297865
Gohir.A02G036800	2534	2349.01	0	0
Gohir.D02G178800	868	683.013	5	0.0757762
Gohir.A13G197800	2698	2513.01	38.8379	0.159975
Gohir.D10G060800	2725	2540.01	152.635	0.622027
Gohir.A05G314900	1915	1730.01	3.08229	0.0184423
Gohir.D11G312636	3883	3698.01	0	0
Gohir.D04G065100	1199	1014.01	0	0
Gohir.A06G132400	985	800.013	32.2794	0.417658
Gohir.A06G182800	2308	2123.01	40.8335	0.199093
Gohir.A04G111300	915	730.013	4	0.056718
Gohir.A02G060600	1709	1524.01	1.1059	0.00751139
Gohir.D02G217101	957	772.013	9	0.120673
Gohir.A04G028900	1661	1476.01	10.2991	0.0722272
Gohir.D06G213100	914	729.013	688	9.76888
Gohir.D07G187300	2176	1991.01	336.459	1.74924
Gohir.D11G200400	2462	2277.01	485.562	2.20735
Gohir.A10G041100	2754	2569.01	35.0251	0.141125
Gohir.D06G061000	1965	1780.01	1	0.00581525
Gohir.A04G046800	1823	1638.01	18.4942	0.116872
Gohir.D12G199300	1212	1027.01	58	0.58458
Gohir.D06G116500	1998	1813.01	615.074	3.51171
Gohir.A09G249400	719	534.013	1.06769	0.0206959
Gohir.A05G090300	1984	1799.01	24.1512	0.138962
Gohir.D02G123700	2700	2515.01	302	1.24296
Gohir.A05G036500	2174	1989.01	0	0
Gohir.D11G062000	2003	1818.01	289.741	1.6497
Gohir.D05G166000	894	709.013	28	0.408786
Gohir.A08G208900	2015	1830.01	1.17364	0.00663851
Gohir.A02G017701	426	242.749	0	0
Gohir.A12G110300	2229	2044.01	17.3734	0.0879818
Gohir.D10G139300	1711	1526.01	1349.52	9.15404
Gohir.D06G081600	1839	1654.01	24	0.150198
Gohir.D10G100450	505	320.539	26.8536	0.867188
Gohir.A05G232300	2912	2727.01	116.172	0.440966
Gohir.D13G140200	1483	1298.01	481.729	3.84163
Gohir.D11G084200	1653	1468.01	97.3118	0.686163
Gohir.A06G104500	1953	1768.01	4.25217	0.0248953
Gohir.A02G048901	695	510.013	0	0
Gohir.D07G067300	637	452.102	89.6014	2.05149
Gohir.D05G179200	637	452.102	0	0
Gohir.A05G334375	1248	1063.01	1	0.00973763
Gohir.A05G042800	1498	1313.01	22.1377	0.174524
Gohir.A04G028404	1585	1400.01	35.3399	0.261291
Gohir.D09G238800	898	713.013	153.984	2.23548
Gohir.A11G030881	2053	1868.01	469.539	2.60186
Gohir.D09G164440	504	319.539	1.88494	0.0610612
Gohir.A12G128850	1905	1720.01	0	0
Gohir.D09G058025	303	129.43	13	1.03968
Gohir.A12G161300	1882	1697.01	1.17446	0.00716384
Gohir.D01G194350	2745	2560.01	0	0
Gohir.D05G017800	712	527.013	595	11.6866
Gohir.D06G167100	1645	1460.01	1861.33	13.1965
Gohir.A08G219555	1498	1313.01	500.63	3.94675
Gohir.A05G006100	1128	943.013	68.8018	0.75522
Gohir.D04G010300	2689	2504.01	660.221	2.72926
Gohir.D01G057100	1269	1084.01	0	0
Gohir.D04G170800	1594	1409.01	76.523	0.562171
Gohir.A01G153800	1751	1566.01	13.9188	0.0920019
Gohir.D08G228400	1119	934.013	7	0.0775777
Gohir.A04G048165	1065	880.013	3.45103	0.040593
Gohir.A10G237000	918	733.013	0	0
Gohir.A13G016300	1270	1085.01	0	0
Gohir.D08G191800	1624	1439.01	977.766	7.03334
Gohir.A09G110880	1269	1084.01	0	0
Gohir.A05G236950	636	451.102	0	0
Gohir.D09G120400	2577	2392.01	74.453	0.322189
Gohir.D03G135900	1752	1567.01	9	0.0594513
Gohir.A08G101400	804	619.013	1.02365	0.0171176
Gohir.D07G105100	1173	988.013	213.907	2.24106
Gohir.D05G279500	1041	856.013	57.4046	0.694158
Gohir.A11G029900	871	686.013	6.73786	0.101667
Gohir.D05G344800	1847	1662.01	0	0
Gohir.A11G286841	945	760.013	0	0
Gohir.D03G031800	1092	907.013	83.856	0.957001
Gohir.A11G096800	2714	2529.01	106.738	0.436878
Gohir.A03G186400	1186	1001.01	0	0
Gohir.D04G161600	1440	1255.01	267.975	2.21023
Gohir.D10G096000	1922	1737.01	339.883	2.02543
Gohir.D11G217600	2203	2018.01	6.67974	0.0342631
Gohir.A06G061900	913	728.013	0	0
Gohir.A06G078300	2296	2111.01	4.13641	0.0202826
Gohir.D05G234600	3130	2945.01	93.5886	0.328948
Gohir.A13G194500	999	814.013	12	0.152595
Gohir.A06G043800	4312	4127.01	7.33769	0.0184041
Gohir.A09G087600	1070	885.013	0	0
Gohir.D13G042300	1337	1152.01	391.79	3.52036
Gohir.D03G095800	2782	2597.01	256.698	1.02315
Gohir.D08G069200	3165	2980.01	622.262	2.16146
Gohir.D11G105400	1852	1667.01	3	0.0186283
Gohir.D11G065833	922	737.013	0	0
Gohir.D02G136400	4076	3891.01	532.87	1.41759
Gohir.D02G043200	2366	2181.01	2.03353	0.00965127
Gohir.A02G162900	952	767.013	2.26238	0.0305319
Gohir.D03G166101	1665	1480.01	223.982	1.56653
Gohir.A05G044600	1089	904.013	42.0342	0.481304
Gohir.D13G072400	2007	1822.01	449	2.55086
Gohir.D02G104300	1911	1726.01	72.5052	0.434827
Gohir.A09G026000	7171	6986.01	105.303	0.156028
Gohir.A05G057500	1461	1276.01	0	0
Gohir.A08G114700	1067	882.013	1	0.0117359
Gohir.D10G152000	1549	1364.01	350.006	2.65612
Gohir.D05G287000	1718	1533.01	1287.5	8.69347
Gohir.A02G144200	969	784.013	45.0035	0.594175
Gohir.A12G030701	522	337.466	0	0
Gohir.D02G014900	3427	3242.01	59.5902	0.190262
Gohir.A10G169466	748	563.013	0	0
Gohir.A07G112100	1898	1713.01	24.2658	0.146631
Gohir.D06G172800	619	434.144	0	0
Gohir.D08G092550	231	73.7235	1	0.140406
Gohir.A04G018100	2811	2626.01	0	0
Gohir.D06G070000	3166	2981.01	344.465	1.19611
Gohir.A06G175900	1442	1257.01	0	0
Gohir.D10G113200	1290	1105.01	631.84	5.91877
Gohir.A06G089000	2502	2317.01	73.5311	0.328499
Gohir.D10G136700	1374	1189.01	128.781	1.12113
Gohir.D02G211100	963	778.013	379.159	5.04459
Gohir.D06G009100	2758	2573.01	205.568	0.826998
Gohir.A06G203700	1768	1583.01	52.879	0.345773
Gohir.A10G031650	915	730.013	0	0
Gohir.D06G185900	1275	1090.01	51.8577	0.492463
Gohir.D02G193500	354	174.638	79	4.68253
Gohir.D12G211400	642	457.087	1	0.022646
Gohir.D07G106900	1085	900.013	3	0.0345036
Gohir.A05G257150	774	589.013	0	0
Gohir.D09G074600	858	673.013	1538.54	23.6633
Gohir.D02G139000	2564	2379.01	1183.21	5.14822
Gohir.D05G214600	1724	1539.01	846.922	5.6963
Gohir.A05G110900	1774	1589.01	77.3627	0.50396
Gohir.A01G195000	1796	1611.01	6.6345	0.0426286
Gohir.D05G354825	333	155.462	7.80338	0.519579
Gohir.A12G219875	606	421.213	0	0
Gohir.D09G245650	568	383.326	0	0
Gohir.A13G139780	1125	940.013	0	0
Gohir.A10G158400	1065	880.013	6	0.0705755
Gohir.D12G014000	1852	1667.01	901.515	5.59791
Gohir.A09G112900	1696	1511.01	0	0
Gohir.A11G032200	1485	1300.01	13.028	0.103734
Gohir.D02G076100	1379	1194.01	2094	18.1535
Gohir.D02G168900	2310	2125.01	125.789	0.612736
Gohir.D09G149400	2344	2159.01	12	0.0575331
Gohir.D13G036900	2218	2033.01	1972.13	10.0412
Gohir.A13G063900	1421	1236.01	51.6084	0.432205
Gohir.A07G183850	623	438.13	0	0
Gohir.D01G109550	216	63.8979	0	0
Gohir.D05G339300	1391	1206.01	0	0
Gohir.A08G000117	641	456.087	0	0
Gohir.A11G253600	3103	2918.01	19.0224	0.067479
Gohir.D02G162600	2292	2107.01	1176.31	5.77893
Gohir.A06G132200	2674	2489.01	0	0
Gohir.D08G252466	264	97.7711	2.01651	0.213492
Gohir.A08G184900	2168	1983.01	11.504	0.0600501
Gohir.A08G099868	2794	2609.01	6.44886	0.0255858
Gohir.D04G097500	1283	1098.01	926	8.72962
Gohir.D05G057600	2551	2366.01	152.417	0.666818
Gohir.A06G111004	426	242.749	0	0
Gohir.D11G115100	456	272.16	0	0
Gohir.D02G144600	2553	2368.01	314.865	1.37636
Gohir.D05G306750	174	39.9331	0	0
Gohir.D01G110500	1668	1483.01	1	0.00697986
