target_id	length	eff_length	Ahyp_4	Ahyp_4_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2147.99	472.712	3.89664
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	759.044	5.00676	0.116793
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	83.1488	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	678.044	43.3659	1.13244
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	633.087	138	3.8596
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	50.8145	19	6.62052
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1328.99	17.3572	0.23125
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	639.065	42.6558	1.18184
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1121.99	17.7963	0.280845
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1421.99	218.671	2.72283
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	363.292	7.06644	0.344407
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	732.044	308.256	7.4559
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1283.99	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	169.329	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1388.99	184.065	2.34637
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	441.157	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1271.99	61.4147	0.854898
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2066.99	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1418.99	20.7526	0.258952
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	232.486	114	8.68227
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1523.99	146.167	1.69821
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	804.018	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	567.107	5	0.15611
