target_id	length	eff_length	Aipadur_4	Aipadur_4_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2147.23	882.73	5.88949
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	758.247	2.03204	0.0383929
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	83.8328	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	677.259	78.7249	1.66528
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	632.259	76	1.72206
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	51.6425	5	1.38705
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1328.23	0	0
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	638.259	2.07087	0.046482
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1121.23	11	0.140548
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1421.23	140.988	1.42117
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	362.48	7	0.276658
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	731.247	365.567	7.16195
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1283.23	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	169.079	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1388.23	311.649	3.21612
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	440.382	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1271.23	79.5409	0.896384
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2066.23	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1418.23	17.5685	0.177466
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	231.927	67	4.1386
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1523.23	136.883	1.2874
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	803.247	1	0.0178353
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	566.269	3	0.0758975
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	125.766	5	0.569554
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	296.839	398.533	19.2341
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	941.234	7	0.106544
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1139.23	11.1615	0.140359
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1115.23	68.1017	0.874825
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	497.312	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	917.234	102.639	1.60311
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2669.23	229.924	1.23403
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	276.073	92.625	4.80655
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1238.23	5.51241	0.0637776
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	587.269	10.6711	0.260315
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4235.23	512.984	1.73522
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	365.468	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1253.23	20.2789	0.231814
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	249.51	52	2.98568
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	491.329	9	0.262421
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1013.23	72.7843	1.0291
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	806.247	8	0.142151
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	83.8328	18.1746	3.10584
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	614.259	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	677.259	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	147.078	1.00249	0.0976471
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	992.234	32.4179	0.468058
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	255.405	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	485.329	24	0.708442
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	683.259	164.705	3.45344
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	701.247	1	0.0204295
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	53.663	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1214.23	5.53685	0.0653265
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	293.873	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	734.247	830.203	16.1984
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1148.23	33.5739	0.418891
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	169.079	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	163.526	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1703.23	71.5663	0.601954
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	88.4536	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	431.382	168.126	5.58344
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1751.23	42	0.343585
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	147.078	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	425.397	38.6296	1.30093
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1166.23	61.4397	0.754732
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	425.397	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	923.234	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	731.247	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1028.23	520	7.24503
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1340.23	13.4649	0.14393
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2624.23	1557.67	8.50359
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1085.23	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1097.23	19.6087	0.256023
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	100.331	10	1.42788
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	392.431	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2627.23	18.7755	0.102382
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1292.23	59	0.654094
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	125.766	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1937.23	638.857	4.72444
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1967.23	65.5054	0.477035
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	695.259	131.434	2.70825
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2543.23	71.9632	0.405371
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	243.63	0	0
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	51.6425	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	177.508	3	0.24212
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1598.23	11.4193	0.10236
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1226.23	102.761	1.20056
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	377.45	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	935.234	0	0
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1298.23	185.347	2.04533
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	503.296	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	102.803	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	797.247	791.419	14.2214
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	401.417	549.735	19.6194
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	97.9122	2.2008	0.322013
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1022.23	98.9864	1.38725
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1037.23	270.378	3.73443
