target_id	length	eff_length	Cp_1	Cp_1_tpm
AUR62003775	1152	971.087	0	0
AUR62039511	429	249.651	17.8945	1.2582
AUR62009679	621	440.407	1.01117	0.0403027
AUR62005977	984	803.087	6	0.131146
AUR62036206	984	803.087	0	0
AUR62011627	2139	1958.09	606.275	5.43504
AUR62012836	1632	1451.09	9	0.108872
AUR62016937	414	234.983	0	0
AUR62032931	936	755.087	0	0
AUR62001032	261	93.9146	0	0
AUR62010506	1254	1073.09	11	0.179938
AUR62017663	2118	1937.09	38.1753	0.345938
AUR62026012	504	323.792	8	0.4337
AUR62026976	471	291.021	0	0
AUR62013354	765	584.241	2.0677	0.0621243
AUR62017101	228	67.9778	0	0
AUR62013408	348	171.525	0	0
AUR62026758	1770	1589.09	518.75	5.73027
AUR62033650	1269	1088.09	0	0
AUR62044042	303	130.284	0	0
AUR62008361	3486	3305.09	0	0
AUR62011815	735	554.309	37	1.1717
AUR62007629	1611	1430.09	346.402	4.2519
AUR62018235	1104	923.087	3926.06	74.6585
AUR62030665	966	785.087	22.5561	0.504326
AUR62037129	2730	2549.09	2.34053	0.0161174
AUR62044095	2046	1865.09	0	0
AUR62014261	522	341.68	0	0
AUR62032708	738	557.309	0	0
AUR62034389	3978	3797.09	2	0.0092458
AUR62030379	531	350.657	0	0
AUR62031825	573	392.511	0	0
AUR62024569	1353	1172.09	0	0
AUR62033990	1713	1532.09	0	0
AUR62013676	474	294.001	0	0
AUR62031509	2433	2252.09	0	0
AUR62002554	1116	935.087	173.135	3.25011
AUR62018017	255	89.0348	55	10.8435
AUR62015496	768	587.241	0	0
AUR62004713	183	38.7053	20	9.07036
AUR62029199	474	294.001	2	0.119412
AUR62005702	1302	1121.09	57.3056	0.89727
AUR62002847	2241	2060.09	184	1.56782
AUR62003148	1197	1016.09	0	0
AUR62012766	2391	2210.09	416.977	3.31183
AUR62035298	2655	2474.09	122.878	0.871818
AUR62012758	918	737.112	325.186	7.74397
AUR62030796	1305	1124.09	11	0.171774
AUR62007551	777	596.232	206.289	6.07331
AUR62013998	864	683.147	0	0
AUR62017050	384	205.772	15.9708	1.36241
AUR62004427	1023	842.087	32.6672	0.680959
AUR62000177	909	728.112	42.4004	1.0222
AUR62025910	813	632.191	0	0
AUR62003412	531	350.657	1	0.050059
AUR62004651	2100	1919.09	7.64434	0.0699214
AUR62026425	1088	907.087	0	0
AUR62012423	1962	1781.09	32.7742	0.323007
AUR62035144	588	407.457	4.95574	0.213497
AUR62000097	1566	1385.09	4	0.050693
AUR62009178	579	398.491	0	0
AUR62003314	1758	1577.09	21.2784	0.236837
AUR62040559	3753	3572.09	22.7186	0.111641
AUR62035375	3351	3170.09	4	0.022149
AUR62019552	654	473.384	1471.11	54.55
AUR62024206	1506	1325.09	35.7615	0.473736
AUR62027493	936	755.087	46	1.06937
AUR62031805	864	683.147	131	3.36606
AUR62031177	2034	1853.09	176.357	1.67056
AUR62006343	1650	1469.09	4	0.0477945
AUR62039498	549	368.561	22	1.0478
AUR62017783	1857	1676.09	197.947	2.07309
AUR62001907	327	151.987	0	0
AUR62026287	594	413.45	125.9	5.34523
AUR62012020	843	662.169	42.0632	1.11506
AUR62001009	1338	1157.09	14	0.212387
AUR62003673	651	470.384	4	0.14927
AUR62032751	1878	1697.09	451.564	4.67068
AUR62012508	1329	1148.09	0	0
AUR62025098	360	182.872	0	0
AUR62031213	630	449.4	12	0.46872
AUR62040512	1413	1232.09	0	0
AUR62026943	630	449.4	0	0
AUR62036635	642	461.384	0	0
AUR62021212	1275	1094.09	9.20279	0.14765
AUR62025691	1275	1094.09	14.6908	0.235699
AUR62044300_AUR62036674	1074	893.087	14.0915	0.276967
AUR62017670	1116	935.087	13.2467	0.248669
AUR62011514	1395	1214.09	1	0.0144582
AUR62037899	1920	1739.09	12	0.121123
AUR62039224	603	422.443	95	3.94748
AUR62036065	1110	929.087	43	0.812414
AUR62000005	2289	2108.09	35.6517	0.296864
AUR62022200	4428	4247.09	23.8305	0.0984934
AUR62033290	1422	1241.09	2	0.0282874
AUR62013253	1698	1517.09	0	0
AUR62038293	2121	1940.09	0	0
AUR62025411	2073	1892.09	207.638	1.92633
AUR62030875	2538	2357.09	0	0
AUR62037720	1626	1445.09	163.123	1.98147
AUR62031228	1554	1373.09	101.019	1.29143
AUR62020574	1692	1511.09	26.8676	0.312108
AUR62020710	963	782.087	303.941	6.82181
AUR62030580	708	527.327	58	1.93069
AUR62037464	441	261.459	0	0
AUR62003048	2412	2231.09	10	0.0786772
AUR62023455	3849	3668.09	271.951	1.30142
AUR62016429	2685	2504.09	27.4932	0.192726
AUR62009276	1899	1718.09	66.1848	0.676205
AUR62027030	7311	7130.09	1670.53	4.11267
AUR62009392	1371	1190.09	0	0
AUR62009070	1374	1193.09	0	0
AUR62019274	1866	1685.09	8.08317	0.0842025
AUR62036947	4476	4295.09	13.4671	0.0550386
AUR62016493	1338	1157.09	0	0
AUR62024924	597	416.45	0	0
AUR62036698	696	515.327	10	0.34063
AUR62004533	944	763.087	1	0.0230034
AUR62005346	1128	947.087	0	0
AUR62035326	741	560.309	0	0
AUR62032536	1386	1205.09	217.795	3.17245
AUR62028983	930	749.099	63	1.47627
AUR62011017	768	587.241	23.4009	0.699489
AUR62011357	1326	1145.09	253.98	3.89338
AUR62022291	1995	1814.09	0	0
AUR62008916	522	341.68	0	0
AUR62006787	939	758.087	0	0
AUR62028451	2343	2162.09	0	0
AUR62015503	1758	1577.09	29.7032	0.330608
AUR62011460	912	731.112	0	0
AUR62000712	1635	1454.09	0	0
AUR62004045	1458	1277.09	41.3157	0.567885
AUR62030297	1770	1589.09	13.0855	0.144547
AUR62032554	1230	1049.09	0	0
AUR62038709	1905	1724.09	1.04725	0.0106624
AUR62025804	726	545.309	0	0
AUR62008405	687	506.352	0	0
AUR62019207	585	404.471	0	0
AUR62044482	435	255.554	394.771	27.1161
AUR62027833	1416	1235.09	9.28568	0.131972
AUR62011420	207	53.1729	1430	472.075
AUR62044439	1227	1046.09	0	0
AUR62040388	3144	2963.09	15.7687	0.093415
AUR62043759	1725	1544.09	11.2358	0.127732
AUR62013994	1161	980.087	0	0
AUR62027445	1050	869.087	124.111	2.50676
AUR62041086	834	653.169	0	0
AUR62026685	330	154.808	1433.35	162.526
AUR62007084	267	98.8843	260	46.1542
AUR62008178	1266	1085.09	42.3445	0.685012
AUR62039084	840	659.169	3.25633	0.0867153
AUR62032983	558	377.536	1	0.046495
AUR62009381	204	51.1781	0	0
AUR62023698	2367	2186.09	14.2761	0.114632
AUR62012074	876	695.136	0	0
AUR62016998	693	512.335	0	0
AUR62012625	3477	3296.09	176.319	0.939
AUR62039951	351	174.358	0	0
AUR62025732	1611	1430.09	13.3205	0.163503
AUR62030708	798	617.201	0	0
AUR62018084	492	311.866	106	5.96627
AUR62026706	1482	1301.09	0	0
AUR62038318	555	374.561	0	0
AUR62005211	507	326.776	0	0
AUR62019339	729	548.309	0	0
AUR62039464	594	413.45	59	2.50492
AUR62032162	837	656.169	24	0.642037
AUR62039907	594	413.45	18.4545	0.783508
AUR62004092	1539	1358.09	4	0.0517008
AUR62022903	5349	5168.09	1192.46	4.05021
AUR62032472	1398	1217.09	4626.33	66.7238
AUR62006611	3651	3470.09	85.6733	0.433382
AUR62032834	498	317.824	0	0
AUR62026053	339	163.157	265.889	28.6062
AUR62014117	1122	941.087	135.726	2.53161
AUR62016280	885	704.136	0.00294371	7.33844e-05
AUR62036555	1086	905.087	0	0
AUR62035050	1908	1727.09	0	0
AUR62013101	2196	2015.09	0	0
AUR62028897	624	443.4	0	0
AUR62040376	1479	1298.09	0	0
AUR62000978	1626	1445.09	1	0.0121471
AUR62015665	645	464.384	0	0
AUR62002594	1236	1055.09	1553.32	25.8428
AUR62042714	288	116.929	0	0
AUR62004671	2427	2246.09	13.2321	0.103411
AUR62007514	1866	1685.09	104.641	1.09005
AUR62028495	816	635.191	0	0
AUR62007779	855	674.158	0	0
