target_id	length	eff_length	Cb_2	Cb_2_tpm
AUR62003775	1152	965.201	15.8803	0.232774
AUR62039511	429	244.985	1.27343	0.073541
AUR62009679	621	434.876	429.09	13.9597
AUR62005977	984	797.201	1.49145	0.0264688
AUR62036206	984	797.201	0	0
AUR62011627	2139	1952.2	18.3544	0.133018
AUR62012836	1632	1445.2	1	0.00978961
AUR62016937	414	230.369	0	0
AUR62032931	936	749.227	0	0
AUR62001032	261	91.5063	0	0
AUR62010506	1254	1067.2	3	0.0397712
AUR62017663	2118	1931.2	350.514	2.56786
AUR62026012	504	318.612	0	0
AUR62026976	471	285.959	0	0
AUR62013354	765	578.697	36	0.880126
AUR62017101	228	66.21	6	1.2821
AUR62013408	348	168.047	0	0
AUR62026758	1770	1583.2	22.6525	0.20243
AUR62033650	1269	1082.2	0	0
AUR62044042	303	127.116	0	0
AUR62008361	3486	3299.2	27	0.115784
AUR62011815	735	548.716	9.28639	0.239438
AUR62007629	1611	1424.2	110.362	1.09633
AUR62018235	1104	917.201	1003.64	15.4813
AUR62030665	966	779.227	0	0
AUR62037129	2730	2543.2	59.6222	0.331681
AUR62044095	2046	1859.2	0	0
AUR62014261	522	336.438	0	0
AUR62032708	738	551.697	0	0
AUR62034389	3978	3791.2	242.766	0.90595
AUR62030379	531	345.313	0	0
AUR62031825	573	387.107	0	0
AUR62024569	1353	1166.2	0	0
AUR62033990	1713	1526.2	0	0
AUR62013676	474	288.854	0	0
AUR62031509	2433	2246.2	1	0.00629862
AUR62002554	1116	929.201	31.5406	0.480235
AUR62018017	255	86.7181	55	8.97319
AUR62015496	768	581.678	0	0
AUR62004713	183	37.8825	112	41.8286
AUR62029199	474	288.854	2	0.0979593
AUR62005702	1302	1115.2	8.5397	0.108339
AUR62002847	2241	2054.2	226	1.55654
AUR62003148	1197	1010.2	0	0
AUR62012766	2391	2204.2	50.9318	0.326912
AUR62035298	2655	2468.2	690.847	3.96
AUR62012758	918	731.277	113.697	2.19969
AUR62030796	1305	1118.2	0	0
AUR62007551	777	590.658	67.1165	1.60763
AUR62013998	864	677.491	143.15	2.98938
AUR62017050	384	201.539	2.12443	0.149134
AUR62004427	1023	836.201	98	1.65809
AUR62000177	909	722.374	4.4772	0.0876876
AUR62025910	813	626.557	2	0.0451609
AUR62003412	531	345.313	20.0857	0.822941
AUR62004651	2100	1913.2	208.9	1.54479
AUR62026425	1088	901.201	41	0.643659
AUR62012423	1962	1775.2	39	0.310821
AUR62035144	588	402.027	61.7265	2.17225
AUR62000097	1566	1379.2	6.6	0.0677033
AUR62009178	579	393.094	45	1.61961
AUR62003314	1758	1571.2	91.7831	0.826465
AUR62040559	3753	3566.2	90.6236	0.359525
AUR62035375	3351	3164.2	3.07051	0.013729
AUR62019552	654	467.817	46.525	1.40703
AUR62024206	1506	1319.2	73.8241	0.791737
AUR62027493	936	749.227	9.75438	0.184196
AUR62031805	864	677.491	115.94	2.42115
AUR62031177	2034	1847.2	45.1536	0.345838
AUR62006343	1650	1463.2	2.15364	0.020824
AUR62039498	549	363.195	1.78131	0.0693896
AUR62017783	1857	1670.2	8.8	0.0745431
AUR62001907	327	148.66	0	0
AUR62026287	594	407.973	292.856	10.1558
AUR62012020	843	656.535	4	0.0861977
AUR62001009	1338	1151.2	0	0
AUR62003673	651	464.817	19	0.578317
AUR62032751	1878	1691.2	69.1256	0.578279
AUR62012508	1329	1142.2	0	0
AUR62025098	360	179.147	0	0
AUR62031213	630	443.847	12.1759	0.388116
AUR62040512	1413	1226.2	4	0.0461522
AUR62026943	630	443.847	0	0
AUR62036635	642	455.817	1.84553	0.0572827
AUR62021212	1275	1088.2	88.2007	1.14672
AUR62025691	1275	1088.2	103.481	1.34538
AUR62044300_AUR62036674	1074	887.201	27.4049	0.437018
AUR62017670	1116	929.201	33	0.502456
AUR62011514	1395	1208.2	0	0
AUR62037899	1920	1733.2	56	0.457123
AUR62039224	603	416.918	75	2.54509
AUR62036065	1110	923.201	0	0
AUR62000005	2289	2102.2	35.6398	0.239858
AUR62022200	4428	4241.2	2837.99	9.46709
AUR62033290	1422	1235.2	0	0
AUR62013253	1698	1511.2	1	0.00936206
AUR62038293	2121	1934.2	0	0
AUR62025411	2073	1886.2	20.0953	0.15073
AUR62030875	2538	2351.2	3	0.018052
AUR62037720	1626	1439.2	17.6332	0.173341
AUR62031228	1554	1367.2	17.349	0.179529
AUR62020574	1692	1505.2	9.53309	0.0896051
AUR62020710	963	776.227	5.0517	0.0920751
AUR62030580	708	521.769	11	0.298269
AUR62037464	441	256.733	0	0
AUR62003048	2412	2225.2	30.9363	0.196694
AUR62023455	3849	3662.2	28.8794	0.111568
AUR62016429	2685	2498.2	375.23	2.12502
AUR62009276	1899	1712.2	59.557	0.492121
AUR62027030	7311	7124.2	304.751	0.605205
AUR62009392	1371	1184.2	632.646	7.55838
AUR62009070	1374	1187.2	1	0.0119171
AUR62019274	1866	1679.2	63.2696	0.533072
AUR62036947	4476	4289.2	167.01	0.550883
AUR62016493	1338	1151.2	76.1579	0.93596
AUR62024924	597	410.946	0	0
AUR62036698	696	509.769	139	3.85776
AUR62004533	944	757.227	16.4125	0.30665
AUR62005346	1128	941.201	3.12921	0.0470377
AUR62035326	741	554.697	12.8724	0.328319
AUR62032536	1386	1199.2	52.2336	0.616243
AUR62028983	930	743.252	7.18146	0.136701
AUR62011017	768	581.678	1	0.0243227
AUR62011357	1326	1139.2	93.4622	1.16072
AUR62022291	1995	1808.2	11.1505	0.0872449
AUR62008916	522	336.438	24.8276	1.04406
AUR62006787	939	752.227	0	0
AUR62028451	2343	2156.2	3.49681	0.0229444
AUR62015503	1758	1571.2	409.477	3.68716
AUR62011460	912	725.326	49.7319	0.970055
AUR62000712	1635	1448.2	3.55218	0.0347024
AUR62004045	1458	1271.2	103.549	1.15246
AUR62030297	1770	1583.2	25.3208	0.226274
AUR62032554	1230	1043.2	129.725	1.75934
AUR62038709	1905	1718.2	692.304	5.70054
AUR62025804	726	539.716	0	0
AUR62008405	687	500.769	0	0
AUR62019207	585	399.081	214.459	7.60287
AUR62044482	435	250.835	0	0
AUR62027833	1416	1229.2	59	0.679083
AUR62011420	207	51.7186	617	168.784
AUR62044439	1227	1040.2	0	0
AUR62040388	3144	2957.2	304.55	1.45704
AUR62043759	1725	1538.2	21.1648	0.194668
AUR62013994	1161	974.201	0	0
AUR62027445	1050	863.201	25.9615	0.425512
AUR62041086	834	647.557	0	0
AUR62026685	330	151.432	145.811	13.6227
AUR62007084	267	96.3275	59.5102	8.74048
AUR62008178	1266	1079.2	108.818	1.42656
AUR62039084	840	653.535	147.911	3.20202
AUR62032983	558	372.158	0	0
AUR62009381	204	49.7349	52	14.7923
AUR62023698	2367	2180.2	403.337	2.61737
AUR62012074	876	689.468	0	0
AUR62016998	693	506.769	0	0
AUR62012625	3477	3290.2	13.6135	0.0585386
AUR62039951	351	170.81	103	8.53135
AUR62025732	1611	1424.2	27	0.268217
AUR62030708	798	611.599	0	0
AUR62018084	492	306.664	45	2.07608
AUR62026706	1482	1295.2	0	0
AUR62038318	555	369.17	5	0.191618
AUR62005211	507	321.58	10635.5	467.911
AUR62019339	729	542.716	0	0
AUR62039464	594	407.973	2	0.0693573
AUR62032162	837	650.557	0	0
AUR62039907	594	407.973	47.739	1.65552
AUR62004092	1539	1352.2	12	0.125555
AUR62022903	5349	5162.2	15.4902	0.0424538
