target_id	length	eff_length	AD2_1	AD2_1_tpm
Gohir.D08G013000	1846	1660.61	505.604	2.46996
Gohir.A02G177000	2260	2074.61	120.238	0.470167
Gohir.A04G123700	1724	1538.61	346.753	1.82827
Gohir.A08G078800	1460	1274.61	0	0
Gohir.D11G072700	1486	1300.61	84.5228	0.527199
Gohir.A07G011700	1009	823.606	116.373	1.14625
Gohir.D10G087901	1705	1519.61	0	0
Gohir.A02G020600	2886	2700.61	153.455	0.460962
Gohir.A12G259001	1815	1629.61	19.6004	0.097573
Gohir.A13G108900	818	632.731	137.098	1.75775
Gohir.D13G222400	3480	3294.61	386.731	0.952252
Gohir.D05G182700	2023	1837.61	0	0
Gohir.A02G036800	2534	2348.61	132.117	0.456347
Gohir.D02G178800	868	682.714	2	0.023765
Gohir.A13G197800	2698	2512.61	0	0
Gohir.D10G060800	2725	2539.61	31.6954	0.101245
Gohir.A05G314900	1915	1729.61	231.872	1.08755
Gohir.D11G312636	3883	3697.61	10.6104	0.0232786
Gohir.D04G065100	1199	1013.61	0	0
Gohir.A06G132400	985	799.606	129.415	1.31297
Gohir.A06G182800	2308	2122.61	47.037	0.17977
Gohir.A04G111300	915	729.645	6.5345	0.072652
Gohir.A02G060600	1709	1523.61	20.1177	0.107115
Gohir.D02G217101	957	771.626	57.4953	0.604466
Gohir.A04G028900	1661	1475.61	89.5165	0.492129
Gohir.D06G213100	914	728.645	275.008	3.0618
Gohir.D07G187300	2176	1990.61	390.298	1.59059
Gohir.D11G200400	2462	2276.61	320.44	1.14184
Gohir.A10G041100	2754	2568.61	36.3527	0.114811
Gohir.D06G061000	1965	1779.61	5	0.0227925
Gohir.A04G046800	1823	1637.61	67.1275	0.332535
Gohir.D12G199300	1212	1026.61	10	0.079021
Gohir.D06G116500	1998	1812.61	73.2795	0.327964
Gohir.A09G249400	719	533.806	0	0
Gohir.A05G090300	1984	1798.61	36.9445	0.166633
Gohir.D02G123700	2700	2514.61	41.0364	0.132387
Gohir.A05G036500	2174	1988.61	53.222	0.217115
Gohir.D11G062000	2003	1817.61	99.4905	0.444046
Gohir.D05G166000	894	708.663	0	0
Gohir.A08G208900	2015	1829.61	31.5534	0.139906
Gohir.A02G017701	426	242.552	0	0
Gohir.A12G110300	2229	2043.61	377.39	1.4981
Gohir.D10G139300	1711	1525.61	360.465	1.91676
Gohir.D06G081600	1839	1653.61	15	0.0735878
Gohir.D10G100450	505	320.384	8	0.202565
Gohir.A05G232300	2912	2726.61	264.749	0.787697
Gohir.D13G140200	1483	1297.61	256.667	1.60462
Gohir.D11G084200	1653	1467.61	52.2422	0.288774
Gohir.A06G104500	1953	1767.61	20.5072	0.0941167
Gohir.A02G048901	695	509.845	1	0.0159114
Gohir.D07G067300	637	451.942	116.923	2.09877
Gohir.D05G179200	637	451.942	0	0
Gohir.A05G334375	1248	1062.61	0	0
Gohir.A05G042800	1498	1312.61	103.22	0.637934
Gohir.A04G028404	1585	1399.61	10.2952	0.0596725
Gohir.D09G238800	898	712.663	3	0.0341494
Gohir.A11G030881	2053	1867.61	599.049	2.6021
Gohir.D09G164440	504	319.408	3.94756	0.10026
Gohir.A12G128850	1905	1719.61	0	0
Gohir.D09G058025	303	128.974	8	0.503194
Gohir.A12G161300	1882	1696.61	62.1063	0.296962
Gohir.D01G194350	2745	2559.61	0	0
Gohir.D05G017800	712	526.806	79.944	1.23107
Gohir.D06G167100	1645	1459.61	83	0.461306
Gohir.A08G219555	1498	1312.61	139.795	0.86398
Gohir.A05G006100	1128	942.606	212.842	1.83178
Gohir.D04G010300	2689	2503.61	141.019	0.45694
Gohir.D01G057100	1269	1083.61	0	0
Gohir.D04G170800	1594	1408.61	141.971	0.81763
Gohir.A01G153800	1751	1565.61	2.17354	0.0112624
Gohir.D08G228400	1119	933.606	0	0
Gohir.A04G048165	1065	879.606	19.6495	0.181222
Gohir.A10G237000	918	732.645	7	0.0775088
Gohir.A13G016300	1270	1084.61	69.7338	0.521576
Gohir.D08G191800	1624	1438.61	565.945	3.19138
Gohir.A09G110880	1269	1083.61	0	0
Gohir.A05G236950	636	450.942	0	0
Gohir.D09G120400	2577	2391.61	33.1521	0.112452
Gohir.D03G135900	1752	1566.61	2.16875	0.0112304
Gohir.A08G101400	804	618.762	120.588	1.58099
Gohir.D07G105100	1173	987.606	50.931	0.418355
Gohir.D05G279500	1041	855.606	54.8011	0.519591
Gohir.A11G029900	871	685.714	1423.99	16.8466
Gohir.D05G344800	1847	1661.61	0	0
Gohir.A11G286841	945	759.645	0	0
Gohir.D03G031800	1092	906.606	160.222	1.43367
Gohir.A11G096800	2714	2528.61	115.498	0.370545
Gohir.A03G186400	1186	1000.61	10	0.0810743
Gohir.D04G161600	1440	1254.61	71	0.459089
Gohir.D10G096000	1922	1736.61	108.705	0.507802
Gohir.D11G217600	2203	2017.61	0	0
Gohir.A06G061900	913	727.645	11	0.122636
Gohir.A06G078300	2296	2110.61	37.5679	0.144396
Gohir.D05G234600	3130	2944.61	75.9466	0.209232
Gohir.A13G194500	999	813.606	227	2.26338
Gohir.A06G043800	4312	4126.61	61.9749	0.121834
Gohir.A09G087600	1070	884.606	8.24964	0.0756539
Gohir.D13G042300	1337	1151.61	208.939	1.47185
Gohir.D03G095800	2782	2596.61	88.9123	0.277781
Gohir.D08G069200	3165	2979.61	228.304	0.621585
Gohir.D11G105400	1852	1666.61	8	0.0389407
Gohir.D11G065833	922	736.645	2.15005	0.0236775
Gohir.D02G136400	4076	3890.61	392.378	0.818151
Gohir.D02G043200	2366	2180.61	21.1619	0.0787271
Gohir.A02G162900	952	766.626	80.536	0.852223
Gohir.D03G166101	1665	1479.61	215.207	1.17993
Gohir.A05G044600	1089	903.606	820.006	7.3618
Gohir.D13G072400	2007	1821.61	58.0474	0.258508
Gohir.D02G104300	1911	1725.61	22.2265	0.10449
Gohir.A09G026000	7171	6985.61	556	0.645679
Gohir.A05G057500	1461	1275.61	3.53348	0.0224715
Gohir.A08G114700	1067	881.606	1	0.00920178
Gohir.D10G152000	1549	1363.61	265.78	1.58117
Gohir.D05G287000	1718	1532.61	773.121	4.09226
Gohir.A02G144200	969	783.606	154.855	1.60315
Gohir.A12G030701	522	337.278	1	0.0240524
Gohir.D02G014900	3427	3241.61	7.9046	0.0197818
Gohir.A10G169466	748	562.792	10	0.144145
Gohir.A07G112100	1898	1712.61	103.578	0.490634
Gohir.D06G172800	619	433.964	0	0
Gohir.D08G092550	231	74.1774	2	0.218728
Gohir.A04G018100	2811	2625.61	11	0.0339867
Gohir.D06G070000	3166	2980.61	159.103	0.433032
Gohir.A06G175900	1442	1256.61	9.94398	0.0641959
Gohir.D10G113200	1290	1104.61	138.81	1.01944
Gohir.A06G089000	2502	2316.61	287.944	1.00833
Gohir.D10G136700	1374	1188.61	5	0.0341255
Gohir.D02G211100	963	777.626	328.881	3.43095
Gohir.D06G009100	2758	2572.61	62.0216	0.195576
Gohir.A06G203700	1768	1582.61	101.6	0.520798
Gohir.A10G031650	915	729.645	0	0
Gohir.D06G185900	1275	1089.61	40.7218	0.303182
Gohir.D02G193500	354	173.991	51	2.37788
Gohir.D12G211400	642	456.942	0	0
Gohir.D07G106900	1085	899.606	5	0.0450883
Gohir.A05G257150	774	588.778	1	0.0137783
Gohir.D09G074600	858	672.714	394.323	4.75519
Gohir.D02G139000	2564	2378.61	615.53	2.09929
Gohir.D05G214600	1724	1538.61	820.182	4.32443
Gohir.A05G110900	1774	1588.61	698.182	3.56532
Gohir.A01G195000	1796	1610.61	0	0
Gohir.D05G354825	333	154.851	0	0
Gohir.A12G219875	606	420.996	0	0
Gohir.D09G245650	568	383.046	0	0
Gohir.A13G139780	1125	939.606	0	0
Gohir.A10G158400	1065	879.606	2	0.0184454
Gohir.D12G014000	1852	1666.61	325.139	1.58264
Gohir.A09G112900	1696	1510.61	104.984	0.563789
Gohir.A11G032200	1485	1299.61	111.546	0.696286
