target_id	length	eff_length	Cq_4	Cq_4_tpm
AUR62003775	1152	965.551	20	0.215611
AUR62039511	429	244.115	18.8147	0.802265
AUR62009679	621	434.622	1032.91	24.7381
AUR62005977	984	797.551	5	0.0652571
AUR62036206	984	797.551	0	0
AUR62011627	2139	1952.55	607.803	3.24024
AUR62012836	1632	1445.55	8	0.0576067
AUR62016937	414	229.484	0	0
AUR62032931	936	749.551	0	0
AUR62001032	261	89.9743	0	0
AUR62010506	1254	1067.55	11	0.107256
AUR62017663	2118	1931.55	160.169	0.863155
AUR62026012	504	318.131	12	0.392638
AUR62026976	471	285.382	0	0
AUR62013354	765	578.565	24	0.431792
AUR62017101	228	64.7921	59	9.47864
AUR62013408	348	166.779	0	0
AUR62026758	1770	1583.55	223.537	1.46938
AUR62033650	1269	1082.55	0	0
AUR62044042	303	125.719	0	0
AUR62008361	3486	3299.55	89.5217	0.282416
AUR62011815	735	548.565	45	0.853887
AUR62007629	1611	1424.55	470.819	3.44027
AUR62018235	1104	917.551	2509.9	28.4736
AUR62030665	966	779.551	16.9447	0.226259
AUR62037129	2730	2543.55	113.278	0.463578
AUR62044095	2046	1859.55	64.3122	0.359999
AUR62014261	522	335.943	0	0
AUR62032708	738	551.565	0	0
AUR62034389	3978	3791.55	80	0.219629
AUR62030379	531	344.849	0	0
AUR62031825	573	386.683	0	0
AUR62024569	1353	1166.55	0	0
AUR62033990	1713	1526.55	0	0
AUR62013676	474	288.354	0	0
AUR62031509	2433	2246.55	4	0.0185336
AUR62002554	1116	929.551	101.466	1.13622
AUR62018017	255	85.2174	152	18.5666
AUR62015496	768	581.565	0	0
AUR62004713	183	36.584	91	25.8921
AUR62029199	474	288.354	11	0.397085
AUR62005702	1302	1115.55	41.7826	0.389873
AUR62002847	2241	2054.55	165	0.835956
AUR62003148	1197	1010.55	1	0.0103005
AUR62012766	2391	2204.55	273.787	1.29273
AUR62035298	2655	2468.55	522.972	2.20522
AUR62012758	918	731.551	392.961	5.5914
AUR62030796	1305	1118.55	3	0.0279178
AUR62007551	777	590.551	659.211	11.6194
AUR62013998	864	677.551	0	0
AUR62017050	384	200.575	34.5569	1.79339
AUR62004427	1023	836.551	77	0.958108
AUR62000177	909	722.551	44.7491	0.644663
AUR62025910	813	626.551	0	0
AUR62003412	531	344.849	31	0.935727
AUR62004651	2100	1913.55	122.978	0.668967
AUR62026425	1088	901.551	243	2.80564
AUR62012423	1962	1775.55	78	0.457275
AUR62035144	588	401.654	28.6576	0.742683
AUR62000097	1566	1379.55	5.55556	0.0419185
AUR62009178	579	392.663	59	1.56404
AUR62003314	1758	1571.55	98.8307	0.654606
AUR62040559	3753	3566.55	153.564	0.448185
AUR62035375	3351	3164.55	19.9923	0.0657608
AUR62019552	654	467.577	572.16	12.7374
AUR62024206	1506	1319.55	187.478	1.47891
AUR62027493	936	749.551	36.6273	0.508652
AUR62031805	864	677.551	200.157	3.075
AUR62031177	2034	1847.55	97.3661	0.548564
AUR62006343	1650	1463.55	15	0.106684
AUR62039498	549	362.822	0	0
AUR62017783	1857	1670.55	118.554	0.738708
AUR62001907	327	147.293	0	0
AUR62026287	594	407.654	11.069	0.282639
AUR62012020	843	656.551	22.721	0.360227
AUR62001009	1338	1151.55	2	0.0180785
AUR62003673	651	464.589	27	0.604939
AUR62032751	1878	1691.55	415.551	2.55715
AUR62012508	1329	1142.55	0	0
AUR62025098	360	177.982	0	0
AUR62031213	630	443.611	8.85199	0.207709
AUR62040512	1413	1226.55	5	0.0424327
AUR62026943	630	443.611	0	0
AUR62036635	642	455.589	2.59198	0.0592208
AUR62021212	1275	1088.55	135.857	1.29912
AUR62025691	1275	1088.55	151.248	1.44629
AUR62044300_AUR62036674	1074	887.551	31.713	0.37193
AUR62017670	1116	929.551	41.4966	0.464681
AUR62011514	1395	1208.55	0	0
AUR62037899	1920	1733.55	38	0.228172
AUR62039224	603	416.643	80	1.99867
AUR62036065	1110	923.551	5	0.0563541
AUR62000005	2289	2102.55	71	0.351502
AUR62022200	4428	4241.55	1244.86	3.05501
AUR62033290	1422	1235.55	0	0
AUR62013253	1698	1511.55	7	0.0482049
AUR62038293	2121	1934.55	3	0.016142
AUR62025411	2073	1886.55	211.736	1.16827
AUR62030875	2538	2351.55	5	0.0221326
AUR62037720	1626	1439.55	109.307	0.790382
AUR62031228	1554	1367.55	132.888	1.01148
AUR62020574	1692	1505.55	21	0.145191
AUR62020710	963	776.551	46.4088	0.622081
AUR62030580	708	521.565	22	0.439066
AUR62037464	441	255.846	0	0
AUR62003048	2412	2225.55	11	0.0514483
AUR62023455	3849	3662.55	214.083	0.608435
AUR62016429	2685	2498.55	594.057	2.47489
AUR62009276	1899	1712.55	132.162	0.803303
AUR62027030	7311	7124.55	775.399	1.13288
AUR62009392	1371	1184.55	311.783	2.73978
AUR62009070	1374	1187.55	1	0.00876524
AUR62019274	1866	1679.55	124.597	0.772201
AUR62036947	4476	4289.55	301.129	0.730731
AUR62016493	1338	1151.55	88.2689	0.797886
AUR62024924	597	410.654	0	0
AUR62036698	696	509.565	118	2.41045
AUR62004533	944	757.551	149	2.04734
AUR62005346	1128	941.551	10	0.110553
AUR62035326	741	554.565	19	0.356629
AUR62032536	1386	1199.55	262.562	2.2784
AUR62028983	930	743.551	13.8414	0.193769
AUR62011017	768	581.565	1.63633	0.0292879
AUR62011357	1326	1139.55	240.476	2.19661
AUR62022291	1995	1808.55	22.3229	0.12848
AUR62008916	522	335.943	71.6283	2.2194
AUR62006787	939	752.551	0	0
AUR62028451	2343	2156.55	130.049	0.627718
AUR62015503	1758	1571.55	275.974	1.82791
AUR62011460	912	725.551	1.04466	0.0149873
AUR62000712	1635	1448.55	11.6484	0.0837044
AUR62004045	1458	1271.55	37	0.30289
AUR62030297	1770	1583.55	28.3145	0.18612
AUR62032554	1230	1043.55	257.694	2.57044
AUR62038709	1905	1718.55	523.989	3.17377
AUR62025804	726	539.565	0	0
AUR62008405	687	500.565	0	0
AUR62019207	585	398.654	340.912	8.9015
AUR62044482	435	249.973	0	0
AUR62027833	1416	1229.55	34.8251	0.294824
AUR62011420	207	50.6004	1976	406.49
AUR62044439	1227	1040.55	0	0
AUR62040388	3144	2957.55	263.066	0.925867
AUR62043759	1725	1538.55	17.6989	0.119743
AUR62013994	1161	974.551	0	0
AUR62027445	1050	863.551	44.2855	0.533813
AUR62041086	834	647.551	0	0
AUR62026685	330	150.036	2560.11	177.615
AUR62007084	267	94.6393	76.6577	8.43141
AUR62008178	1266	1079.55	86.3854	0.83294
AUR62039084	840	653.551	101	1.60864
AUR62032983	558	371.749	0	0
AUR62009381	204	48.6116	26	5.56737
AUR62023698	2367	2180.55	113	0.539422
AUR62012074	876	689.551	0	0
AUR62016998	693	506.565	1	0.0205485
AUR62012625	3477	3290.55	289.629	0.916198
AUR62039951	351	169.594	0	0
AUR62025732	1611	1424.55	49.3559	0.360643
AUR62030708	798	611.551	0	0
AUR62018084	492	306.162	37	1.25796
AUR62026706	1482	1295.55	11	0.0883801
AUR62038318	555	368.777	6	0.169357
AUR62005211	507	321.107	7908.91	256.38
AUR62019339	729	542.565	1	0.0191851
AUR62039464	594	407.654	67	1.7108
AUR62032162	837	650.551	35	0.560019
AUR62039907	594	407.654	37.3656	0.954108
AUR62004092	1539	1352.55	109	0.838859
AUR62022903	5349	5162.55	291.339	0.587422
AUR62032472	1398	1211.55	2427.77	20.8584
AUR62006611	3651	3464.55	507.587	1.52504
AUR62032834	498	312.146	0	0
AUR62026053	339	158.328	474.264	31.1802
AUR62014117	1122	935.551	580.709	6.46111
AUR62016280	885	698.551	0	0
AUR62036555	1086	899.551	0	0
AUR62035050	1908	1721.55	0	0
AUR62013101	2196	2009.55	13	0.0673381
AUR62028897	624	437.622	32	0.761144
AUR62040376	1479	1292.55	0	0
AUR62000978	1626	1439.55	1	0.00723085
AUR62015665	645	458.589	2	0.0453966
AUR62002594	1236	1049.55	696.738	6.91007
AUR62042714	288	112.323	0	0
AUR62004671	2427	2240.55	372.127	1.72883
AUR62007514	1866	1679.55	54	0.33467
AUR62028495	816	629.551	4	0.0661371
AUR62007779	855	668.551	0	0
AUR62031544	3164	2977.55	646.977	2.26176
AUR62028325	1308	1121.55	0	0
AUR62043255	723	536.565	0	0
AUR62001557	801	614.551	26.2545	0.444696
AUR62033735	2229	2042.55	49	0.249712
AUR62028934	1062	875.551	32.7547	0.389411
AUR62017492	885	698.551	1.63334	0.0243385
AUR62029848	789	602.551	0	0
AUR62043680	1098	911.551	0	0
AUR62030815	564	377.721	1.55983	0.0429856
AUR62037110	855	668.551	105	1.63482
AUR62042842	1542	1355.55	158.203	1.21483
AUR62005426	969	782.551	2	0.0266032
AUR62019168	897	710.551	1036.74	15.1876
AUR62015304	816	629.551	0	0
AUR62028778	999	812.551	0	0
AUR62024937	1251	1064.55	210.075	2.05411
AUR62024904	3147	2960.55	1210.19	4.25496
AUR62011783	1275	1088.55	19	0.181686
AUR62023268	288	112.323	108	10.0086
AUR62027343	216	56.4499	0	0
AUR62030423	1131	944.551	3	0.0330607
AUR62011668	2919	2732.55	344.846	1.31363
AUR62013982	1104	917.551	0	0
AUR62033053	411	226.547	0	0
AUR62008439	2208	2021.55	65.582	0.337689
AUR62029906	3285	3098.55	104.196	0.350032
AUR62040127	957	770.551	3	0.0405262
AUR62007966	1875	1688.55	1.72501	0.0106339
AUR62042250	291	114.958	0	0
AUR62027083	1359	1172.55	55	0.488256
AUR62036103	1338	1151.55	165.09	1.49229
AUR62015987	702	515.565	511.695	10.331
AUR62016198	1587	1400.55	105.666	0.78533
AUR62006586	1788	1601.55	190.916	1.24084
AUR62024801	648	461.589	87.3684	1.97022
AUR62028243	1386	1199.55	0	0
AUR62034589	1491	1304.55	0	0
AUR62017262	2340	2153.55	0	0
AUR62042556	1092	905.551	2	0.0229897
AUR62023688	1869	1682.55	161.824	1.00113
AUR62014874	384	200.575	0	0
AUR62033710	1176	989.551	1667.45	17.54
AUR62015781	336	155.537	3060.06	204.791
AUR62003570	429	244.115	115.683	4.93277
AUR62031872	633	446.6	506	11.7936
AUR62009473	1653	1466.55	422.66	2.99992
AUR62019199	960	773.551	0	0
AUR62026572	243	75.7998	0	0
AUR62014042	1860	1673.55	189.245	1.17707
AUR62010097	843	656.551	92.7143	1.46992
AUR62037072	1026	839.551	283.239	3.51174
AUR62010819	981	794.551	35.4915	0.464964
AUR62014009	531	344.849	0	0
AUR62040478	390	206.282	0	0
AUR62008541	1089	902.551	0	0
AUR62020130	1161	974.551	46.7296	0.499119
AUR62017404	306	128.357	0	0
AUR62013970	864	677.551	62.2939	0.957018
AUR62006857	2778	2591.55	9.20238	0.0369621
AUR62033509	1293	1106.55	14	0.131696
AUR62001802	621	434.622	0	0
AUR62023904	2172	1985.55	200.974	1.0536
AUR62022037	1575	1388.55	0	0
AUR62029802	1104	917.551	19.6953	0.223434
AUR62038572	828	641.551	134.769	2.18664
AUR62031077	390	206.282	0	0
AUR62026406	729	542.565	2.10376	0.0403609
AUR62019545	894	707.551	23.3339	0.343278
AUR62029173	1350	1163.55	37	0.331004
AUR62019048	1290	1103.55	10	0.0943244
AUR62031569	390	206.282	542.278	27.3638
AUR62029556	378	194.955	122.361	6.53317
AUR62018284	780	593.551	0	0
AUR62035346	1149	962.551	6	0.0648849
AUR62030277	642	455.589	139.635	3.19034
AUR62010804	1167	980.551	56.8539	0.603541
AUR62024888	828	641.551	0	0
AUR62021454	3123	2936.55	2310.9	8.19143
AUR62007485	861	674.551	0	0
AUR62016441	2139	1952.55	294.197	1.56838
AUR62025977	339	158.328	86	5.65401
AUR62001085	1458	1271.55	1.43625	0.0117575
AUR62025682	1341	1154.55	1	0.00901578
AUR62044044	2118	1931.55	86.4286	0.465766
AUR62028509	1314	1127.55	0	0
AUR62017958	729	542.565	11	0.211036
AUR62027972	1458	1271.55	745.48	6.10265
AUR62013559	2268	2081.55	0	0
AUR62014092	999	812.551	0	0
AUR62036388	855	668.551	0	0
AUR62023788	1221	1034.55	84.1041	0.846216
AUR62033981	792	605.551	8	0.137517
AUR62004883	408	223.637	73	3.39778
AUR62029786	1782	1595.55	11	0.0717626
AUR62030313	2184	1997.55	0	0
AUR62015869	2076	1889.55	32	0.176282
AUR62033347	1401	1214.55	61.5433	0.52745
AUR62006572	528	341.892	10.5682	0.321757
AUR62031015	255	85.2174	0	0
AUR62037518	1575	1388.55	117.693	0.882278
AUR62004230	1035	848.551	23.8479	0.292542
AUR62032934	1191	1004.55	24	0.248688
AUR62037614	942	755.551	2.76725	0.0381242
AUR62003322	213	54.5018	0	0
AUR62015249	912	725.551	0	0
AUR62041365	2499	2312.55	520.818	2.34429
AUR62017985	1710	1523.55	56.3515	0.385004
AUR62007381	1317	1130.55	326.393	3.00515
AUR62024172	1053	866.551	196	2.35439
AUR62022916	786	599.551	103	1.78825
AUR62026389	1677	1490.55	0	0
AUR62034477	1338	1151.55	73.9335	0.668305
AUR62031139	945	758.551	0	0
AUR62012340	1779	1592.55	55	0.359489
AUR62041953	207	50.6004	31	6.37711
AUR62005760	795	608.551	49	0.838138
AUR62043167	423	238.261	43	1.87859
AUR62040591	372	189.28	41.378	2.27553
AUR62024763	2178	1991.55	0	0
AUR62000428	1251	1064.55	44.9713	0.439729
AUR62005808	420	235.338	247	10.925
AUR62024914	2160	1973.55	175.411	0.925179
AUR62033805	903	716.551	0	0
AUR62032732	4101	3914.55	392.465	1.0436
AUR62032549	417	232.408	0	0
AUR62022904	237	71.3375	50	7.29573
AUR62012984	969	782.551	2	0.0266032
