target_id	length	eff_length	Aare_4	Aare_4_tpm
AsAa_g4533	951	768.352	213.898	4.8216
AsAa_g14924	1365	1182.35	127	1.86038
AsAa_g1957	336	156.964	1228	135.501
AsAt_g4674	483	300.684	0	0
AsAt_g3881	1191	1008.35	6.00195	0.103092
AsAt_g9241	1512	1329.35	0	0
AsAa_g6256	615	432.367	0	0
AsAa_g8827	810	627.352	351.941	9.71634
AsAa_g19432	1608	1425.35	59	0.716925
AsAt_g2836	954	771.352	283.327	6.36179
AsAa_g15154	3399	3216.35	905.489	4.876
AsAa_g21159	6696	6513.35	2093	5.56555
AsAt_g3991	1023	840.352	59.3966	1.22418
AsAt_g18765	2532	2349.35	0	0
AsAa_g3609	3063	2880.35	553.88	3.33053
AsAt_g6980	912	729.352	0	0
AsAt_g6975	528	345.526	29.6668	1.48708
AsAt_g19236	1476	1293.35	2	0.0267829
AsAa_g17505	561	378.406	1149.83	52.6281
AsAa_g19950	1110	927.352	0	0
AsAa_g8775	1719	1536.35	66	0.744041
AsAa_g11249	3069	2886.35	97.1924	0.583213
AsAa_g12630	357	176.952	16	1.56606
AsAt_g21169	1260	1077.35	2	0.0321526
AsAa_g11675	627	444.36	0	0
AsAt_g16594	681	498.352	0	0
AsAa_g18410	1011	828.352	30	0.627264
AsAa_g1716	252	83.3159	24.0103	4.9913
AsAa_g22302	705	522.352	7	0.232102
AsAt_g6206	1359	1176.35	0	0
AsAt_g7191	1179	996.352	1.00995	0.0175562
AsAa_g7521	4428	4245.35	501.259	2.045
AsAa_g15170	1116	933.352	212	3.934
AsAa_g19143	429	247.039	40	2.80439
AsAa_g4195	1818	1635.35	992.765	10.5143
AsAa_g20036	846	663.352	9	0.234986
AsAa_g10983_AsAa_g15737	519	336.549	0	0
AsAt_g5510	3522	3339.35	38.4721	0.199539
AsAa_g14895	216	56.9468	18	5.47453
AsAt_g21848	720	537.352	0	0
AsAt_g18677	1701	1518.35	22	0.250954
AsAt_g19953	1332	1149.35	2	0.0301384
AsAa_g17490	3687	3504.35	10	0.0494238
AsAa_g84	5475	5292.35	1518.91	4.97082
AsAt_g11411	366	185.55	0	0
AsAt_g6292	354	174.055	0	0
AsAa_g6789	252	83.3159	3	0.623644
AsAt_g2363	405	223.395	8.15104	0.63195
AsAa_g17880	984	801.352	88	1.90197
AsAa_g17894	1323	1140.35	352	5.34623
AsAa_g900	495	312.608	31	1.71753
AsAa_g3495	660	477.352	1581.5	57.382
AsAt_g9233	1317	1134.35	9	0.137416
AsAa_g6223	1698	1515.35	2928.48	33.4713
AsAt_g16355	1977	1794.35	0	0
AsAa_g10872	1359	1176.35	0	0
AsAt_g9569	819	636.352	2.05346	0.0558897
AsAa_g1318	2523	2340.35	375.199	2.77667
AsAa_g12803	3264	3081.35	2.72077	0.015293
AsAt_g20899	702	519.352	1	0.0333489
AsAt_g20312	1725	1542.35	40.3311	0.452898
AsAt_g14467	1035	852.352	0	0
AsAt_g11911	1152	969.352	0	0
AsAa_g7152	573	390.387	0	0
AsAt_g2215	1269	1086.35	0	0
AsAa_g800	786	603.352	8188.88	235.07
AsAt_g2808	456	273.849	0	0
AsAa_g18075	2220	2037.35	1436.69	12.2135
AsAa_g6253	1254	1071.35	2774.59	44.8549
AsAa_g15427	306	129.338	1668	223.364
AsAa_g20216	1104	921.352	137.951	2.59325
AsAa_g20974	402	220.48	0	0
AsAt_g14278	501	318.587	0	0
AsAa_g14203	1326	1143.35	717.58	10.8701
AsAa_g20322	1341	1158.35	860.359	12.8642
AsAt_g14938	1368	1185.35	6	0.0876694
AsAa_g10734	1878	1695.35	23	0.23497
AsAa_g10003	777	594.352	0	0
AsAt_g8581	888	705.352	0	0
AsAt_g6183	891	708.352	1	0.0244509
AsAa_g14859	2433	2250.35	460.987	3.54799
AsAt_g9736	672	489.352	0	0
AsAt_g21764	489	306.629	0	0
AsAa_g8375	1140	957.352	34	0.615108
AsAa_g1855	1068	885.352	1	0.0195627
AsAa_g10891	1887	1704.35	496.799	5.04854
AsAa_g10276	975	792.352	697.948	15.2563
AsAt_g18062	651	468.352	0	0
AsAa_g988	1521	1338.35	0	0
AsAa_g1637	1530	1347.35	34	0.437061
AsAt_g20729	1044	861.352	0	0
AsAt_g16311	903	720.352	48	1.15409
AsAt_g4399	789	606.352	0	0
AsAt_g91	1626	1443.35	0	0
AsAa_g7509	855	672.352	0	0
AsAa_g7623	690	507.352	619.989	21.165
AsAt_g22101	327	148.524	168	19.5909
AsAt_g11858	1938	1755.35	1.0158	0.0100227
AsAt_g18390	879	696.352	0	0
AsAa_g20616	1728	1545.35	0	0
AsAt_g21009	1146	963.352	3	0.0539362
AsAt_g11880	312	134.705	19.241	2.47393
AsAa_g3195	435	252.997	150	10.2688
AsAt_g10906	480	297.684	0	0
AsAt_g18345	798	615.352	21.8762	0.615732
AsAt_g6609	2364	2181.35	819.156	6.50407
AsAt_g14039	1572	1389.35	0	0
AsAa_g23141	1077	894.352	1	0.0193658
AsAa_g5126	1350	1167.35	11.8139	0.175282
AsAt_g3187	660	477.352	21.5833	0.783112
AsAa_g20743	915	732.352	2	0.0472992
AsAt_g11001	465	282.761	0	0
AsAt_g4992	3612	3429.35	0	0
AsAa_g11028	2586	2403.35	1311.88	9.45414
AsAt_g11504	486	303.659	0	0
AsAa_g8049	1014	831.352	300	6.25
AsAa_g16394	1893	1710.35	0	0
AsAa_g23326	300	123.874	0	0
AsAt_g15254	942	759.352	0	0
AsAa_g18351	864	681.352	0	0
AsAa_g11062	2184	2001.35	3529.9	30.548
AsAa_g127	1275	1092.35	202.171	3.20553
AsAa_g6731	1275	1092.35	62.1141	0.984854
AsAt_g1069	660	477.352	1	0.0362832
AsAa_g12182	2025	1842.35	95.9409	0.901934
AsAt_g10655	705	522.352	3.05357	0.101248
